Entity,Year,"Plastic waste generation (tonnes, total)"
Albania,2010,73364
Algeria,2010,1898343
Angola,2010,528843
Antigua and Barbuda,2010,22804
Argentina,2010,2753550
Aruba,2010,9352
Australia,2010,900658
Bahamas,2010,51364
Bahrain,2010,59785
Bangladesh,2010,1888170
Barbados,2010,58164
Belgium,2010,318151
Belize,2010,20191
Benin,2010,144382
Bermuda,2010,5990
Bosnia and Herzegovina,2010,195633
Brazil,2010,11852055
British Virgin Islands,2010,2504
Brunei,2010,3688
Bulgaria,2010,415707
Cambodia,2010,344698
Cameroon,2010,335305
Canada,2010,1154309
Cape Verde,2010,11919
Cayman Islands,2010,5106
Channel Islands,2010,14678
Chile,2010,738106
China,2010,59079741
Colombia,2010,2413455
Comoros,2010,50599
Congo,2010,110479
Costa Rica,2010,428029
Cote d'Ivoire,2010,766988
Croatia,2010,406347
Cuba,2010,368154
Curacao,2010,13678
Cyprus,2010,100713
Democratic Republic of Congo,2010,1059795
Denmark,2010,95171
Djibouti,2010,31999
Dominica,2010,3885
Dominican Republic,2010,520238
Ecuador,2010,801321
Egypt,2010,5464471
El Salvador,2010,330763
Equatorial Guinea,2010,49990
Eritrea,2010,72120
Estonia,2010,85534
Faeroe Islands,2010,4466
Fiji,2010,59324
Finland,2010,458084
France,2010,4557128
French Polynesia,2010,24634
Gabon,2010,32329
Gambia,2010,29646
Georgia,2010,97443
Germany,2010,14476561
Ghana,2010,357877
Gibraltar,2010,3053
Greece,2010,811858
Greenland,2010,5234
Grenada,2010,12417
Guam,2010,14666
Guatemala,2010,1495229
Guinea,2010,118196
Guinea-Bissau,2010,30666
Guyana,2010,159681
Haiti,2010,328487
Honduras,2010,565317
Hong Kong,2010,1020406
Iceland,2010,32620
India,2010,4493080
Indonesia,2010,5045714
Iran,2010,3919268
Iraq,2010,1156524
Ireland,2010,715716
Israel,2010,826436
Italy,2010,2899258
Jamaica,2010,34962
Japan,2010,7993489
Jordan,2010,377506
Kenya,2010,407506
Kiribati,2010,3859
Kuwait,2010,750690
Latvia,2010,94935
Lebanon,2010,148807
Liberia,2010,121050
Libya,2010,324250
Lithuania,2010,149227
Macao,2010,72126
Madagascar,2010,123526
Malaysia,2010,2031675
Maldives,2010,43134
Malta,2010,32377
Marshall Islands,2010,3674
Mauritania,2010,59287
Mauritius,2010,104971
Mexico,2010,3725463
Micronesia (country),2010,3895
Monaco,2010,3412
Montenegro,2010,32557
Morocco,2010,863555
Mozambique,2010,132612
Myanmar,2010,1373018
Namibia,2010,114222
Nauru,2010,527
Netherlands,2010,2571398
New Caledonia,2010,22995
New Zealand,2010,525630
Nicaragua,2010,299480
Nigeria,2010,5961750
North Korea,2010,484700
Northern Mariana Islands,2010,5006
Norway,2010,499682
Oman,2010,93251
Pakistan,2010,6412210
Palau,2010,1076
Palestine,2010,87636
Panama,2010,192818
Papua New Guinea,2010,267234
Peru,2010,1543879
Philippines,2010,2565766
Poland,2010,1346905
Portugal,2010,1022683
Puerto Rico,2010,342306
Qatar,2010,103933
Romania,2010,310385
Russia,2010,5839685
Saint Kitts and Nevis,2010,12280
Saint Lucia,2010,32882
Saint Vincent and the Grenadines,2010,8818
Samoa,2010,7000
Sao Tome and Principe,2010,6571
Saudi Arabia,2010,1561618
Senegal,2010,485586
Seychelles,2010,11730
Sierra Leone,2010,96655
Singapore,2010,359483
Sint Maarten (Dutch part),2010,3263
Slovenia,2010,108421
Solomon Islands,2010,19842
Somalia,2010,237569
South Africa,2010,4465798
South Korea,2010,2025772
Spain,2010,4709157
Sri Lanka,2010,2621606
Sudan,2010,1292740
Suriname,2010,31300
Sweden,2010,164305
Syria,2010,1365594
Tanzania,2010,386998
Thailand,2010,3532495
Togo,2010,135294
Tonga,2010,8476
Trinidad and Tobago,2010,1745123
Tunisia,2010,559235
Turkey,2010,5596657
Turks and Caicos Islands,2010,2851
Tuvalu,2010,554
Ukraine,2010,1724509
United Arab Emirates,2010,600741
United Kingdom,2010,4925590
United States,2010,37825550
Uruguay,2010,310379
Vanuatu,2010,25443
Venezuela,2010,2669998
Vietnam,2010,3268227
Yemen,2010,887497
