Entity,Year,Average duration of marriages ending in divorce
Australia,1997,11.10000038
Australia,1998,11.19999981
Australia,1999,11.30000019
Australia,2000,11.60000038
Australia,2001,11.80000019
Australia,2002,12
Australia,2003,12.19999981
Australia,2004,12.30000019
Australia,2005,12.60000038
Australia,2006,12.5
Australia,2007,12.5
Australia,2008,12.30000019
Australia,2009,12.30000019
Australia,2010,12.30000019
Australia,2011,12.19999981
Australia,2012,12.19999981
Australia,2013,12.10000038
Australia,2014,12
Australia,2015,12.10000038
Australia,2016,12
Australia,2017,12
Australia,2018,12.30000019
Canada,2004,12
Canada,2005,12
Germany,2000,12.9
Germany,2001,12.9
Germany,2002,12.9
Germany,2003,13.1
Germany,2004,13.4
Germany,2005,13.6
Germany,2006,13.7
Germany,2007,13.9
Germany,2008,14.1
Germany,2009,14.3
Germany,2010,14.2
Germany,2011,14.5
Germany,2012,14.6
Germany,2013,14.7
Germany,2014,14.7
Germany,2015,14.9
Germany,2016,15
Germany,2017,15
Germany,2018,14.9
New Zealand,1977,11.72999954
New Zealand,1978,11.92000008
New Zealand,1979,11.72999954
New Zealand,1980,12.06999969
New Zealand,1981,12.25
New Zealand,1982,12.25
New Zealand,1983,12.21000004
New Zealand,1984,12.36999989
New Zealand,1985,12.52999973
New Zealand,1986,12.56999969
New Zealand,1987,12.5
New Zealand,1988,12.27999973
New Zealand,1989,12.01000023
New Zealand,1990,11.89999962
New Zealand,1991,11.97000027
New Zealand,1992,12.11999989
New Zealand,1993,12.11999989
New Zealand,1994,12.40999985
New Zealand,1995,12.32999992
New Zealand,1996,12.57999992
New Zealand,1997,12.60999966
New Zealand,1998,12.56999969
New Zealand,1999,12.77000046
New Zealand,2000,13.06000042
New Zealand,2001,13.02000046
New Zealand,2002,12.93000031
New Zealand,2003,13.10999966
New Zealand,2004,13.21000004
New Zealand,2005,13.27999973
New Zealand,2006,13.23999977
New Zealand,2007,13.35000038
New Zealand,2008,13.39000034
New Zealand,2009,13.27999973
New Zealand,2010,13.64999962
New Zealand,2011,13.64000034
New Zealand,2012,13.60000038
New Zealand,2013,14.11999989
New Zealand,2014,13.73999977
New Zealand,2015,13.73999977
New Zealand,2016,13.90999985
New Zealand,2017,13.59000015
New Zealand,2018,13.63000011
Singapore,1980,8.7
Singapore,1981,8.6
Singapore,1982,8.9
Singapore,1983,8.9
Singapore,1984,9.2
Singapore,1985,8.8
Singapore,1986,8.9
Singapore,1987,9
Singapore,1988,9
Singapore,1989,9
Singapore,1990,9.2
Singapore,1991,10
Singapore,1992,10.3
Singapore,1993,9.6
Singapore,1994,10
Singapore,1995,10.5
Singapore,1996,10.2
Singapore,1997,9.9
Singapore,1998,9.8
Singapore,1999,9.8
Singapore,2000,9.6
Singapore,2001,9.5
Singapore,2002,9.6
Singapore,2003,9.6
Singapore,2004,9.2
Singapore,2005,9.3
Singapore,2006,9.6
Singapore,2007,9.6
Singapore,2008,9.9
Singapore,2009,10.1
Singapore,2010,10.6
Singapore,2011,10.5
Singapore,2012,10.3
Singapore,2013,10.4
Singapore,2014,10.4
Singapore,2015,10
Singapore,2016,10
Singapore,2017,10.3
Singapore,2018,10.2
