Entity,Year,WHO region
Afghanistan,2020,Eastern Mediterranean
Albania,2020,Europe
Algeria,2020,Africa
Andorra,2020,Europe
Angola,2020,Africa
Antigua and Barbuda,2020,Americas
Argentina,2020,Americas
Armenia,2020,Europe
Australia,2020,Western Pacific
Austria,2020,Europe
Azerbaijan,2020,Europe
Bahamas,2020,Americas
Bahrain,2020,Eastern Mediterranean
Bangladesh,2020,South-East Asia
Barbados,2020,Americas
Belarus,2020,Europe
Belgium,2020,Europe
Belize,2020,Americas
Benin,2020,Africa
Bhutan,2020,South-East Asia
Bolivia,2020,Americas
Bosnia and Herzegovina,2020,Europe
Botswana,2020,Africa
Brazil,2020,Americas
Brunei,2020,Western Pacific
Bulgaria,2020,Europe
Burkina Faso,2020,Africa
Burundi,2020,Africa
Cambodia,2020,Western Pacific
Cameroon,2020,Africa
Canada,2020,Americas
Cape Verde,2020,Africa
Central African Republic,2020,Africa
Chad,2020,Africa
Chile,2020,Americas
China,2020,Western Pacific
Colombia,2020,Americas
Comoros,2020,Africa
Congo,2020,Africa
Cook Islands,2020,Western Pacific
Costa Rica,2020,Americas
Cote d'Ivoire,2020,Africa
Croatia,2020,Europe
Cuba,2020,Americas
Cyprus,2020,Europe
Czech Republic,2020,Europe
Democratic Republic of Congo,2020,Africa
Denmark,2020,Europe
Djibouti,2020,Eastern Mediterranean
Dominica,2020,Americas
Dominican Republic,2020,Americas
Ecuador,2020,Americas
Egypt,2020,Eastern Mediterranean
El Salvador,2020,Americas
Equatorial Guinea,2020,Africa
Eritrea,2020,Africa
Estonia,2020,Europe
Ethiopia,2020,Africa
Fiji,2020,Western Pacific
Finland,2020,Europe
France,2020,Europe
Gabon,2020,Africa
Gambia,2020,Africa
Georgia,2020,Europe
Germany,2020,Europe
Ghana,2020,Africa
Greece,2020,Europe
Grenada,2020,Americas
Guatemala,2020,Americas
Guinea,2020,Africa
Guinea-Bissau,2020,Africa
Guyana,2020,Americas
Haiti,2020,Americas
Honduras,2020,Americas
Hungary,2020,Europe
Iceland,2020,Europe
India,2020,South-East Asia
Indonesia,2020,South-East Asia
Iran,2020,Eastern Mediterranean
Iraq,2020,Eastern Mediterranean
Ireland,2020,Europe
Israel,2020,Europe
Italy,2020,Europe
Jamaica,2020,Americas
Japan,2020,Western Pacific
Jordan,2020,Eastern Mediterranean
Kazakhstan,2020,Europe
Kenya,2020,Africa
Kiribati,2020,Western Pacific
Kuwait,2020,Eastern Mediterranean
Kyrgyzstan,2020,Europe
Laos,2020,Western Pacific
Latvia,2020,Europe
Lebanon,2020,Eastern Mediterranean
Lesotho,2020,Africa
Liberia,2020,Africa
Libya,2020,Eastern Mediterranean
Lithuania,2020,Europe
Luxembourg,2020,Europe
Macedonia,2020,Europe
Madagascar,2020,Africa
Malawi,2020,Africa
Malaysia,2020,Western Pacific
Maldives,2020,South-East Asia
Mali,2020,Africa
Malta,2020,Europe
Marshall Islands,2020,Western Pacific
Mauritania,2020,Africa
Mauritius,2020,Africa
Mexico,2020,Americas
Micronesia (country),2020,Western Pacific
Moldova,2020,Europe
Monaco,2020,Europe
Mongolia,2020,Western Pacific
Montenegro,2020,Europe
Morocco,2020,Eastern Mediterranean
Mozambique,2020,Africa
Myanmar,2020,South-East Asia
Namibia,2020,Africa
Nauru,2020,Western Pacific
Nepal,2020,South-East Asia
Netherlands,2020,Europe
New Zealand,2020,Western Pacific
Nicaragua,2020,Americas
Niger,2020,Africa
Nigeria,2020,Africa
Niue,2020,Western Pacific
North Korea,2020,South-East Asia
Norway,2020,Europe
Oman,2020,Eastern Mediterranean
Pakistan,2020,Eastern Mediterranean
Palau,2020,Western Pacific
Panama,2020,Americas
Papua New Guinea,2020,Western Pacific
Paraguay,2020,Americas
Peru,2020,Americas
Philippines,2020,Western Pacific
Poland,2020,Europe
Portugal,2020,Europe
Qatar,2020,Eastern Mediterranean
Romania,2020,Europe
Russia,2020,Europe
Rwanda,2020,Africa
Saint Kitts and Nevis,2020,Americas
Saint Lucia,2020,Americas
Saint Vincent and the Grenadines,2020,Americas
Samoa,2020,Western Pacific
San Marino,2020,Europe
Sao Tome and Principe,2020,Africa
Saudi Arabia,2020,Eastern Mediterranean
Senegal,2020,Africa
Serbia,2020,Europe
Seychelles,2020,Africa
Sierra Leone,2020,Africa
Singapore,2020,Western Pacific
Slovakia,2020,Europe
Slovenia,2020,Europe
Solomon Islands,2020,Western Pacific
Somalia,2020,Eastern Mediterranean
South Africa,2020,Africa
South Korea,2020,Western Pacific
South Sudan,2020,Eastern Mediterranean
Spain,2020,Europe
Sri Lanka,2020,South-East Asia
Sudan,2020,Eastern Mediterranean
Suriname,2020,Americas
Swaziland,2020,Africa
Sweden,2020,Europe
Switzerland,2020,Europe
Syria,2020,Eastern Mediterranean
Tajikistan,2020,Europe
Tanzania,2020,Africa
Thailand,2020,South-East Asia
Timor,2020,South-East Asia
Togo,2020,Africa
Tonga,2020,Western Pacific
Trinidad and Tobago,2020,Americas
Tunisia,2020,Eastern Mediterranean
Turkey,2020,Europe
Turkmenistan,2020,Europe
Tuvalu,2020,Western Pacific
Uganda,2020,Africa
Ukraine,2020,Europe
United Arab Emirates,2020,Eastern Mediterranean
United Kingdom,2020,Europe
United States,2020,Americas
Uruguay,2020,Americas
Uzbekistan,2020,Europe
Vanuatu,2020,Western Pacific
Venezuela,2020,Americas
Vietnam,2020,Western Pacific
Yemen,2020,Eastern Mediterranean
Zambia,2020,Africa
Zimbabwe,2020,Africa
