Entity,Year,Fatal accidents from commercial and non-commercial airliners (ASN),Fatalities from commercial and non-commercial airliners (ASN),Hijacking incidents (ASN),Fatalties from hijaking incidents (ASN),Fatal accidents from commercial airliners (ASN),Fatalities from commercial airliners (ASN),Number of flight departures (ASN),Fatal accidents from passenger-only commercial airliners (ASN),Fatalities from passenger-only commercial airliners (ASN),Fatalities per million flights (ASN),Fatal accidents per million commercial flights (ASN),Million flights per fatal accident (ASN),Passengers per year (World Bank),Fatalities per million passengers (ASN),Million passengers per fatality (ASN),Number of flight departures
World,1942,29,320,0,0,,,,,,,,,,,,
World,1943,37,301,0,0,,,,,,,,,,,,
World,1944,40,324,0,0,,,,,,,,,,,,
World,1945,35,308,0,0,,,,,,,,,,,,
World,1946,72,840,0,0,60,792,,54,779,,,,,,,
World,1947,82,1083,0,0,72,1050,,53,994,,,,,,,
World,1948,99,1302,7,26,80,1234,,63,1172,,,,,,,
World,1949,79,1099,7,1,70,1100,,61,1076,,,,,,,
World,1950,69,1118,4,0,55,1062,,46,1036,,,,,,,
World,1951,61,817,1,0,60,918,,47,869,,,,,,,
World,1952,73,972,4,2,51,762,,34,708,,,,,,,
World,1953,55,701,0,0,61,922,,47,882,,,,,,,
World,1954,62,624,2,1,46,680,,36,650,,,,,,,
World,1955,55,836,0,0,55,695,,41,650,,,,,,,
World,1956,74,970,2,1,44,799,,33,770,,,,,,,
World,1957,71,1226,0,0,53,857,,37,796,,,,,,,
World,1958,73,1080,8,19,61,1183,,46,1130,,,,,,,
World,1959,74,1481,6,1,60,1021,,44,957,,,,,,,
World,1960,64,1344,8,3,61,1448,,53,1406,,,,,,,
World,1961,70,1681,10,3,50,1367,,38,1324,,,,,,,
World,1962,57,1267,1,0,57,1724,,43,1657,,,,,,,
World,1963,49,1016,1,0,47,1199,,36,1153,,,,,,,
World,1964,55,1131,0,0,43,1049,,31,1018,,,,,,,
World,1965,62,1468,5,1,48,1201,,35,1135,,,,,,,
World,1966,66,1334,4,2,48,1429,,36,1389,,,,,,,
World,1967,65,1390,5,1,50,1323,,38,1264,,,,,,,
World,1968,71,1676,29,1,53,1356,,39,1296,,,,,,,
World,1969,78,1475,86,5,66,1654,,46,1565,,,,,,,
World,1970,51,1433,77,7,60,1476,9448300,47,1400,156.2,6.35,0.16,310441392,4.75,0.2,9448300
World,1971,72,2373,54,8,46,1457,9504500,37,1417,153.3,4.84,0.21,331604904,4.39,0.2,9504500
World,1972,69,2028,59,25,64,2469,,55,2429,,,,,,,
World,1973,68,1994,22,88,60,2268,9764900,49,2223,232.3,6.14,0.16,401571800,5.65,0.2,9764900
World,1974,56,1191,20,83,58,2109,9254900,46,2065,227.9,6.27,0.16,421145200,5.01,0.2,9254900
World,1975,66,1627,19,2,43,1149,9244700,36,1124,124.3,4.65,0.21,432276500,2.66,0.4,9244700
World,1976,61,1652,16,15,51,1708,9562900,40,1648,178.6,5.33,0.19,471773396,3.62,0.3,9562900
World,1977,63,1259,32,114,51,1712,9915900,30,1634,172.7,5.14,0.19,513269292,3.34,0.3,9915900
World,1978,77,1776,26,4,41,1235,10183700,36,1203,121.3,4.03,0.25,576090004,2.14,0.5,10183700
World,1979,48,1300,23,0,55,1749,10653400,41,1683,164.2,5.16,0.19,648400600,2.70,0.4,10653400
World,1980,46,907,37,1,33,1336,10704900,26,1310,124.8,3.08,0.32,641872888,2.08,0.5,10704900
World,1981,37,1175,31,6,37,866,10270100,27,830,84.3,3.60,0.28,640619400,1.35,0.7,10270100
World,1982,36,862,31,1,31,1138,10335800,28,1116,110.1,3.00,0.33,654482108,1.74,0.6,10335800
World,1983,39,676,35,12,32,1347,10758700,29,1335,125.2,2.97,0.34,685101596,1.97,0.5,10758700
World,1984,42,2010,27,33,30,639,11404000,21,591,56.0,2.63,0.38,732410288,0.87,1.1,11404000
World,1985,45,817,26,65,39,2421,11897900,30,2391,203.5,3.28,0.31,783198104,3.09,0.3,11897900
World,1986,45,1109,16,87,37,883,12677000,31,864,69.7,2.92,0.34,842594296,1.05,1.0,12677000
World,1987,59,1147,12,2,43,1316,13244800,31,1272,99.4,3.25,0.31,904838104,1.45,0.7,13244800
World,1988,66,1554,15,12,54,1708,13880900,40,1646,123.0,3.89,0.26,953896012,1.79,0.6,13880900
World,1989,48,702,15,1,54,1784,14021100,40,1707,127.2,3.85,0.26,983208800,1.81,0.6,14021100
World,1990,54,1148,38,86,43,758,14583900,29,708,52.0,2.95,0.34,1024976616,0.74,1.4,14583900
World,1991,60,1544,20,6,49,1145,14360900,28,1029,79.7,3.41,0.29,1133228204,1.01,1.0,14360900
World,1992,51,1134,11,4,48,1494,14918800,33,1366,100.1,3.22,0.31,1145436692,1.30,0.8,14918800
World,1993,51,1134,36,4,45,1235,15986200,33,1162,77.3,2.81,0.36,1142265216,1.08,0.9,15986200
World,1994,58,1452,27,8,49,1435,17218900,34,1350,83.3,2.85,0.35,1233233404,1.16,0.9,17218900
World,1995,51,1134,12,1,48,1181,18008200,35,1136,65.6,2.67,0.38,1302891640,0.91,1.1,18008200
World,1996,57,1843,17,125,49,1924,18953600,29,1773,101.5,2.59,0.39,1390963704,1.38,0.7,18953600
World,1997,46,1162,12,1,37,1240,19546600,31,1209,63.4,1.89,0.53,1455104192,0.85,1.2,19546600
World,1998,45,1191,14,1,47,1330,19653200,26,1221,67.7,2.39,0.42,1466961780,0.91,1.1,19653200
World,1999,44,478,13,2,43,689,20736600,26,617,33.2,2.07,0.48,1562256300,0.44,2.3,20736600
World,2000,43,1148,27,5,37,1139,22008658,27,1116,51.8,1.68,0.59,1674064712,0.68,1.5,22008658
World,2001,35,801,11,268,36,1125,22264220,29,1104,50.5,1.62,0.62,1655230214,0.68,1.5,22264220
World,2002,43,1112,10,2,33,1069,20817389,21,1015,51.4,1.59,0.63,1627404873,0.66,1.5,20817389
World,2003,33,703,9,0,24,666,21282617,16,633,31.3,1.13,0.89,1665309283,0.40,2.5,21282617
World,2004,34,459,4,0,32,541,23752616,15,485,22.8,1.35,0.74,1888695284,0.29,3.5,23752616
World,2005,40,1075,1,0,34,1056,24228965,24,1015,43.6,1.40,0.71,1969590799,0.54,1.9,24228965
World,2006,33,905,3,0,24,881,24843166,17,852,35.5,0.97,1.04,2072413898,0.43,2.4,24843166
World,2007,31,760,6,0,29,771,26016011,18,694,29.6,1.11,0.90,2209136496,0.35,2.9,26016011
World,2008,33,588,3,0,26,552,25498093,16,523,21.6,1.02,0.98,2208218737,0.25,4.0,25498093
World,2009,31,760,5,0,23,725,26120525,12,677,27.8,0.88,1.14,2249728546,0.32,3.1,26120525
World,2010,32,943,1,0,27,831,29637587,19,795,28.0,0.91,1.10,2628261258,0.32,3.2,29637587
World,2011,36,524,1,0,32,511,30564579,23,473,16.7,1.05,0.96,2786953830,0.18,5.5,30564579
