Entity,Year,Cattle,Sheep and goats,Pigs,Horses,Poultry
Kazakhstan,1991,9592400,34555700,2976100,1666400,59900000
Kazakhstan,1992,9576300,34419800,2591000,1703500,52700000
Kazakhstan,1993,9346600,34208100,2445200,1776600,49800000
Kazakhstan,1994,8072900,25132100,1982700,1636000,32700000
Kazakhstan,1995,6859900,19583900,1622700,1556900,20800000
Kazakhstan,1996,5424600,13679400,1036500,1310000,15400000
Kazakhstan,1997,4307100,10384300,879000,1082700,16000000
Kazakhstan,1998,3957900,9526500,891800,986300,17000000
Kazakhstan,1999,3998200,9656700,984200,969600,18000000
Kazakhstan,2000,4106600,9981100,1076000,976000,19700000
Kazakhstan,2001,4293500,10478600,1123800,989500,21100000
Kazakhstan,2002,4559500,11273000,1229800,1019300,23800000
Kazakhstan,2003,4871000,12247100,1368800,1064300,24800000
Kazakhstan,2004,5203900,13409100,1292100,1120400,25600000
Kazakhstan,2005,5457400,14334500,1281900,1163500,26200000
Kazakhstan,2006,5660400,15350300,1304900,1235600,28200000
Kazakhstan,2007,5840900,16080000,1352700,1291100,29500000
Kazakhstan,2008,5991600,16770400,1347300,1370500,30100000
Kazakhstan,2009,6095200,17369700,1326300,1438700,32700000
Kazakhstan,2010,6175300,17988100,1344000,1528300,32800000
Kazakhstan,2011,5702400,18091900,1204200,1607400,32900000
Kazakhstan,2012,5690000,17633300,1031600,1686200,33500000
Kazakhstan,2013,5851200,17560600,922300,1784500,34200000
Kazakhstan,2014,6032700,17914600,884700,1937900,35000000
Kazakhstan,2015,6183900,18015500,887600,2070300,35600000
Kazakhstan,2016,6413200,18184200,834200,2259200,36900000
