Entity,Year,"Liquor stores (at home) (USDA, 2018)","Food stores (at home) (USDA, 2018)","Other (at home) (USDA, 2018)","Total (at home) (USDA, 2018)","Restaurants & bars (away from home) (USDA, 2018)","Hotels & motels (away from home) (USDA, 2018)","All other (away from home) (USDA, 2018)",Total (away from home),"Total alcohol expenditure (USDA, 2018)"
United States,1935,305000000,65000000,199000000,569000000,964000000,81000000,20000000,1065000000,1634000000
United States,1936,435000000,95000000,220000000,750000000,1195000000,97000000,24000000,1316000000,2066000000
United States,1937,504000000,113000000,235000000,852000000,1299000000,109000000,28000000,1436000000,2288000000
United States,1938,479000000,111000000,227000000,817000000,1246000000,98000000,26000000,1370000000,2187000000
United States,1939,517000000,122000000,237000000,876000000,1365000000,103000000,28000000,1496000000,2372000000
United States,1940,602000000,131000000,244000000,977000000,1459000000,113000000,30000000,1602000000,2579000000
United States,1941,758000000,151000000,271000000,1180000000,1753000000,124000000,37000000,1914000000,3094000000
United States,1942,1081000000,194000000,311000000,1586000000,2176000000,145000000,47000000,2368000000,3954000000
United States,1943,1395000000,225000000,361000000,1981000000,2744000000,194000000,60000000,2998000000,4979000000
United States,1944,1734000000,252000000,393000000,2379000000,3144000000,219000000,69000000,3432000000,5811000000
United States,1945,2070000000,272000000,422000000,2764000000,3609000000,236000000,79000000,3924000000,6688000000
United States,1946,2443000000,368000000,472000000,3283000000,3984000000,272000000,91000000,4347000000,7630000000
United States,1947,2540000000,341000000,481000000,3362000000,4178000000,274000000,96000000,4548000000,7910000000
United States,1948,2487000000,475000000,484000000,3446000000,4172000000,272000000,100000000,4544000000,7990000000
United States,1949,2359000000,550000000,479000000,3388000000,4029000000,258000000,110000000,4397000000,7785000000
United States,1950,2399000000,569000000,487000000,3455000000,4028000000,259000000,126000000,4413000000,7868000000
United States,1951,2646000000,617000000,526000000,3789000000,4341000000,272000000,152000000,4765000000,8554000000
United States,1952,2786000000,668000000,545000000,3999000000,4442000000,281000000,176000000,4899000000,8898000000
United States,1953,2830000000,698000000,552000000,4080000000,4482000000,282000000,196000000,4960000000,9040000000
United States,1954,2942000000,685000000,562000000,4189000000,4454000000,274000000,218000000,4946000000,9135000000
United States,1955,3060000000,717000000,584000000,4361000000,4552000000,290000000,226000000,5068000000,9429000000
United States,1956,3408000000,756000000,616000000,4780000000,4753000000,309000000,238000000,5300000000,10080000000
United States,1957,3642000000,806000000,645000000,5093000000,4861000000,325000000,252000000,5438000000,10531000000
United States,1958,3841000000,868000000,656000000,5365000000,4910000000,330000000,261000000,5501000000,10866000000
United States,1959,4056000000,919000000,678000000,5653000000,5014000000,356000000,289000000,5659000000,11312000000
United States,1960,4137000000,966000000,690000000,5793000000,5039000000,378000000,317000000,5734000000,11527000000
United States,1961,4120000000,979000000,695000000,5794000000,4975000000,395000000,337000000,5707000000,11501000000
United States,1962,4494000000,1071000000,714000000,6279000000,5172000000,427000000,365000000,5964000000,12243000000
United States,1963,4665000000,1169000000,725000000,6559000000,5306000000,458000000,385000000,6149000000,12708000000
United States,1964,4958000000,1272000000,761000000,6991000000,5465000000,493000000,408000000,6366000000,13357000000
United States,1965,5247000000,1382000000,809000000,7438000000,5681000000,541000000,440000000,6662000000,14100000000
United States,1966,5676000000,1535000000,864000000,8075000000,5981000000,593000000,487000000,7061000000,15136000000
United States,1967,6005000000,1539000000,904000000,8448000000,6222000000,623000000,551000000,7396000000,15844000000
United States,1968,6576000000,1708000000,955000000,9234000000,6642000000,667000000,587000000,7896000000,17130000000
United States,1969,7034000000,1834000000,987000000,9855000000,6878000000,691000000,624000000,8193000000,18048000000
United States,1970,7671000000,2110000000,1064000000,10845000000,7652000000,760000000,657000000,9069000000,19914000000
United States,1971,8506000000,2297000000,1102000000,11905000000,8026000000,849000000,678000000,9553000000,21458000000
United States,1972,8810000000,2702000000,1113000000,12625000000,7911000000,961000000,704000000,9576000000,22201000000
United States,1973,9236000000,3105000000,1254000000,13595000000,8747000000,1069000000,757000000,10573000000,24168000000
United States,1974,9948000000,3600000000,1355000000,14903000000,9371000000,1167000000,778000000,11316000000,26219000000
United States,1975,10681000000,4080000000,1519000000,16280000000,10324000000,1315000000,887000000,12526000000,28806000000
United States,1976,11170000000,4209000000,1717000000,17096000000,11088000000,1555000000,947000000,13590000000,30686000000
United States,1977,11686000000,4603000000,1946000000,18235000000,11981000000,1713000000,1266000000,14960000000,33195000000
