Entity,Year,Product complexity index (PCI) SITC classification - OEC (2016)
Abrasive Powder,1962,1.19491
Abrasive Powder,1963,1.2928801
Abrasive Powder,1964,1.12377
Abrasive Powder,1965,1.0647
Abrasive Powder,1966,1.10507
Abrasive Powder,1967,1.16403
Abrasive Powder,1968,1.39653
Abrasive Powder,1969,1.17003
Abrasive Powder,1970,1.1334
Abrasive Powder,1971,.234302
Abrasive Powder,1972,1.36669
Abrasive Powder,1973,.95345902
Abrasive Powder,1974,.992028
Abrasive Powder,1975,.94756699
Abrasive Powder,1976,.72084802
Abrasive Powder,1977,.83331603
Abrasive Powder,1978,.774602
Abrasive Powder,1979,.91443598
Abrasive Powder,1980,.67334598
Abrasive Powder,1981,.76697397
Abrasive Powder,1982,.739847
Abrasive Powder,1983,.59167898
Abrasive Powder,1984,.70819801
Abrasive Powder,1985,.627841
Abrasive Powder,1986,.74051797
Abrasive Powder,1987,.96113801
Abrasive Powder,1988,1.05847
Abrasive Powder,1989,.89204103
Abrasive Powder,1990,.981543
Abrasive Powder,1991,1.21986
Abrasive Powder,1992,1.02914
Abrasive Powder,1993,.86008799
Abrasive Powder,1994,1.14478
Abrasive Powder,1995,1.13963
Abrasive Powder,1996,1.10969
Abrasive Powder,1997,1.32591
Abrasive Powder,1998,1.38227
Abrasive Powder,1999,1.06796
Abrasive Powder,2000,1.47443
Abrasive Powder,2001,1.42344
Abrasive Powder,2002,1.37409
Abrasive Powder,2003,1.42313
Abrasive Powder,2004,1.29159
Abrasive Powder,2005,1.35806
Abrasive Powder,2006,1.33983
Abrasive Powder,2007,1.32921
Abrasive Powder,2008,1.15166
Abrasive Powder,2009,1.45452
Abrasive Powder,2010,1.22878
Abrasive Powder,2011,1.33354
Abrasive Powder,2012,1.4094599
Abrasive Powder,2013,1.15864
Abrasive Powder,2014,1.56014
Abrasive Powder,2015,1.55706
Abrasive Powder,2016,1.39742
Acrylic Polymers,1976,.99876499
Acrylic Polymers,1977,1.32301
Acrylic Polymers,1978,1.14166
Acrylic Polymers,1979,1.11757
Acrylic Polymers,1980,1.61962
Acrylic Polymers,1981,1.05349
Acrylic Polymers,1982,.723427
Acrylic Polymers,1983,1.24149
Acrylic Polymers,1984,1.37558
Acrylic Polymers,1985,1.39469
Acrylic Polymers,1986,1.29763
Acrylic Polymers,1987,1.35217
Acrylic Polymers,1988,1.45684
Acrylic Polymers,1989,1.45595
Acrylic Polymers,1990,1.11628
Acrylic Polymers,1991,.81383699
Acrylic Polymers,1992,1.6251
Acrylic Polymers,1993,.99114603
Acrylic Polymers,1994,1.01254
Acrylic Polymers,1995,1.43246
Acrylic Polymers,1996,.96961701
Acrylic Polymers,1997,1.13793
Acrylic Polymers,1998,.96093202
Acrylic Polymers,1999,1.15861
Acrylic Polymers,2000,1.348
Acrylic Polymers,2001,1.54164
Acrylic Polymers,2002,1.35807
Acrylic Polymers,2003,1.54643
Acrylic Polymers,2004,1.9042799
Acrylic Polymers,2005,1.3600399
Acrylic Polymers,2006,1.3023
Acrylic Polymers,2007,1.02227
Acrylic Polymers,2008,1.22454
Acrylic Polymers,2009,.98643398
Acrylic Polymers,2010,1.31982
Acrylic Polymers,2011,1.1953599
Acrylic Polymers,2012,1.12445
Acrylic Polymers,2013,1.1028301
Acrylic Polymers,2014,1.17238
Acrylic Polymers,2015,1.14448
Acrylic Polymers,2016,1.28607
Acyclic Alcohols,1962,-.173664
Acyclic Alcohols,1963,.33426699
Acyclic Alcohols,1964,.43809399
Acyclic Alcohols,1965,.57581598
Acyclic Alcohols,1966,.194511
Acyclic Alcohols,1967,-.008684
Acyclic Alcohols,1968,.436804
Acyclic Alcohols,1969,.53389502
Acyclic Alcohols,1970,.32867101
Acyclic Alcohols,1971,-.055227999
Acyclic Alcohols,1972,.062309001
Acyclic Alcohols,1973,.43681601
Acyclic Alcohols,1974,.265807
Acyclic Alcohols,1975,.465826
Acyclic Alcohols,1976,.25520599
Acyclic Alcohols,1977,.199744
Acyclic Alcohols,1978,.108481
Acyclic Alcohols,1979,.116042
Acyclic Alcohols,1980,-.37492901
Acyclic Alcohols,1981,-.34409899
Acyclic Alcohols,1982,-.101447
Acyclic Alcohols,1983,-.30635601
Acyclic Alcohols,1984,-.58723998
Acyclic Alcohols,1985,-.87621999
Acyclic Alcohols,1986,-.73555797
Acyclic Alcohols,1987,-.63428098
Acyclic Alcohols,1988,-.51882797
Acyclic Alcohols,1989,-.59263003
Acyclic Alcohols,1990,-.565332
Acyclic Alcohols,1991,-.76630098
Acyclic Alcohols,1992,-.74101698
Acyclic Alcohols,1993,-.64517999
Acyclic Alcohols,1994,-.71877998
Acyclic Alcohols,1995,-.581339
Acyclic Alcohols,1996,-.69462198
Acyclic Alcohols,1997,-.75837898
Acyclic Alcohols,1998,-.620242
Acyclic Alcohols,1999,-.92896098
Acyclic Alcohols,2000,-.87911397
Acyclic Alcohols,2001,-.822887
Acyclic Alcohols,2002,-.80156201
Acyclic Alcohols,2003,-.91210401
Acyclic Alcohols,2004,-.73649001
Acyclic Alcohols,2005,-.82891297
Acyclic Alcohols,2006,-1.0134701
Acyclic Alcohols,2007,-1.07032
Acyclic Alcohols,2008,-1.34235
Acyclic Alcohols,2009,-1.22821
Acyclic Alcohols,2010,-1.18218
Acyclic Alcohols,2011,-1.14253
Acyclic Alcohols,2012,-.95171303
Acyclic Alcohols,2013,-1.07846
Acyclic Alcohols,2014,-.63184398
Acyclic Alcohols,2015,-.713687
Acyclic Alcohols,2016,-.427376
Acyclic Hydrocarbons,1976,.94015801
Acyclic Hydrocarbons,1977,.74664599
Acyclic Hydrocarbons,1978,.842713
Acyclic Hydrocarbons,1979,1.10244
Acyclic Hydrocarbons,1980,.88968199
Acyclic Hydrocarbons,1981,.216187
Acyclic Hydrocarbons,1982,.32368201
Acyclic Hydrocarbons,1983,.63633901
Acyclic Hydrocarbons,1984,.36057401
Acyclic Hydrocarbons,1985,.37508401
Acyclic Hydrocarbons,1986,.36581999
Acyclic Hydrocarbons,1987,-.098191999
Acyclic Hydrocarbons,1988,.24339999
Acyclic Hydrocarbons,1989,-.18381201
Acyclic Hydrocarbons,1990,.013422
Acyclic Hydrocarbons,1991,-.235967
Acyclic Hydrocarbons,1992,-.094283998
Acyclic Hydrocarbons,1993,-.34061301
Acyclic Hydrocarbons,1994,-.107409
Acyclic Hydrocarbons,1995,-.164221
Acyclic Hydrocarbons,1996,-.212341
Acyclic Hydrocarbons,1997,-.33196399
Acyclic Hydrocarbons,1998,-.21988501
Acyclic Hydrocarbons,1999,-.51090997
Acyclic Hydrocarbons,2000,-.54780799
Acyclic Hydrocarbons,2001,-.218155
Acyclic Hydrocarbons,2002,.082487002
Acyclic Hydrocarbons,2003,-.210583
Acyclic Hydrocarbons,2004,.048918001
Acyclic Hydrocarbons,2005,-.045451999
Acyclic Hydrocarbons,2006,.033295002
Acyclic Hydrocarbons,2007,-.47082701
Acyclic Hydrocarbons,2008,-.577797
Acyclic Hydrocarbons,2009,-.307549
Acyclic Hydrocarbons,2010,.087362401
Acyclic Hydrocarbons,2011,.37544501
Acyclic Hydrocarbons,2012,.50248998
Acyclic Hydrocarbons,2013,.51713502
Acyclic Hydrocarbons,2014,.74239701
Acyclic Hydrocarbons,2015,.87070101
Acyclic Hydrocarbons,2016,.80285698
Agave Fibers,1962,-2.1486199
Agave Fibers,1963,-1.99026
Agave Fibers,1964,-2.7985301
Agave Fibers,1965,-2.6082499
Agave Fibers,1966,-2.59163
Agave Fibers,1967,-2.57651
Agave Fibers,1968,-2.1169
Agave Fibers,1969,-2.0199001
Agave Fibers,1970,-2.441
Agave Fibers,1971,-.32786101
Agave Fibers,1972,-1.89056
Agave Fibers,1973,-1.9528199
Agave Fibers,1974,-2.82337
Agave Fibers,1975,-2.56936
Agave Fibers,1976,-2.0560999
Agave Fibers,1977,-2.4641199
Agave Fibers,1978,-3.0404999
Agave Fibers,1979,-2.9798701
Agave Fibers,1980,-2.65149
Agave Fibers,1981,-2.7693999
Agave Fibers,1982,-2.77949
Agave Fibers,1983,-2.0899501
Agave Fibers,1984,-2.9818599
Agave Fibers,1985,-2.42697
Agave Fibers,1986,-2.17242
Agave Fibers,1987,-2.1618099
