Entity,Year,Urban,Rural
Asia,2006,22,56
Central Asia,2006,5,34
Eastern Africa,2006,68,97
Eastern Europe,2006,13,47
Latin America & the Caribbean,2006,17,56
Middle Africa,2006,57,94
South Asia,2006,38,93
Southeast Asia,2006,44,80
Southern Africa,2006,12,83
Sub-Saharan Africa,2006,66,95
Western Africa,2006,78,96
Western Asia,2006,3,27
