Entity,Year,Crude Oil Prices (BP Statistics (2016))
World,1861,12.87358547
World,1862,24.82762911
World,1863,60.39153027
World,1864,121.6478363
World,1865,101.6236496
World,1866,60.2956707
World,1867,40.70380011
World,1868,64.37449548
World,1869,64.55183569
World,1870,72.0561266
World,1871,85.51738916
World,1872,71.72426188
World,1873,36.05917562
World,1874,24.41035803
World,1875,29.01930675
World,1876,56.74886654
World,1877,53.6454129
World,1878,29.10825482
World,1879,21.78751126
World,1880,23.23768242
World,1881,21.03621777
World,1882,19.0793603
World,1883,25.33431542
World,1884,22.06900366
World,1885,23.11990859
World,1886,18.65356261
World,1887,17.60265768
World,1888,23.11990859
World,1889,24.696266
World,1890,22.85718236
World,1891,17.60265768
World,1892,14.7126691
World,1893,16.81447898
World,1894,22.91781149
World,1895,38.58922925
World,1896,33.48183126
World,1897,22.41580228
World,1898,25.82073428
World,1899,36.60301892
World,1900,33.76557559
World,1901,27.23945594
World,1902,21.82648713
World,1903,24.696266
World,1904,22.59445612
World,1905,16.28902651
World,1906,19.17901508
World,1907,18.2407071
World,1908,18.91628885
World,1909,18.39083638
World,1910,15.45393241
World,1911,15.45393241
World,1912,18.10093157
World,1913,22.68999294
World,1914,19.08702641
World,1915,14.93093332
World,1916,23.86097542
World,1917,28.8143463
World,1918,31.13763434
World,1919,27.53139698
World,1920,36.30206886
World,1921,22.90070105
World,1922,22.7508352
World,1923,18.60199482
World,1924,19.81071042
World,1925,22.70072981
World,1926,25.16257798
World,1927,17.73242686
World,1928,16.17548588
World,1929,17.55800604
World,1930,16.88352677
World,1931,10.11102671
World,1932,15.08800448
World,1933,12.2467632
World,1934,17.69094888
World,1935,16.73949154
World,1936,18.63467947
World,1937,19.46852898
World,1938,18.99712587
World,1939,17.39444061
World,1940,17.22762805
World,1941,18.34113391
World,1942,17.2953201
World,1943,16.43665492
World,1944,16.28970438
World,1945,13.81714303
World,1946,13.5782299
World,1947,20.1478671
World,1948,19.57876558
World,1949,17.6898586
World,1950,16.8239644
World,1951,15.58780223
World,1952,15.25950999
World,1953,17.08548895
World,1954,17.00314925
World,1955,17.07176567
World,1956,16.82474655
World,1957,15.98229333
World,1958,17.0428496
World,1959,16.89495099
World,1960,15.18970848
World,1961,14.24946204
World,1962,14.09587502
World,1963,13.92948909
World,1964,13.73750532
World,1965,13.5071248
World,1966,13.14022248
World,1967,12.76905386
World,1968,12.25709714
World,1969,11.62995016
World,1970,10.98147164
World,1971,13.09243985
World,1972,14.05434965
World,1973,17.55298128
World,1974,55.68908769
World,1975,50.80286373
World,1976,53.30417523
World,1977,54.40507179
World,1978,50.96592546
World,1979,103.1970712
World,1980,105.938545
World,1981,93.68559747
World,1982,80.97876155
World,1983,70.31980271
World,1984,65.65302464
World,1985,60.70807175
World,1986,31.20579662
World,1987,38.46318427
World,1988,29.900289
World,1989,34.83789271
World,1990,43.02542272
World,1991,34.81014941
World,1992,32.63981987
World,1993,27.83782577
World,1994,25.29671118
World,1995,26.46484496
World,1996,31.22232706
World,1997,28.19481502
World,1998,18.48974197
World,1999,25.56550978
World,2000,39.22128852
World,2001,32.71382121
World,2002,32.96796565
World,2003,37.13786281
World,2004,48.01194021
World,2005,66.16705105
World,2006,76.58854296
World,2007,82.74947765
World,2008,107.0645504
World,2009,68.13341367
World,2010,86.40804604
World,2011,117.2294181
World,2012,115.2800938
World,2013,110.5522303
World,2014,99.06345446
World,2015,52.38675889
