Entity,Year,Exports to Africa (CEPII Dyadic (2016)),Exports to Antarctica (CEPII Dyadic (2016)),Exports to Asia (CEPII Dyadic (2016)),Exports to Eastern Europe (CEPII Dyadic (2016)),Exports to North America (CEPII Dyadic (2016)),Exports to Oceania (CEPII Dyadic (2016)),Exports to South America (CEPII Dyadic (2016)),Exports to Western Europe (CEPII Dyadic (2016)) ,Exports to lower-middle income grouping (CEPII Dyadic (2016)),Exports to high-income grouping (CEPII Dyadic (2016)),Exports to low-income grouping (CEPII Dyadic (2016)),Exports to upper-middle income grouping (CEPII Dyadic (2016)),Exports to the World (CEPII Dyadic (2016))
Afghanistan,1956,,,5.15315,1.44144,6.84685,,,2.23423,5.00901,9.22523,,,
Afghanistan,1957,,,5.33333,2.96140,7.71930,,,4.70175,5.22807,12.68070,,,
Afghanistan,1958,,,5.81197,2.32479,5.12821,,,3.65812,5.70940,8.88889,,,
Afghanistan,1959,,,7.10373,4.28216,5.97510,,,3.28631,7.07054,9.29461,,,
Afghanistan,1960,,,3.55165,2.77066,4.09091,,,2.54752,3.53306,6.63843,,0.01860,
Afghanistan,1961,,,2.00405,2.36842,2.36842,,,2.53239,1.93117,4.90081,,0.07287,
Afghanistan,1962,,,2.06707,3.03659,2.92683,,,3.00000,2.04878,5.92683,,0.01829,
Afghanistan,1963,,,2.70266,3.28846,2.26331,,,2.64941,2.60947,5.04586,,0.07988,
Afghanistan,1964,,,1.70000,2.12500,1.37500,,,1.93750,1.68750,3.31250,,0.01250,
Afghanistan,1965,,,2.12583,1.51041,1.29139,,,1.69868,2.08609,2.99054,,0.03974,
Afghanistan,1966,0.00714,,1.95000,1.44286,1.07143,0.02857,,1.69286,1.87143,2.80000,,0.08571,
Afghanistan,1967,,,1.61378,0.79237,0.29880,,,0.84263,1.41036,1.16432,,0.18054,
Afghanistan,1968,,,3.14272,1.05721,0.87379,,,1.30631,2.99272,2.18738,,0.14272,
Afghanistan,1969,0.00074,,2.38351,1.11490,0.56782,,0.00050,1.76763,2.20439,2.35531,,0.16616,
Afghanistan,1970,0.00078,,2.16435,0.97416,0.23632,0.00091,,1.19562,1.95768,1.47556,,0.19029,
Afghanistan,1971,0.00022,,1.92768,1.60270,0.28180,0.00459,,1.70716,1.72251,2.03828,0.00022,0.16160,
Afghanistan,1972,0.00074,,2.13731,1.51230,0.19473,0.00407,,2.55209,1.88165,2.82959,,0.19686,
Afghanistan,1973,0.00634,,2.41090,1.53675,0.17556,0.00254,0.00058,2.83096,1.95236,3.14885,,0.39300,
Afghanistan,1974,0.00696,,2.52422,1.19988,0.23702,0.00260,0.00046,2.36088,1.86903,2.86571,,0.52460,
Afghanistan,1975,0.01386,,2.83513,1.26010,0.38903,0.00693,,1.57775,1.89892,2.14894,0.00541,0.79961,
Afghanistan,1976,0.02559,,3.41452,1.90234,0.52740,0.01945,,2.59141,2.56907,3.46846,0.01240,0.57960,
Afghanistan,1977,0.00521,,3.39677,1.79357,0.56289,0.02269,,2.85752,2.34288,4.06321,,0.47045,
Afghanistan,1978,0.00091,,2.14545,1.72364,0.41355,0.02242,,2.09333,1.84333,2.88079,,0.01009,
Afghanistan,1979,0.00462,,2.48949,1.77886,0.39863,0.02028,,2.28506,2.15634,3.10522,0.00165,0.00138,
Afghanistan,1980,0.00350,,1.93323,2.00664,0.18123,0.03301,,2.76655,1.70816,3.22570,0.00008,0.01692,
Afghanistan,1981,0.22059,,2.13615,1.77415,0.39183,0.03332,,2.52416,1.90365,3.25872,0.22002,0.01190,
Afghanistan,1982,0.00622,,1.82423,1.16079,0.28248,0.03277,0.00022,1.58658,1.61957,2.07000,0.00002,0.07836,
Afghanistan,1983,0.01148,,1.52181,1.25763,0.22393,0.76777,,1.51670,0.94797,3.10568,0.00045,0.01216,
Afghanistan,1984,0.22281,,1.70782,1.61872,0.53457,0.03735,,2.72561,1.69786,3.51604,,0.02660,
Afghanistan,1985,0.04141,,1.42740,3.43330,0.30168,0.01278,0.00637,3.75829,1.24015,4.32171,0.00008,0.03368,
Afghanistan,1986,0.00607,,1.64965,3.31830,0.23735,0.01469,,2.20865,1.49383,2.64406,0.00007,0.02453,
Afghanistan,1987,0.02382,,2.02632,4.78972,0.33724,0.01722,0.00067,3.96075,1.73721,4.72687,0.00363,0.01567,
Afghanistan,1988,0.01990,,2.31044,4.14326,0.34848,0.02067,,4.49811,1.89370,5.33591,0.00066,0.04978,
Afghanistan,1989,0.00256,,0.63386,1.88316,0.20155,0.02076,0.00098,2.43225,0.35323,2.98172,0.00025,0.01598,
Afghanistan,2001,0.15079,,2.22591,0.08380,0.05835,0.01300,0.14071,1.10869,2.09996,1.14195,0.00733,0.53132,
Afghanistan,2002,0.13103,,1.34285,0.05129,0.13714,0.00675,0.05500,0.62025,1.29857,0.71768,0.00644,0.32138,
Afghanistan,2003,0.10231,,1.81480,0.10097,1.40794,0.00524,0.01612,1.56347,1.68604,2.96977,0.00476,0.35027,
Afghanistan,2004,0.04596,,2.18151,0.18212,0.53982,0.00510,0.01644,0.83046,2.00700,1.40686,0.00288,0.38468,
Afghanistan,2005,0.07862,,2.20003,0.18635,1.09739,0.02043,0.02287,0.53519,1.93661,1.83428,0.00262,0.36737,
Afghanistan,2006,0.05777,,1.99233,0.18208,0.70164,0.01278,0.01889,0.63129,1.73344,1.35744,0.00275,0.50316,
Afghanistan,2007,0.04020,,2.43869,0.14945,0.79927,0.00312,0.00690,0.37379,2.12843,1.25814,0.00073,0.42411,
Afghanistan,2008,0.01785,,3.21298,0.13057,0.92770,0.00445,0.01797,0.80264,2.85283,1.67975,0.00112,0.58047,
Afghanistan,2009,0.02141,,2.53725,0.06162,1.01536,0.00195,0.01047,0.28612,2.32908,1.29922,0.00085,0.30503,
Afghanistan,2010,0.01498,,2.36181,0.05194,0.56430,0.00143,0.01903,0.45985,2.15665,1.00246,0.00130,0.31294,
Afghanistan,2011,0.01392,,2.26264,0.05918,0.15844,0.00560,0.01473,0.36702,2.04125,0.48208,0.00562,0.35258,
Afghanistan,2012,0.02149,,2.08033,0.05283,0.19662,0.01038,0.00477,0.31953,1.88099,0.57201,0.01373,0.21921,
Afghanistan,2013,0.02126,,2.53713,0.10427,0.24178,0.00751,0.00875,0.39928,2.27457,0.72106,0.01248,0.31187,
Afghanistan,2014,0.01941,,2.78024,0.10993,0.37425,0.01343,0.00759,0.35978,2.47714,0.81092,0.00997,0.36659,
Africa,1886,0.00666,,,2.21090,,,,31.76108,0.00666,31.76108,,,
Africa,1887,0.00712,,,1.96640,,0.06990,,31.13858,0.00712,31.20848,,,
Africa,1888,0.00450,,,2.11791,,0.02177,,29.75672,0.00450,29.77849,,,
Africa,1889,0.00675,,,3.04722,,0.06171,,33.20081,0.00675,33.26252,,,
Africa,1890,0.00657,,,2.41749,,0.05732,,31.82314,0.00657,31.88046,,,
Africa,1891,0.03454,,,0.76616,,0.08604,,38.97415,0.03454,39.06019,,,
Africa,1892,0.00477,,,0.97045,,0.03964,,36.95725,0.00477,36.99689,,,
Africa,1893,0.00328,,,1.05029,,0.01106,,31.55179,0.00328,31.56285,,,
Africa,1894,0.00338,,,1.17153,,0.02091,,34.77874,0.00338,34.79965,,,
Africa,1895,,,,1.45638,,0.02910,,31.69678,,31.72588,,,
Africa,1896,,,,1.06150,3.66687,0.02466,,27.40123,,31.09277,,,
Africa,1897,,,,1.26306,3.39431,0.05455,,29.02738,,32.47624,,,
Africa,1898,,,,1.27124,2.15718,0.03780,,24.93966,,27.13464,,,
