Entity,Year,Renewable Investment (% of GDP) (BNEP and World Bank)
Brazil,2015,0.4
Chile,2015,1.4
China,2015,0.9
Germany,2015,0.3
India,2015,0.5
Japan,2015,0.8
Mexico,2015,0.3
South Africa,2015,1.4
UK,2015,0.8
United States,2015,0.2
