Entity,Year,"Gross value added of Agriculture to GDP (GGDC, 2017)","Gross value added of Mining to GDP (GGDC, 2017)","Gross value added of Manufacturing to GDP (GGDC, 2017)","Gross value added of Utilities to GDP (GGDC, 2017)","Gross value added of Construction to GDP (GGDC, 2017)","Gross value added of Trade, Restaurants and Hotel to GDP (GGDC, 2017)","Gross value added of Transport, Storage and Communication to GDP (GGDC, 2017)","Gross value added of Finance, insurance, real estate and business services to GDP (GGDC, 2017)","Gross value added of government services to GDP (GGDC, 2017)","Gross value added of Community, social and personal services to GDP (GGDC, 2017)","Summation of all sectors GDP (GGDC, 2017)"
Argentina,2005,46330.5936293650,28819.9695871972,114091.1220345160,8519.9801331444,24059.3387625705,70557.6319657865,44427.9530582156,21401.9593710548,60970.6487442155,20046.7053593182,439225.9026453840
Argentina,2006,47542.5277942761,29675.4044399167,124249.4389504120,8944.4520559296,28358.1945283093,76148.6995336867,50403.8173087403,25268.5431596535,63635.9002031155,21588.5461127486,475815.5240867880
Argentina,2007,52201.8151665436,29538.5327058494,133692.0653869160,9458.4236687662,31167.2881292304,84272.0908676680,57296.3090955211,29256.7561793485,66440.2533913448,22962.1440422007,516285.6786333880
Argentina,2008,50877.3269902909,29852.6437626562,139769.6114027220,9777.4852862166,32308.0904966429,90899.0288261632,64251.2923262959,33746.6920890188,69292.5671321031,24384.2253005715,545158.9636126810
Argentina,2009,42902.7131838334,29532.6162890089,139003.5367392560,9868.0562927237,31081.3573967887,90823.2606570668,68416.1583256189,34192.6808782323,72454.9003053307,25321.4964896982,543596.7765575580
Argentina,2010,54922.4976144567,29076.3347212279,152664.4759775700,10475.0211299185,32682.8491510808,101843.0301887880,75653.4390567548,36913.9174172670,75890.0251048058,26031.7750869870,596153.3654488560
Argentina,2011,53718.4374094883,28052.6860474222,169423.5521059520,10953.1667934927,35647.4407435580,115681.2398773530,82708.0625269414,43762.5956250100,79235.0566300493,26977.2919975230,646159.5297567900
Bolivia,1950,2937.7706730350,3666.3889019445,1876.5492454290,122.2841803747,231.7369221334,1439.6347025178,491.2132907556,613.0722698505,,3238.8126399731,14617.4628260137
Bolivia,1951,2983.2949195024,4096.5566535474,1978.8063316717,127.1870838331,361.7021395910,1726.0462380714,508.7476764532,831.5054653422,,3211.5504409873,15825.3969489997
Bolivia,1952,2929.5763086709,4258.6021349073,1990.3012734508,132.2341903344,479.5189328418,1797.0537843008,625.1008501177,862.5083472854,,3274.6339014311,16349.5297233402
Bolivia,1953,2589.6012360522,4088.0587892446,1887.8047092543,129.6385355623,312.8792272128,1457.3865890752,580.6386578132,604.9066155516,,3079.3604761377,14730.2748359038
Bolivia,1954,2533.3332674185,3536.2836691709,2225.2291460600,129.6385355623,317.0051071320,1514.1060314902,660.0443759006,623.8583096736,,3085.0665177858,14624.5649601940
Bolivia,1955,2699.4057185316,3867.1143173723,2358.1394103802,134.8298451065,426.5701405443,1690.7589513781,741.8297606185,755.4659989027,,2494.1742048848,15168.2883477190
Bolivia,1956,2552.0892569631,3496.1385860854,2172.0650403319,132.2341903344,325.0276514196,1584.6806048768,731.9353572606,657.5811164001,,2744.2890304636,14396.0408341355
Bolivia,1957,2554.8207117511,3417.8996285391,1535.2931613636,152.2784132968,365.8280195103,1552.8571009264,630.2359202148,662.2921192501,,3479.1003938245,14350.6054686767
Bolivia,1958,2854.7344474784,2262.7761429680,1679.4588895091,129.6385355623,495.7932369679,1521.0335969760,746.5890938793,606.4227352543,,3710.5120828898,14006.9587614851
Bolivia,1959,2902.9382186366,2523.6148914369,1679.4588895091,114.6802429974,512.0487529341,1542.2573215850,738.7302613121,581.3547080062,,3175.1275739357,13770.2108603531
Bolivia,1960,2902.9382186366,2327.9858300852,1808.3564115031,122.1593892799,573.0069378072,1605.9284954119,775.4048132921,627.0288736302,,3822.0505222552,14564.8594919013
Bolivia,1961,3044.8715448246,2380.1535797790,1812.1475150911,129.6385355623,463.2822050356,1613.0030702815,780.6440350036,624.4679292189,,4037.6915050284,14885.8999198249
Bolivia,1962,3015.4136846723,2464.9261730314,2005.4937980820,142.1037793664,597.3902117564,1701.4352561522,822.5578086950,679.1449279776,,4513.5888463208,15942.0544860542
Bolivia,1963,3184.1268837260,2790.9746086176,2126.8091128998,159.5551206921,698.9871865449,1821.7030289364,880.1892475208,755.0485373675,,4550.7683261093,16968.1620524143
Bolivia,1964,3248.9146240292,2939.4307048207,2316.3485778836,174.0601316641,716.3996787364,1891.6957725196,926.7249328127,875.5489359228,,4336.3622801206,17425.4856385097
Bolivia,1965,3429.9391925235,2909.7394855800,2530.1314628072,193.4001462934,1064.6495225666,1946.5549499227,934.7024788627,901.2150810853,,3778.9065605501,17689.2388801916
Bolivia,1966,3555.7036295827,3391.3970421500,2843.0919747573,240.1385149810,850.7246184995,2164.0999637624,986.5565281880,936.7126516348,,3987.9524553891,18956.3773789446
Bolivia,1967,3450.8999320333,4216.1531321670,2959.9011799217,257.8668617246,905.4495939585,2406.2370226449,1023.7850764215,941.2658370965,,4395.3239427675,20556.8825787355
Bolivia,1968,3660.5073271320,4381.1043501704,3034.8353870083,286.8768836686,1121.8619969102,2595.4065998969,1108.8789009552,1111.3439115717,,5220.7872198239,22521.6025771371
Bolivia,1969,3317.5134078796,4664.8204451363,3270.6577446045,304.6052304121,1208.9244578677,2724.0419124282,1197.9614985140,1228.4221139472,,5794.3233928435,23711.2702036332
Bolivia,1970,3462.3330626751,4905.6492234212,3446.9735259848,327.1685808130,1166.6369768312,2708.9083462480,1228.5420917058,1395.2230466268,,6421.4610773604,25062.8959316663
Bolivia,1971,3601.4361521496,5110.1887337455,3543.9472057439,349.7319312139,1211.4119567522,2733.5003912908,1269.7594129643,1477.1517002463,,6694.8287859959,25991.9562701024
Bolivia,1972,3698.6177626045,4899.0511747011,3733.4866707278,367.4602779575,1208.9244578677,2886.7277488649,1345.5461004397,1864.5221172125,,6909.2348319846,26913.5711423601
Bolivia,1973,3869.4138057821,6097.3326106753,3919.7884008040,408.0743086791,1248.8522381276,2977.4894946807,1432.1530789194,1941.3124067219,,7268.0442852451,29162.4606296352
Bolivia,1974,4012.2346349909,5643.8393600442,4363.1865183854,448.6883394007,1342.0170587339,3069.5118202996,1645.5325911160,2022.1442904161,,7822.0460810793,30369.2006944662
Bolivia,1975,4325.8515073774,5412.1274801597,4629.5979923945,458.3583467154,1506.1645998022,3320.3672010961,1871.4638393242,2174.3776713735,,8421.9754869309,32120.2841251737
Bolivia,1976,4542.2913207145,5468.4003652745,5015.2425736523,495.1043745112,1581.5837402930,3485.5031552888,2093.6295667289,2357.5966077470,,8930.0496727478,33969.4013769578
Bolivia,1977,4512.8437270632,5326.0630676311,5363.6268088948,551.1904169363,1754.6041214190,3572.4831616957,2373.5332797867,2503.0939983965,,9306.0819797648,35263.5205615881
Bolivia,1978,4608.5484064299,4846.0884592989,5607.6820752947,584.0684418061,1803.4047417366,3654.4208488905,2689.8370272782,2668.7993599696,,9621.8342986341,36084.6836593386
Bolivia,1979,4744.0073372260,4442.2477543573,5764.1755285587,615.0124652131,1783.4408516067,3692.2382429805,2804.0578249834,2719.9928863092,,10023.7008862859,36588.8737775207
Bolivia,1980,4810.2644229414,4538.2426760238,5836.8332032885,659.4944988606,1577.1473202641,3614.0822951946,2861.7958106366,2689.0073308931,,10193.0589482248,36779.9265063275
Bolivia,1981,4765.7071714946,4709.4176973485,5384.4737589700,742.1358690652,1415.6301317478,3929.4049115538,3195.2354809648,2566.2001315238,,10329.7823307312,37037.9874833996
Bolivia,1982,5095.3029166467,4566.0703092719,4718.7617267711,760.9551909930,1290.0444128150,3669.4068337606,3048.6471147595,2418.1399550591,,10563.5352105001,36130.8636705771
Bolivia,1983,4218.6549838747,4235.4125494998,4727.5296413416,778.1380501444,1295.6260003232,4355.9216743907,3064.6741094647,2060.6881644641,,10080.5929400341,34817.2381135372
Bolivia,1984,5021.3250876895,3718.6136463199,4775.9155402672,838.6871728686,1227.2515533487,3609.1766710853,3311.3334669994,2067.5170239239,,9645.6141142377,34215.4342767402
Bolivia,1985,5409.1224100904,3323.1806394071,4378.4367464081,806.7761487302,1182.2500040644,3629.0717021952,3468.4761955714,2149.5544370072,,9179.7622665851,33526.6305500591
Bolivia,1986,5218.5282340451,2844.9662697225,4462.5437787688,866.5070400662,928.6366216640,4024.7920470126,3653.3729881450,1952.7617753585,,8084.8725986109,32036.9813533936
Bolivia,1987,5401.6606694175,2888.2277163688,4574.5782427242,814.9584626118,919.9153911826,4353.4688623361,3840.6151945778,1871.9087517134,,8149.3751621321,32814.7084530642
Bolivia,1988,5532.5609200794,3462.3188056479,4823.0024888862,859.9611889609,1053.1757929391,4183.4072265468,3857.4239939027,1867.0400178461,,8088.7317263429,33727.6221611519
Bolivia,1989,5448.0879007148,3963.7853857423,5063.8118561686,912.2075425952,1114.3161503363,4434.5958919480,4155.1141127542,1840.5465385480,,8273.2074525963,35205.6728314035
Bolivia,1990,5699.3436341799,4266.4183833973,5457.9963241450,962.3967396389,1142.3679343372,4679.3207212118,4379.6035893033,1921.1030506016,,8276.9798110722,36785.5301878872
Bolivia,1991,6261.2936471320,4362.0620724816,5721.0700205770,1030.0465859360,1210.5670267291,4980.0088947011,4666.4108454402,2033.8436794452,,8416.8307555899,38682.1335280321
Bolivia,1992,5996.1205252220,4420.1689241671,5725.5349707331,1077.9229346096,1346.0855808291,5077.9222858891,4882.2755924219,2262.9370899496,,8771.7061332344,39560.6740370559
Bolivia,1993,6244.5711477518,4678.8570138916,5959.1416629387,1245.4165467278,1423.4930810103,5234.3371376547,5096.9412767891,2512.6863496587,,9071.9008049316,41467.3450213542
Bolivia,1994,6661.2322786370,4839.6575110459,6281.6556594182,1385.6053760775,1440.3241514109,5419.0081873922,5401.0466849589,2751.9227646779,,9306.1383775509,43486.5909911694
Bolivia,1995,6754.7383801737,5192.5167281921,6708.4157203438,1505.7340230812,1527.4316885856,5568.8344185390,5721.0168479752,2890.4355304941,,9572.1377291812,45441.2610665658
Bolivia,1996,7207.5943357919,5089.8689317127,7034.7425300690,1556.2486460263,1665.1625741042,5852.1875318700,6113.1346693735,3277.3086685334,,9813.6722265780,47609.9201140590
Bolivia,1997,7535.8836555928,5398.4892679958,7176.8750404495,1629.5120891213,1748.3370776457,6092.5024775605,6678.3861764070,3918.2540182781,,10292.3660252176,50470.6058282683
Bolivia,1998,7202.1042986230,5698.8459981724,7355.2146921328,1670.5389973956,2373.1230877480,6213.3163167781,7148.9117368931,4638.9556795300,,10658.2108295676,52959.2216368404
Bolivia,1999,7382.6697943026,5438.9065007346,7570.3907034796,1749.5206384709,1973.7153284847,6258.4633421544,7093.2405378893,5502.1624488668,,10963.0839654530,53932.1532598360
Bolivia,2000,7639.2449026604,5787.7903407917,7705.9080870541,1781.0055944242,1891.4638346745,6481.3309216534,7258.2059898763,5409.5043029713,,11229.9302485450,55184.3842226509
Bolivia,2001,7903.6296129280,5698.9646661452,7912.9875998911,1792.9262551192,1759.3167965382,6551.9614338246,7477.4457633542,5361.5091358049,,11525.5832965085,55984.3245601137
Bolivia,2002,7938.9831447498,5840.2712517663,7932.8204792824,1832.9187739214,2043.8785277462,6684.1306608510,7800.9309449486,5066.6095363803,,11871.4087122015,57011.9520318474
Bolivia,2003,8630.6965800164,6129.4920714946,8234.7682027846,1886.6140476402,1560.1322605021,6805.8404526451,8102.7751766651,4767.2773079427,,12215.4330116418,58333.0291113325
Bolivia,2004,8652.0846495126,6707.0437011550,8694.3184576233,1944.8807804490,1594.1197441589,7042.2571311362,8429.6627745109,4598.0432738101,,12616.3718449897,60278.7823573457
Bolivia,2005,9083.2040000000,7584.9170000000,8955.5170000000,1997.7160000000,1695.4050000000,7211.9790000000,8676.2710000000,4570.1130000000,,12997.9570000000,62773.0790000000
Bolivia,2006,9470.1001876877,7992.0101777191,9680.2411238126,2078.2899035211,1835.2614588424,7458.4158723488,9016.1109087275,4903.6678316132,,13422.3288365865,65856.4263008589
Bolivia,2007,9422.2017767131,8552.8862602005,10269.8249783663,2167.9098722756,2098.5770966009,7812.8087909501,9331.8173998582,5316.2889584186,,13924.7589064991,68897.0740398824
Bolivia,2008,9668.5924334576,10515.7516224316,10645.7162767814,2245.4425932665,2291.6572366856,8126.6217961948,9706.7831479177,5631.8855034717,,14406.2597836517,73238.7103938585
Bolivia,2009,10024.5819232825,10303.0635541667,11157.8416843209,2382.6134847932,2539.6239214971,8472.8413312633,10248.4520757635,5908.3464224986,,15207.6899450774,76245.0543426632
Bolivia,2010,9906.4860317991,10719.4182277636,11446.7550036345,2557.4253055733,2729.0288922862,8792.2646467925,11067.1957667482,6323.8525574988,,15754.1012767503,79296.5277088463
Bolivia,2011,10213.3007491185,11283.3823745375,11872.1732876583,2745.8120353801,2947.8858263291,9103.2200874127,11745.6582617519,6759.4700222931,,16556.1897517139,83227.0923961951
Botswana,1964,345.4318793732,200.1407367880,8.6887333370,3.6701014444,142.0949819916,328.1977657891,23.2720271386,24.1945816911,173.2195666786,30.2338400551,1279.1442142868
Botswana,1965,333.2571596104,142.9576691343,12.0108960835,4.7495430457,289.8174880225,371.3580199203,27.2010706815,26.9529212534,204.5900393841,34.5856806691,1447.4804878049
