Entity,Year,Cumulative capacity,Unit cost
World,1976,0.3,107
World,1977,0.85,81.32
World,1978,1.8,56.71
World,1979,3.3,48.15
World,1980,6.5,35.31
World,1981,12.5,26.75
World,1982,20,22.47
World,1983,43,19.26
World,1984,67,17.12
World,1985,90,14.98
World,1986,120,11.235
World,1987,150,8.56
World,1988,175,7.597
World,1989,220,8.239
World,1990,270,8.881
World,1991,330,8.025
World,1992,400,7.276
World,1993,450,7.169
World,1994,500,6.42
World,1995,575,5.885
World,1996,700,6.099
World,1997,800,6.42
World,1998,975,5.778
World,1999,1250,5.136
World,2000,1500,4.922
World,2001,1750,4.815
World,2002,2300,4.066
World,2003,3000,4.0125
World,2004,4300,4.173
World,2005,6000,4.28
World,2006,8500,4.494
World,2007,10300,4.173
World,2008,20000,3.4775
World,2009,30000,2.4075
World,2010,40279,2.04475
World,2011,72034,1.67725
World,2012,101518,0.876416667
World,2013,135754,0.696333333
World,2014,171589,0.6415
World,2015,217341,0.5965
World,2016,291079,0.5505
World,2017,383596,0.462166667
World,2018,480984,0.4115
World,2019,578553,0.37725
