Entity,Year,GDP per capita indexed at 1950 (Maddison Project Data 2018)
Africa,1950,100
Africa,1951,102.5386536
Africa,1952,104.2271541
Africa,1953,105.7616941
Africa,1954,108.4190769
Africa,1955,109.6565955
Africa,1956,111.5504648
Africa,1957,113.0164432
Africa,1958,112.9294873
Africa,1959,116.3753078
Africa,1960,118.682436
Africa,1961,118.4716566
Africa,1962,120.3267586
Africa,1963,125.7452938
Africa,1964,129.2061265
Africa,1965,132.8518529
Africa,1966,133.1853506
Africa,1967,132.3494533
Africa,1968,135.4759541
Africa,1969,142.3170842
Africa,1970,150.1919533
Africa,1971,152.9546825
Africa,1972,154.5072997
Africa,1973,155.9644349
Africa,1974,159.0208577
Africa,1975,156.9551924
Africa,1976,163.102541
Africa,1977,165.3391655
Africa,1978,164.7571142
Africa,1979,167.6784358
Africa,1980,170.3620184
Africa,1981,167.0274871
Africa,1982,167.1166968
Africa,1983,163.1450034
Africa,1984,161.9415421
Africa,1985,162.3966933
Africa,1986,161.4480845
Africa,1987,159.6065168
Africa,1988,161.7905993
Africa,1989,162.3887998
Africa,1990,160.2654123
Africa,1991,157.6153854
Africa,1992,152.1563488
Africa,1993,150.7746958
Africa,1994,151.0863884
Africa,1995,151.4287433
Africa,1996,156.6863863
Africa,1997,160.3855678
Africa,1998,164.1312533
Africa,1999,167.0162946
Africa,2000,169.6987303
Africa,2001,174.0666269
Africa,2002,179.1789018
Africa,2003,183.5581633
Africa,2004,189.8572398
Africa,2005,195.0609271
Africa,2006,202.617216
Africa,2007,210.6189706
Africa,2008,216.5008263
Africa,2009,222.9474
Africa,2010,228.8232506
Anglophone Offshoots,1950,100
Anglophone Offshoots,1951,105.3032566
Anglophone Offshoots,1952,107.3529361
Anglophone Offshoots,1953,110.2699874
Anglophone Offshoots,1954,107.8882917
Anglophone Offshoots,1955,113.4119073
Anglophone Offshoots,1956,114.0320873
Anglophone Offshoots,1957,114.006059
Anglophone Offshoots,1958,111.3749917
Anglophone Offshoots,1959,117.2404334
Anglophone Offshoots,1960,118.2625093
Anglophone Offshoots,1961,118.9570118
Anglophone Offshoots,1962,124.1873231
Anglophone Offshoots,1963,127.7928413
Anglophone Offshoots,1964,133.3287481
Anglophone Offshoots,1965,139.9045174
