Entity,Year,0 to 4 (UN Population Division (2015)),5 to 14 (UN Population Division (2015)),15 to 24 (UN Population Division (2015)),25 to 60 (UN Population Division (2015)),70+ (UN Population Division (2015))
Afghanistan,1950,1291.622,1888.244,1476.233,2988.167,107.852
Afghanistan,1951,1314.316,1920.336,1488.675,3003.685,112.414
Afghanistan,1952,1318.495,1960.869,1507.702,3031.767,115.965
Afghanistan,1953,1320.788,2003.546,1530.014,3065.836,118.128
Afghanistan,1954,1330.776,2043.092,1554.426,3103.082,118.661
Afghanistan,1955,1353.989,2073.664,1581.55,3143.376,117.445
Afghanistan,1956,1381.149,2115.868,1602.456,3176.571,122.265
Afghanistan,1957,1414.806,2156.3,1625.772,3212.303,125.732
Afghanistan,1958,1453.027,2193.786,1652.52,3252.68,127.835
Afghanistan,1959,1493.943,2227.171,1683.874,3299.572,128.567
Afghanistan,1960,1538.039,2255.12,1720.515,3353.266,127.853
Afghanistan,1961,1599.277,2293.493,1747.966,3391.501,132.708
Afghanistan,1962,1644.168,2340.283,1782.807,3439.957,136.557
Afghanistan,1963,1679.348,2393.903,1822.481,3496.648,139.175
Afghanistan,1964,1714.841,2451.132,1863.541,3558.841,140.29
Afghanistan,1965,1759.739,2506.099,1904.608,3625.154,139.758
Afghanistan,1966,1814.728,2575.703,1934.833,3678.844,144.733
Afghanistan,1967,1863.585,2652.454,1966.433,3737.725,148.403
Afghanistan,1968,1911.193,2733.663,2000.611,3803.5,150.823
Afghanistan,1969,1962.358,2816.167,2039.736,3879.136,152.113
Afghanistan,1970,2022.533,2895.42,2085.461,3965.42,152.263
Afghanistan,1971,2095.061,2989.99,2125.895,4043.626,158.249
Afghanistan,1972,2160.375,3089.727,2172.256,4131.316,163.222
Afghanistan,1973,2220.036,3189.424,2223.052,4223.146,166.856
Afghanistan,1974,2274.476,3282.699,2277.002,4312.552,168.824
Afghanistan,1975,2323.223,3362.44,2333.41,4394.943,168.938
Afghanistan,1976,2390.052,3441.318,2380.704,4445.02,174.267
Afghanistan,1977,2448.878,3515.025,2428.497,4486.806,177.293
Afghanistan,1978,2491.675,3573.066,2469.162,4511.181,177.463
Afghanistan,1979,2504.172,3602.687,2493.815,4508.363,174.242
Afghanistan,1980,2475.42,3595.233,2498.73,4474.611,167.418
Afghanistan,1981,2460.997,3546.223,2455.266,4366.697,167.74
Afghanistan,1982,2411.24,3473.75,2391.548,4226.655,163.808
Afghanistan,1983,2340.172,3391.39,2318.759,4072.786,155.988
Afghanistan,1984,2275.192,3315.243,2250.659,3926.558,144.858
Afghanistan,1985,2246.768,3254.059,2197.292,3801.819,130.56
Afghanistan,1986,2208.588,3220.381,2158.385,3720.055,131.54
Afghanistan,1987,2170.164,3218.108,2143.102,3674.258,132.3
Afghanistan,1988,2157.243,3254.311,2157.241,3673.738,133.235
Afghanistan,1989,2202.799,3335.83,2207.048,3727.976,134.698
Afghanistan,1990,2339.899,3460.399,2293.822,3836.938,117.587
Afghanistan,1991,2476.879,3665.787,2439.98,4058.474,126.968
Afghanistan,1992,2661.379,3933.835,2631.248,4356.003,139.096
Afghanistan,1993,2880.412,4229.405,2843.734,4690.94,152.775
Afghanistan,1994,3093.946,4511.89,3049.068,5018.328,166.572
Afghanistan,1995,3259.094,4757.7,3230.765,5312.042,179.843
Afghanistan,1996,3427.947,4961.37,3358.129,5509.483,187.974
Afghanistan,1997,3567.351,5122.667,3454.873,5655.88,193.759
Afghanistan,1998,3681.465,5267.701,3540.217,5782.629,198.184
Afghanistan,1999,3795.656,5430.324,3638.396,5929.382,202.396
Afghanistan,2000,3938.208,5629.771,3764.662,6119.467,207.205
Afghanistan,2001,4099.741,5859.111,3959.16,6354.956,211.469
Afghanistan,2002,4260.184,6128.285,4182.873,6648.722,216.648
Afghanistan,2003,4415.085,6418.128,4418.412,6979.947,222.681
Afghanistan,2004,4551.391,6700.718,4642.975,7320.876,229.379
Afghanistan,2005,4657.735,6954.81,4841.502,7654.831,236.783
Afghanistan,2006,4777.859,7233.817,4939.119,7928.094,245.782
Afghanistan,2007,4864.75,7501.303,5017.204,8177.568,254.308
Afghanistan,2008,4925.816,7761.598,5096.292,8417.513,263.001
Afghanistan,2009,4971.241,8024.761,5203.923,8669.45,272.614
Afghanistan,2010,5011.447,8295.584,5359.136,8947.491,283.715
Afghanistan,2011,5028.009,8541.211,5614.429,9262.341,293.776
Afghanistan,2012,5019.147,8788.709,5912.555,9628.362,304.945
Afghanistan,2013,4993.944,9023.43,6238.228,10033.493,317.739
Afghanistan,2014,4967.434,9224.151,6568.189,10458.108,332.671
Afghanistan,2015,4950.25,9375.082,6884.746,10889.755,426.729
Afghanistan,2016,4925.46,9529.067,7156.195,11306.633,452.59
Afghanistan,2017,4939.033,9628.866,7410.565,11712.8,477.905
Afghanistan,2018,4977.446,9681.903,7652.197,12122.021,502.146
Afghanistan,2019,5015.525,9704.009,7888.916,12555.544,524.828
Afghanistan,2020,5036.926,9710.509,8124.528,13024.855,545.901
Afghanistan,2021,5093.16,9705.473,8332.193,13496.897,571.53
Afghanistan,2022,5101.055,9708.511,8538.1,14010.386,595.507
Afghanistan,2023,5075.333,9720.882,8733.932,14557.13,618.181
Afghanistan,2024,5043.946,9739.983,8906.477,15123.271,639.879
Afghanistan,2025,5028.334,9757.12,9049.621,15700.807,660.941
Afghanistan,2026,5015.412,9778.884,9162.993,16289.037,689.352
Afghanistan,2027,5012.662,9806.385,9245.378,16890.248,716.3
Afghanistan,2028,5018.978,9833.634,9303.095,17504.617,742.086
Afghanistan,2029,5025.452,9854.248,9346.574,18136.017,767.18
Afghanistan,2030,5027.21,9864.916,9383.173,18784.234,792.021
Afghanistan,2031,5039.321,9870.799,9404.095,19428.641,825.534
Afghanistan,2032,5039.778,9875.914,9415.09,20090.689,857.905
Afghanistan,2033,5030.452,9880.067,9421.654,20761.483,889.439
Afghanistan,2034,5015.918,9883.25,9430.129,21427.975,920.518
Afghanistan,2035,5000.159,9883.221,9445.44,22081.514,951.651
Afghanistan,2036,4991.72,9882.193,9463.294,22704.025,993.587
Afghanistan,2037,4971.068,9884.81,9488.409,23316.986,1034.534
Afghanistan,2038,4941.91,9887.736,9517.468,23922.273,1074.927
Afghanistan,2039,4908.295,9886.755,9544.053,24525.415,1115.294
Afghanistan,2040,4873.975,9877.513,9565.025,25129.222,1156.03
Afghanistan,2041,4841.42,9863.676,9579.644,25715.172,1209.741
Afghanistan,2042,4806.152,9845.195,9586.359,26302.785,1262.37
Afghanistan,2043,4768.663,9820.035,9588.386,26888.685,1314.923
Afghanistan,2044,4728.634,9786.653,9590.21,27468.071,1368.85
Afghanistan,2045,4686.497,9743.775,9595.008,28036.909,1425.272
Afghanistan,2046,4650.439,9695.096,9600.296,28572.261,1497.302
Afghanistan,2047,4608.521,9641.688,9604.658,29101.995,1569.184
Afghanistan,2048,4562.604,9583.01,9607.323,29625.177,1641.347
Afghanistan,2049,4515.596,9518.824,9606.062,30140.935,1714.429
Afghanistan,2050,4470.202,9448.155,9599.991,30647.834,1789.168
Afghanistan,2051,4432.314,9374.936,9590.746,31119.468,1880.359
Afghanistan,2052,4392.508,9300.119,9574.025,31585.704,1970.761
Afghanistan,2053,4351.808,9223.104,9550.243,32046.16,2060.089
Afghanistan,2054,4311.061,9143.371,9519.547,32501.108,2147.853
Afghanistan,2055,4271.599,9060.024,9482.649,32949.164,2234.437
Afghanistan,2056,4241.632,8977.352,9441.744,33358.147,2337.317
Afghanistan,2057,4208.164,8896.644,9391.976,33764.18,2436.755
Afghanistan,2058,4172.462,8817.29,9334.952,34162.843,2534.677
Afghanistan,2059,4136.079,8738.483,9272.433,34548.93,2633.474
Afghanistan,2060,4100.72,8658.753,9206.317,34917.951,2735.228
Afghanistan,2061,4073.907,8582.315,9140.394,35234.654,2859.549
Afghanistan,2062,4043.168,8509.68,9068.99,35540.829,2982.166
Afghanistan,2063,4009.749,8439.649,8993.653,35831.88,3105.796
Afghanistan,2064,3974.878,8370.673,8915.835,36102.568,3234.221
Afghanistan,2065,3939.929,8300.828,8837.199,36348.787,3370.172
Afghanistan,2066,3911.309,8234.144,8762.508,36532.297,3536.579
Afghanistan,2067,3879,8169.969,8685.37,36699.943,3703.604
Afghanistan,2068,3844.188,8106.954,8607.241,36850.22,3871.344
Afghanistan,2069,3808.261,8043.635,8529.456,36981.883,4039.683
Afghanistan,2070,3772.586,7978.362,8453.421,37093.089,4209.294
Afghanistan,2071,3741.998,7915.2,8384.323,37144.003,4406.037
Afghanistan,2072,3710.034,7852.408,8315.026,37184.397,4595.58
Afghanistan,2073,3677.064,7789.065,8246.206,37212.303,4779.733
Afghanistan,2074,3643.32,7724.435,8178.122,37225.626,4960.787
Afghanistan,2075,3609.351,7657.699,8111.354,37222.656,5140.24
Afghanistan,2076,3581.333,7592.721,8050.694,37160.552,5346.312
Afghanistan,2077,3550.743,7528.305,7989.413,37092.266,5542.972
Afghanistan,2078,3518.504,7464.004,7927.839,37021.325,5726.604
Afghanistan,2079,3485.921,7399.388,7865.81,36953.353,5891.76
Afghanistan,2080,3454.262,7333.651,7803.663,36890.375,6036.438
Afghanistan,2081,3427.862,7269.38,7745.213,36784.573,6198.305
Afghanistan,2082,3400.486,7206.568,7684.694,36691.815,6334.005
Afghanistan,2083,3372.647,7144.701,7622.831,36606.308,6449.263
Afghanistan,2084,3344.753,7083.214,7560.17,36521.078,6551.341
Afghanistan,2085,3317.441,7021.373,7497.511,36431.4,6644.94
Afghanistan,2086,3295.065,6960.427,7437.199,36283.834,6776.186
Afghanistan,2087,3271.077,6901.796,7375.197,36142.66,6890.638
Afghanistan,2088,3246.162,6845.024,7312.366,36006.509,6989.347
Afghanistan,2089,3221.164,6789.56,7249.438,35874.666,7072.812
Afghanistan,2090,3196.993,6734.593,7187.356,35745.756,7142.134
Afghanistan,2091,3176.584,6679.903,7127.3,35559.273,7254.61
Afghanistan,2092,3155.031,6627.884,7066.637,35384.335,7346.89
Afghanistan,2093,3132.858,6577.978,7006.138,35217.845,7421.917
Afghanistan,2094,3110.598,6529.507,6946.405,35056.791,7482.812
Afghanistan,2095,3088.941,6481.648,6888.234,34898.64,7532.024
Afghanistan,2096,3069.984,6433.027,6831.711,34679.153,7633.581
Afghanistan,2097,3049.912,6386.753,6775.366,34471.74,7716.873
Afghanistan,2098,3029.237,6342.329,6719.909,34273.624,7784.599
Afghanistan,2099,3008.492,6299.223,6665.904,34082.306,7839.367
Afghanistan,2100,2988.193,6256.802,6614.116,33895.94,7883.076
Albania,1950,180.78,304.528,228.769,491.33,57.764
Albania,1951,186.639,308.965,235.36,499.978,56.557
Albania,1952,193.968,313.255,242.49,510.714,55.659
Albania,1953,202.486,317.586,249.991,522.997,55.037
Albania,1954,212.025,322.382,257.696,536.143,54.635
Albania,1955,222.523,327.911,265.47,549.695,54.37
Albania,1956,234.899,335.133,272.232,561.286,55.539
Albania,1957,245.503,344.559,279.409,573.725,56.956
Albania,1958,254.813,356.137,286.62,587.298,58.356
Albania,1959,263.632,369.537,293.333,602.566,59.41
Albania,1960,272.904,384.052,299.303,619.8,59.995
Albania,1961,282.884,400.592,303.982,637.452,60.991
Albania,1962,291.655,419.035,308.136,657.247,61.572
Albania,1963,299.26,438.651,312.287,678.29,62.045
Albania,1964,305.323,458.523,317.377,699.514,62.859
Albania,1965,309.71,477.789,324.074,720.307,64.245
Albania,1966,313.606,497.495,331.935,738.981,65.769
Albania,1967,314.483,516.978,341.53,757.991,67.713
Albania,1968,313.457,535.639,352.885,777.375,69.791
Albania,1969,312.306,552.706,365.925,797.143,71.577
Albania,1970,312.307,567.503,380.575,817.338,72.879
Albania,1971,310.992,581.743,397.309,837.943,74.053
Albania,1972,312.958,592.614,415.211,858.408,74.651
Albania,1973,317.141,600.417,434.066,879.373,75.002
Albania,1974,321.555,606.001,453.587,901.786,75.538
Albania,1975,324.836,610.351,473.421,926.132,76.489
Albania,1976,329.957,613.786,492.465,949.577,78.553
Albania,1977,332.322,617.173,511.892,975.595,80.887
Albania,1978,332.853,620.796,530.842,1003.994,83.36
Albania,1979,333.359,624.74,548.07,1034.337,85.784
Albania,1980,335.171,628.705,562.852,1066.454,88.063
Albania,1981,336.89,633.112,575.221,1099.187,90.919
Albania,1982,339.517,637.417,584.739,1133.122,93.52
Albania,1983,343.32,641.925,592.278,1169.122,95.975
Albania,1984,348.56,647.003,599.158,1208.43,98.439
Albania,1985,355.488,652.849,606.035,1251.419,101.008
Albania,1986,364.122,660.997,613.334,1297.976,104.574
Albania,1987,374.786,670.124,620.324,1347.952,108.15
Albania,1988,385.108,678.366,625.505,1396.679,111.406
Albania,1989,390.867,683.544,627.214,1438.14,113.894
Albania,1990,388.493,684.407,624.682,1468.507,86.276
Albania,1991,389.121,685.62,606.326,1476.659,86.955
Albania,1992,380.324,684.399,587.66,1469.47,87.059
Albania,1993,364.708,681.997,571.567,1452.108,87.197
Albania,1994,347.758,680.308,560.502,1432.059,88.12
Albania,1995,334.431,680.066,555.744,1414.814,90.3
Albania,1996,319.827,673.729,545.536,1428.768,91.3
Albania,1997,307.871,671.452,537.184,1448.668,93.094
Albania,1998,298.331,670.965,531.1,1471.769,95.524
Albania,1999,289.259,669.697,527.534,1494.371,98.317
Albania,2000,278.754,666.056,526.794,1513.614,101.32
Albania,2001,266.163,659.675,529.567,1526.357,105.308
Albania,2002,253.494,649.749,536.266,1535.932,109.555
Albania,2003,240.454,635.871,546.475,1541.359,114.038
Albania,2004,226.966,618.249,558.34,1541.951,118.704
Albania,2005,213.005,597.332,570.133,1537.877,123.543
Albania,2006,200.334,570.123,567.305,1540.968,128.861
Albania,2007,186.909,542.714,561.213,1539.45,134.567
Albania,2008,173.823,515.424,553.63,1535.562,140.845
Albania,2009,163.573,488.835,545.939,1532.413,147.741
Albania,2010,158.681,463.051,539.155,1531.783,155.18
Albania,2011,158.483,436.273,541.345,1534.528,157.922
Albania,2012,162.78,411.263,542.054,1542.93,161.054
Albania,2013,170.418,388.426,540.821,1555.622,164.527
Albania,2014,178.616,368.424,536.98,1571.217,168.191
Albania,2015,185.498,351.726,529.981,1588.486,240.988
Albania,2016,197.159,337.736,517.501,1604.541,246.763
Albania,2017,201.219,330.201,502.122,1625.056,252.83
Albania,2018,200.124,328.632,484.066,1647.265,259.335
Albania,2019,197.766,331.628,463.84,1667.781,266.399
Albania,2020,196.921,337.046,442.207,1684.823,274.149
Albania,2021,193.289,344.408,419.133,1701.951,283.417
Albania,2022,192.246,353.257,394.653,1715.028,293.02
Albania,2023,192.942,362.204,370.866,1723.95,303.118
Albania,2024,193.185,369.947,350.542,1729.192,313.991
Albania,2025,191.432,376.147,335.319,1730.772,325.875
Albania,2026,188.722,380.977,323.816,1728.79,338.729
Albania,2027,184.834,383.711,317.341,1723.152,352.153
Albania,2028,179.86,384.504,315.443,1714.074,366.108
Albania,2029,174.551,383.874,316.956,1701.672,380.374
Albania,2030,169.382,382.133,320.958,1686.329,394.72
Albania,2031,163.904,379.261,326.455,1669.771,408.877
Albania,2032,158.882,375.004,334.41,1650.437,422.964
Albania,2033,154.303,369.374,343.702,1629.919,436.617
Albania,2034,150.016,362.525,352.65,1610.572,449.306
Albania,2035,145.972,354.687,360.055,1593.857,460.718
Albania,2036,142.684,346.203,364.644,1580.923,470.181
Albania,2037,139.64,337.23,367.137,1570.911,478.245
Albania,2038,136.885,327.946,367.856,1563.141,485.17
Albania,2039,134.543,318.593,367.396,1556.4,491.35
Albania,2040,132.761,309.336,366.098,1549.936,497
Albania,2041,132.211,300.474,362.615,1545.3,501.025
Albania,2042,131.634,292.415,357.938,1541.287,504.537
Albania,2043,131.124,285.159,352.281,1537.826,507.339
Albania,2044,130.777,278.654,345.835,1535.098,509.043
Albania,2045,130.715,272.798,338.759,1533.166,509.431
Albania,2046,131.572,267.768,329.984,1533.203,507.619
Albania,2047,131.996,263.936,320.649,1533.754,504.942
Albania,2048,132.121,261.127,311.173,1534.051,501.835
Albania,2049,132.079,259.099,302.024,1533.249,498.832
Albania,2050,132.007,257.589,293.521,1530.824,496.294
Albania,2051,132.165,256.594,284.646,1528.07,493.707
Albania,2052,131.84,256.295,276.399,1523.6,491.981
Albania,2053,131.125,256.435,269.028,1516.832,491.562
Albania,2054,130.098,256.753,262.734,1507.206,492.925
Albania,2055,128.831,257.03,257.615,1494.444,496.337
Albania,2056,127.383,257.22,252.681,1479.879,501.429
Albania,2057,125.58,257.302,248.774,1462.135,508.929
Albania,2058,123.491,257.109,245.951,1441.516,518.539
Albania,2059,121.205,256.52,244.141,1418.451,529.897
Albania,2060,118.783,255.448,243.223,1393.251,542.81
Albania,2061,116.247,253.957,242.256,1367.641,556.39
Albania,2062,113.655,251.949,241.915,1340.139,571.484
Albania,2063,111.038,249.353,242.127,1311.358,587.608
Albania,2064,108.464,246.192,242.7,1282.225,603.965
Albania,2065,106.006,242.531,243.458,1253.519,619.837
Albania,2066,103.867,238.626,243.618,1227.533,633.257
Albania,2067,101.843,234.356,243.652,1202.03,646.307
Albania,2068,99.957,229.772,243.563,1177.718,658.202
Albania,2069,98.241,224.971,243.271,1155.444,668.045
Albania,2070,96.75,220.019,242.666,1135.654,675.376
Albania,2071,95.96,215.279,241.117,1120.798,677.547
Albania,2072,95.107,210.741,239.055,1108.379,677.4
Albania,2073,94.252,206.405,236.569,1098.047,675.126
Albania,2074,93.477,202.267,233.72,1089.344,671.028
Albania,2075,92.889,198.295,230.548,1081.912,665.344
Albania,2076,92.98,194.904,226.647,1078.737,654.599
Albania,2077,92.859,192.023,222.335,1076.931,642.347
Albania,2078,92.596,189.563,217.795,1075.185,629.743
Albania,2079,92.255,187.417,213.244,1071.827,618.299
Albania,2080,91.928,185.478,208.839,1065.909,608.842
Albania,2081,91.993,184.064,204.197,1060.307,598.211
Albania,2082,91.733,183.021,199.6,1051.955,590.1
Albania,2083,91.223,182.226,195.24,1041.201,584.074
Albania,2084,90.56,181.571,191.306,1028.895,579.166
Albania,2085,89.822,180.948,187.914,1015.649,574.741
Albania,2086,89.174,180.514,184.592,1003.427,569.023
Albania,2087,88.284,180.09,181.649,989.747,564.743
Albania,2088,87.216,179.593,179.19,974.941,561.573
Albania,2089,86.041,178.968,177.273,959.477,559.075
Albania,2090,84.809,178.17,175.887,943.662,557.033
Albania,2091,83.598,177.274,174.5,929.087,554.287
Albania,2092,82.295,176.16,173.444,913.988,552.528
Albania,2093,80.939,174.803,172.744,898.741,551.353
Albania,2094,79.554,173.2,172.34,883.747,550.401
Albania,2095,78.158,171.342,172.14,869.202,549.566
Albania,2096,76.945,169.369,171.682,856.712,547.382
Albania,2097,75.706,167.249,171.289,844.847,545.218
Albania,2098,74.491,164.983,170.958,833.68,542.986
Albania,2099,73.363,162.558,170.607,823.057,540.906
Albania,2100,72.427,159.969,170.142,812.845,539.157
Algeria,1950,1403.135,2199.62,1724.43,3362.413,188.459
Algeria,1951,1479.104,2228.535,1750.895,3397.885,193.744
Algeria,1952,1581.212,2252.122,1773.131,3427.533,197.062
Algeria,1953,1677.567,2280.44,1799.842,3467.001,197.906
Algeria,1954,1758.921,2317.233,1834.05,3520.4,203.666
Algeria,1955,1830.633,2362.237,1874.828,3584.587,206.694
Algeria,1956,1939.133,2414.238,1890.669,3639.172,208.959
Algeria,1957,1993.787,2501.373,1915.411,3717.258,213.156
Algeria,1958,2019.212,2615.745,1942.907,3806.845,220.5
Algeria,1959,2041.711,2745.339,1967.649,3897.21,234.917
Algeria,1960,2081.829,2873.097,1988.884,3983.176,251.46
Algeria,1961,2115.016,3021.58,1995.067,4069.53,267.937
Algeria,1962,2171.816,3167.513,1996.794,4147.335,281.4
Algeria,1963,2247.15,3304.659,2004.532,4219.83,290.497
Algeria,1964,2325.507,3430.92,2032.655,4293.735,302.585
Algeria,1965,2398.028,3547.299,2089.806,4371.32,310.846
Algeria,1966,2485.611,3660.489,2168.832,4430.42,317.069
Algeria,1967,2546.699,3777.433,2276.118,4502.487,323.603
Algeria,1968,2590.582,3896.73,2405.391,4583.743,331.564
Algeria,1969,2634.576,4015.021,2545.152,4668.288,345.754
Algeria,1970,2692.572,4125.454,2687.81,4753.7,360.486
Algeria,1971,2761.167,4246.736,2821.478,4828.145,374.673
Algeria,1972,2834.909,4369.208,2958.08,4904.052,386.755
Algeria,1973,2914.921,4490.465,3094.925,4987.048,396.077
Algeria,1974,2998.569,4608.66,3229.673,5086.608,409.672
Algeria,1975,3086.164,4722.052,3361.1,5208.218,421.09
Algeria,1976,3190.793,4843.226,3471.797,5338.666,431.203
Algeria,1977,3280.789,4974.794,3578.16,5495.955,441.282
Algeria,1978,3361.271,5116.417,3683.849,5676.121,452.004
Algeria,1979,3440.738,5266.52,3794.515,5872.233,470.064
Algeria,1980,3528.04,5419.915,3914.13,6079.561,488.715
Algeria,1981,3626.059,5584.63,4029.236,6294.07,507.226
Algeria,1982,3707.551,5766.212,4155.724,6525.124,524.24
Algeria,1983,3777.107,5958.486,4291.281,6770.211,423.151
Algeria,1984,3838.084,6153.451,4432.203,7028.837,432.978
Algeria,1985,3893.846,6342.706,4576.179,7301.173,442.778
Algeria,1986,3945.163,6534.153,4716.41,7575.486,453.778
Algeria,1987,3979.161,6724.837,4859.826,7865.35,467.386
Algeria,1988,3997.787,6909.323,5007.912,8169.245,484.504
Algeria,1989,4002.407,7081.454,5164.004,8485.566,501.588
Algeria,1990,3994.212,7235.62,5329.964,8813.284,521.659
Algeria,1991,3975.008,7381.427,5494.122,9146.518,546.044
Algeria,1992,3942.738,7507.664,5667.329,9490.237,576.096
Algeria,1993,3895.444,7610.72,5848.229,9843.443,612.483
Algeria,1994,3827.178,7688.538,6034.791,10206.667,646.19
Algeria,1995,3734.288,7739.658,6224.88,10581.182,682.766
Algeria,1996,3629.489,7767.948,6397.096,10963.742,721.231
Algeria,1997,3495.188,7771.894,6576.222,11359.239,760.229
Algeria,1998,3345.986,7747.538,6757.466,11766.101,799.248
Algeria,1999,3204.814,7690.71,6931.989,12181.357,834.309
Algeria,2000,3087.83,7599.551,7092.795,12604.208,869.259
Algeria,2001,2956.561,7489.611,7247.953,13049.466,904.188
