Entity,Year,ghg_kcal,ghg_protein,ghg_fat,land_use_100g,land_use_kcal,land_use_protein,land_use_fat,eutrophication_100g,eutrophication_kcal,eutrophication_protein,eutrophication_fat,water_scarcity_100g,water_scarcity_kcal,water_scarcity_protein,water_scarcity_fat,biodiversity_100g,biodiversity_kcal,biodiversity_protein,biodiversity_fat,water_100g,water_kcal,water_protein,water_fat,nutriscore
Ale,0,0.002102198,0.2691675,,0.068191667,0.00133263,0.170479167,,0.215971333,0.00422156,0.539928333,,155.7008967,3.010958649,389.2522417,,0.555729,0.010869594,1.3893225,,2.672013,0.051838173,6.6800325,,27.7777778
Almond butter,0,3.30E-05,0.001215276,0.000587039,0.751119321,0.00075083,0.028074954,0.01369846,1.871897466,0.001887676,0.070282773,0.03422918,41094.31937,40.83013594,1530.644528,747.7700506,25.35620925,0.025253817,0.946183416,0.461751308,694.6590923,0.692900674,25.92551561,12.66369596,23.92739277
Almond milk,0,0.001387299,,0.039783598,0.066856505,0.001212272,,0.036590191,0.263232137,0.004636817,,0.159150991,6611.8325,153.631979,,3993.261398,2.695205212,0.042965638,,1.476897543,66.02128481,1.361585828,,37.56004427,28.60344422
Almonds,0,5.12E-05,0.003301141,0.001423913,0.80848849,0.00063586,0.037752844,0.020380355,1.816178921,0.001413423,0.084037356,0.046768584,35470.29852,27.75387323,1617.622604,947.6976318,26.14238264,0.019985482,1.223955733,0.675670608,611.8064218,0.47889777,27.96005861,16.26156695,24.10453217
Apple juice,0,0.000668971,0.306230393,,0.066205368,0.000968279,0.45319695,,0.185116414,0.002663727,0.928318912,,327.4623911,4.662296846,1871.008226,,1.080074937,0.015734727,6.892518369,,11.62410614,0.167623527,62.25153391,,36.1742424
Apple pie,0,0.000199261,0.037199853,0.009094287,0.172923829,0.000273158,0.051478621,0.013119362,0.661554994,0.00106689,0.201214305,0.050112229,785.1338108,1.224485628,229.3587959,58.55187125,4.500519681,0.007886411,1.400034101,0.336776099,39.65922208,0.062245762,11.89259989,2.992299198,53.20778407
Apples,0,0.000639381,0.130939857,,0.068594119,0.000766196,0.158218593,,0.138265038,0.001513542,0.32502459,,252.4278258,2.878596776,583.5887529,,1.125156849,0.011562303,2.487530551,,8.380554687,0.092191615,19.72650713,,17.2268354
Apricot jam,0,0.000427037,0.280570392,,0.139983733,0.00040959,0.275849022,,1.114060266,0.00322239,2.208565042,,2542.776925,7.961502804,4683.618851,,4.767429365,0.013887077,9.403804033,,85.44006766,0.249288557,167.1150625,,42.53812634
Asparagus,0,0.001776935,0.031866174,0.142106205,0.146071347,0.002467093,0.047631205,0.199582995,0.334164806,0.005372008,0.109205798,0.430576113,3069.270532,61.53302823,1046.900382,4961.004478,2.767723018,0.048594274,0.931801546,3.883732544,35.09741796,0.694427147,11.92551489,55.94854301,12.60582011
Avocados,0,0.000285576,0.048520579,0.004727646,0.125091876,0.000387607,0.065842642,0.006415437,0.267046265,0.000826778,0.140548263,0.013694446,3281.974238,10.19581392,1728.400352,168.4082394,2.453878894,0.007610454,1.291736821,0.125861536,36.84439888,0.114377986,19.40107226,1.890360887,19.02687
Bacon,2,0.005767417,0.071514733,0.192824443,4.170202975,0.01501718,0.158518715,0.340785557,8.479090067,0.020376809,0.308069261,0.839046026,5634.232467,11.47987772,202.0889092,682.9656364,46.84777938,0.140466937,1.750876107,4.534748996,160.1734021,0.332715231,5.731442625,19.02096226,62.03068057
Bagels,0,0.000187176,0.007280996,0.02787132,0.221627777,0.00051988,0.020216952,0.075535132,0.601299719,0.001409818,0.05483879,0.202190786,763.04459,1.798927955,69.90948479,272.7394149,3.640526193,0.00851609,0.331361882,1.202299621,29.10273799,0.068877963,2.679621616,10.57444081,27.77777779
Baguette,0,0.000149977,0.016299504,0.036249677,0.208834709,0.000399357,0.038931377,0.101493666,0.601761456,0.000969873,0.133501506,0.23630182,800.302377,1.329130747,143.8868781,399.4624677,3.800838413,0.007355257,0.790042694,1.369259584,25.27783265,0.036439047,4.887294156,11.75897898,35.96552527
Banana loaf,0,0.000213006,0.042508915,0.011632036,0.33002819,0.000422716,0.07416415,0.021314707,0.915491902,0.001210205,0.20023544,0.05820644,796.1819987,1.036934524,169.6779158,48.94914017,24.78241968,0.027205855,5.853751824,1.560513607,42.94293713,0.059901087,9.154664545,2.70068101,45.43946932
Bananas,0,0.000591635,0.075810495,0.216422806,0.264238547,0.001724939,0.220635171,0.673841052,0.353543117,0.002197521,0.283723642,0.866901236,56.62849532,0.693029892,77.99137117,142.8586906,23.56597713,0.146381747,18.95342098,59.93030603,5.820870898,0.046306126,5.648510075,14.76373131,24.064429
Beans,0,0.00053062,0.010970386,0.150166647,1.518608197,0.005356881,0.122157364,1.829752991,1.224728605,0.005673992,0.103362086,1.222449281,0.098453383,0.000535256,0.008663042,0.084742741,29.73667116,0.078696427,2.297345638,40.72184111,0.011878262,6.46E-05,0.001045184,0.010224092,3.46707819
Beef curry,2,0.007438845,0.147974877,0.20500686,4.096379481,0.015483391,0.307998457,0.426706196,29.33539761,0.110881192,2.205668994,3.055770585,4340.626686,16.40659067,326.3629087,452.1486131,77.4602712,0.292782369,5.824080541,8.06877825,205.273436,0.775887328,15.43409293,21.38264958,47.88359786
Beef meatballs,5,0.007207094,0.23455182,0.398640561,11.3427283,0.016407974,0.589984057,0.940739763,49.04399544,0.084973007,2.222962391,4.503146473,7101.905544,11.87473914,325.7801824,625.930805,155.1675923,0.247531991,7.5092743,13.61785403,321.2363514,0.550053572,14.57077979,29.00644125,42.35449736
Beef mince,7,0.046170998,0.355461362,1.096177298,19.30413735,0.135117814,0.966958391,3.392533845,54.1116213,0.272494809,2.799308542,4.738454512,7652.517645,38.58123835,397.678991,670.2683105,216.28342,1.330991076,10.9936586,29.8189578,343.6574007,1.694368016,17.85191691,28.42139525,32.87037035
Beef noodles,0,0.001658524,0.091190182,0.08559402,0.378499109,0.002745707,0.148407921,0.145853705,1.351466832,0.009801589,0.540792931,0.467113753,1128.389662,8.548213643,428.7496206,557.0966107,9.845470752,0.066680538,3.919413154,2.73655169,31.75564754,0.24159483,12.20036646,15.20277505,42.12121211
Beef sausages,9,0.009070261,0.727869726,0.611612756,29.79190308,0.030681672,2.46214075,2.068882158,17.12307132,0.017634471,1.415129861,1.189102175,3228.837655,3.3252705,266.8460872,224.2248372,217.279814,0.223769118,17.95700942,15.08887597,94.02151374,0.096829571,7.770373036,6.529271787,51.85185185
Beef sirloin steak,15,0.039438798,0.665348701,0.981083747,50.70327747,0.132678199,2.245565049,3.314986933,28.74850308,0.07597398,1.276149116,1.879641551,3941.348672,10.5871452,175.5562844,258.1780171,364.4758069,0.946940716,16.12279975,23.79556461,140.5364621,0.375774671,6.253729046,9.203213086,40.69000509
Beefburger,7,0.010031288,0.325402148,0.90661796,21.79488854,0.028291529,0.960882457,2.789681329,46.30721679,0.071448386,1.905543592,4.314976393,6277.020285,9.567179258,260.6288395,587.6947282,217.5564981,0.301709406,9.360893666,25.0040678,285.1580997,0.441204312,11.74907449,25.90958501,44.31524547
Beer,0,0.000693517,,,0.061315619,0.000993723,,,0.197066335,0.003731825,,,237.5164819,4.286779326,,,1.191713019,0.019836103,,,9.333301846,0.18339848,,,40.25157234
Beetroot,0,0.004554677,0.150298868,0.601781738,0.349620389,0.00676584,0.234817459,0.93740043,0.934410018,0.012308095,0.617071424,2.577199736,22.55353791,0.586581,16.94799373,58.34466184,2.030968465,0.0586505,1.386305172,5.245701206,1.024819047,0.022351564,0.834108635,2.592279299,16.83611716
Biscuits,0,0.000396126,0.054963404,0.017862038,0.618823951,0.000791124,0.110388091,0.034488455,1.238822075,0.001628562,0.225184633,0.109844304,845.8097132,1.109382159,154.6429756,55.76416526,47.12495489,0.058942381,8.144447558,2.144816365,49.72185961,0.065270228,9.175585163,3.576535712,57.34173891
Blue cheese,2,0.003618126,0.121570857,0.07264003,2.327757964,0.004300961,0.144897779,0.086216183,6.529217154,0.012145552,0.406957321,0.244829109,3880.122986,7.254631534,241.213465,144.3438845,132.0524997,0.241776694,8.206974371,4.822716533,186.2069441,0.345978969,11.58531951,6.907872469,56.76638178
Brazil nuts,0,0.000226697,0.016372399,0.00361827,1.262262253,0.001075426,0.086082425,0.018898992,1.950077489,0.001552295,0.13373223,0.02925157,15468.44741,7.868584764,1086.518317,232.9249708,27.09137464,0.021517145,1.857357944,0.406155792,340.3463605,0.208528853,23.68409054,5.11279844,31.15468406
Bread,0,0.000188341,0.010446201,0.040789021,0.218109538,0.000496585,0.025991814,0.117482227,0.532900025,0.001222822,0.069221867,0.306416124,759.7916348,1.690646615,95.57034481,385.731484,3.330041743,0.00774842,0.408491113,1.728699917,22.53650661,0.049693188,2.957378044,11.2403867,25.67460317
Breakfast cereal,0,0.000194516,0.017589612,0.080520153,0.288814431,0.000385517,0.032052108,0.138280758,0.930446027,0.001233629,0.111240809,0.480259286,1232.240346,1.556785035,143.7359238,642.6407198,4.265145047,0.005832317,0.484753123,1.754096195,50.15433395,0.062400867,6.059308404,27.15574511,29.67975291
Brie cheese,2,0.003951565,0.108795305,0.065814017,2.257894538,0.004648647,0.12832973,0.077466355,6.415796348,0.013247502,0.365140018,0.220553676,3607.599021,7.425162427,205.5019894,123.5592852,125.1991539,0.256652197,7.100713321,4.284553256,175.2160013,0.360388525,9.969202997,5.997590977,55.21130107
Broccoli,0,0.001460658,0.022215808,0.126565999,0.116367084,0.00191874,0.029803335,0.167194391,0.410171337,0.006655039,0.097515158,0.571254192,2409.058659,40.03542615,642.4464664,3518.68791,1.640203589,0.027268732,0.437431305,2.397066421,29.97548537,0.49603046,7.833637769,43.40898402,9.249303063
Butter,0,0.000283994,0.59833923,0.004279965,0.36950165,0.000318631,0.672965611,0.004827366,1.050455406,0.000898288,1.934816212,0.013769005,630.5738942,0.553628288,1133.718517,8.362585936,17.23759942,0.014808746,31.2181769,0.221955561,26.59035604,0.023310083,48.46364472,0.353472214,68.01747635
