Entity,Year,Excess mortality from air pollution (all sources),Excess mortality from fossil fuels,Excess mortality from all anthropogenic pollution,Total Years Life Lost from air pollution (all sources),Total Years Life Lost from fossil fuels,Total Years Life Lost from all anthropogenic pollution,"Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)",Deaths from fossil pollution as a share of total air pollution deaths,Deaths from fossil pollution as a share of total anthropogenic air pollution deaths,Deaths from anthropogenic pollution as a share of total air pollution deaths
Afghanistan,2015,25376,2494,4384,1224383,107238,195192,78.01518738,7.66747625,13.47803363,3764.205122,329.6891813,600.0922311,9.828184111,56.88868613,17.27616646
Africa,2015,956711,67132,230333,39986277,2209333,9149427,80.7691847,5.667539003,19.44558871,3375.793727,186.5203025,772.429458,7.016957054,29.14562829,24.07550451
Albania,2015,2860,1308,1530,59005,26908,31502,98.72281671,45.15015533,52.81325509,2036.762168,928.8229203,1087.400759,45.73426573,85.49019608,53.4965035
Algeria,2015,32100,2008,2809,884673,52344,73671,80.92368972,5.062142335,7.081453097,2230.249326,131.958555,185.7236494,6.255451713,71.48451406,8.750778816
Angola,2015,18239,622,10433,1088251,36028,624177,72.89185517,2.485812485,41.69530813,4349.176724,143.9852929,2494.512829,3.410274686,5.961851816,57.20160096
Antigua and Barbuda,2015,60,4,5,1335,91,110,65.2173913,4.347826087,5.434782609,1451.086957,98.91304348,119.5652174,6.666666667,80,8.333333333
Argentina,2015,16568,3815,11651,347196,78922,243556,38.16016943,8.78688112,26.83511191,799.6775825,181.7767318,560.9692315,23.02631579,32.74397047,70.32230806
Armenia,2015,4168,1240,1270,89011,26287,26872,138.1047051,41.08681246,42.08084824,2949.337309,871.0072896,890.3909874,29.75047985,97.63779528,30.47024952
Australia,2015,11697,1451,2938,204526,24881,50874,48.80053199,6.053652382,12.25749876,853.2938023,103.8049104,212.2491463,12.40489014,49.38733833,25.11755151
Austria,2015,11293,7835,10117,190288,131882,170403,132.1591419,91.69103667,118.3967094,2226.892659,1543.381914,1994.1835,69.37926149,77.4439063,89.58646949
Azerbaijan,2015,12462,1381,1682,331765,35515,43250,127.762969,14.15829403,17.2442075,3401.322534,364.107033,443.4078327,11.08168833,82.10463734,13.49703097
Bahamas,2015,207,44,61,5643,1213,1682,53.35051546,11.34020619,15.72164948,1454.381443,312.628866,433.5051546,21.25603865,72.13114754,29.46859903
Bahrain,2015,893,125,143,26300,3482,4020,64.85112564,9.077705156,10.3848947,1909.949165,252.8685548,291.9389978,13.99776036,87.41258741,16.01343785
Bangladesh,2015,175170,72971,129786,5090921,2021995,3705716,108.8039407,45.32472659,80.6144217,3162.141158,1255.928664,2301.744043,41.65724725,56.22409197,74.09145402
Barbados,2015,357,15,27,7007,305,541,125.7042254,5.281690141,9.507042254,2467.253521,107.3943662,190.4929577,4.201680672,55.55555556,7.56302521
Belarus,2015,13963,10938,13956,307217,240546,307075,147.0408593,115.1853412,146.9671441,3235.225358,2533.129739,3233.729992,78.33560123,78.37489252,99.94986751
Belgium,2015,14251,7305,11554,240286,122953,194663,126.1262059,64.65173909,102.2568369,2126.612975,1088.175945,1722.833879,51.25956073,63.22485719,81.07501228
Belize,2015,129,25,52,3922,702,1555,35.93314763,6.963788301,14.48467967,1092.479109,195.5431755,433.1476323,19.37984496,48.07692308,40.31007752
Benin,2015,10110,300,2589,459373,11652,105282,92.92280266,2.757353195,23.79595807,4222.178697,107.0955981,967.6655301,2.96735905,11.58748552,25.60830861
Bhutan,2015,581,311,487,19472,10435,16317,74.96774194,40.12903226,62.83870968,2512.516129,1346.451613,2105.419355,53.52839931,63.86036961,83.82099828
Bolivia,2015,3832,125,3051,117280,3779,93388,35.72960373,1.165501166,28.44755245,1093.519814,35.23543124,870.7505828,3.262004175,4.097017371,79.61899791
Bosnia and Herzegovina,2015,5349,3023,3522,105188,59369,69162,140.3937008,79.34383202,92.44094488,2760.839895,1558.24147,1815.275591,56.51523649,85.83191369,65.84408301
Botswana,2015,656,204,597,20944,6687,19121,29.00088417,9.018567639,26.39257294,925.9062776,295.6233422,845.3138815,31.09756098,34.17085427,91.00609756
Brazil,2015,102317,15682,65282,2662316,407885,1693114,49.22683198,7.544935632,31.40852493,1280.895476,196.2419379,814.5922808,15.32687628,24.0219356,63.80366899
Brunei,2015,92,19,56,2630,517,1579,21.74940898,4.491725768,13.23877069,621.749409,122.2222222,373.286052,20.65217391,33.92857143,60.86956522
Bulgaria,2015,15077,8247,10343,300170,164022,205739,210.8671329,115.3426573,144.6573427,4198.181818,2294.013986,2877.468531,54.69921072,79.73508653,68.60118061
Burkina Faso,2015,15110,567,1016,686785,22183,39861,83.45300361,3.131558772,5.611399846,3793.135082,122.5174043,220.1535524,3.7524818,55.80708661,6.724023825
Burundi,2015,5565,292,2758,281079,14129,140399,49.78083462,2.612040199,24.6712564,2514.348107,126.3887533,1255.917233,5.247079964,10.58738216,49.55974843
Cambodia,2015,10312,2169,6001,334594,68107,193149,66.19591307,13.92348094,38.52227253,2147.862232,437.1998692,1239.883089,21.03374709,36.143976,58.1943367
Cameroon,2015,20485,650,3628,928371,25624,149710,87.75274912,2.784441637,15.54146809,3976.91518,109.7669731,641.3211653,3.173053454,17.91620728,17.71051989
Canada,2015,20089,17574,19427,366535,320940,354426,55.89592523,48.89815272,54.05396682,1019.852305,892.9881151,986.1600476,87.48071084,90.46172852,96.70466424
Cape Verde,2015,505,22,45,12283,462,976,96.92898273,4.222648752,8.637236084,2357.581574,88.6756238,187.3320537,4.356435644,48.88888889,8.910891089
Central African Republic,2015,6532,198,1930,286714,7228,73412,133.3061224,4.040816327,39.3877551,5851.306122,147.5102041,1498.204082,3.031230863,10.25906736,29.5468463
Chad,2015,19073,584,1950,1112372,27365,93557,135.8766118,4.160433141,13.89185723,7924.570777,194.9490632,666.502814,3.061919992,29.94871795,10.22387668
Chile,2015,8562,1282,2826,176406,25743,57558,47.70448227,7.142857541,15.74548784,982.8727982,143.4310309,320.6931313,14.97313712,45.36447275,33.00630694
China,2015,2799443,1554096,2203704,61869738,34008747,48525631,202.2828099,112.2962338,159.2357613,4470.598062,2457.41203,3506.376444,55.51447199,70.52199388,78.71937382
Colombia,2015,7503,3726,4539,192493,94166,114756,15.55703065,7.725642569,9.411350408,399.1229509,195.2476807,237.9398386,49.66013595,82.08856576,60.49580168
Comoros,2015,266,13,83,12814,639,4119,33.75634518,1.649746193,10.53299492,1626.142132,81.09137056,522.715736,4.887218045,15.6626506,31.20300752
Congo,2015,2042,46,967,76372,1655,36027,44.1991342,0.995670996,20.93073593,1653.073593,35.82251082,779.8051948,2.252693438,4.756980352,47.35553379
Costa Rica,2015,1502,371,548,34811,8339,12462,31.23960067,7.716306156,11.39767055,724.0224626,173.4400998,259.1930116,24.70039947,67.70072993,36.48468708
Cote d'Ivoire,2015,25297,84,6001,1146355,2965,252298,111.4307011,0.37001142,26.43379205,5049.576685,13.06052215,1111.34692,0.332055184,1.399766706,23.7221805
Croatia,2015,7436,4512,5402,135918,82341,98612,175.3773585,106.4150943,127.4056604,3205.613208,1942.004717,2325.754717,60.67778375,83.52462051,72.64658419
Cuba,2015,8639,1728,2629,180346,35648,54346,75.84723442,15.17120281,23.08165057,1583.371378,312.976295,477.1378402,20.00231508,65.72841385,30.43176294
Cyprus,2015,1165,356,470,21349,6493,8577,100,30.55793991,40.34334764,1832.532189,557.3390558,736.223176,30.55793991,75.74468085,40.34334764
Czech Republic,2015,16941,11534,16509,318065,216295,309937,160.6848146,109.3996016,156.5873091,3016.835815,2051.550792,2939.742009,68.08334809,69.86492216,97.44997344
Democratic Republic of Congo,2015,46546,1274,18745,2329251,57326,912142,60.24046254,1.648828026,24.26003245,3014.548138,74.1920843,1180.506509,2.7370773,6.796479061,40.271989
Denmark,2015,6194,2499,4218,111607,44887,75858,109.2608926,44.08184865,74.40465691,1968.724643,791.7974951,1338.119598,40.34549564,59.24608819,68.09815951
Djibouti,2015,870,50,94,31769,1656,3106,97.97297297,5.630630631,10.58558559,3577.59009,186.4864865,349.7747748,5.747126437,53.19148936,10.8045977
Dominican Republic,2015,4765,620,784,127609,16397,20750,45.26025836,5.889057751,7.446808511,1212.091565,155.7465805,197.093465,13.0115425,79.08163265,16.45330535
East Asia,2015,3112131,1698062,2403201,67395901,36604795,52124175,195.8663601,106.8699303,151.2488492,4241.65622,2303.774474,3280.508574,54.56267747,70.65834277,77.22043192
Ecuador,2015,3022,2079,2984,77911,53884,76921,18.71902758,12.87784856,18.48364603,482.600317,333.7710398,476.4680081,68.79549967,69.67158177,98.7425546
Egypt,2015,119634,18539,20527,3365055,502761,557423,130.7361091,20.25943065,22.43191828,3677.334182,549.4175313,609.1521986,15.49643078,90.31519462,17.15816574
El Salvador,2015,3080,747,1658,80513,19399,43248,50.26929982,12.19193733,27.06055166,1314.068875,316.6149829,705.8593112,24.25324675,45.05428227,53.83116883
Equatorial Guinea,2015,699,5,251,30483,196,10695,82.72189349,0.591715976,29.70414201,3607.455621,23.19526627,1265.680473,0.715307582,1.992031873,35.90844063
Eritrea,2015,4962,329,522,198933,11472,18312,94.91201224,6.29303749,9.984697781,3805.145371,219.4338179,350.2677888,6.630390971,63.02681992,10.51995163
