Entity,Year,"Time spent alone, by age of respondent (United States)","Time spent with children, by age of respondent (United States)","Time spent with coworkers, by age of respondent (United States)","Time spent with family, by age of respondent (United States)","Time spent with friends, by age of respondent (United States)","Time spent with other people, by age of respondent (United States)","Time spent with partner, by age of respondent (United States)","Time spent with other unclassified people, by age of respondent (United States)"
United States,15,193.30588,23.463852,8.3420067,267.12091,109.4145,91.27977,0,820.39819
United States,16,206.37056,28.609867,23.529137,254.3381,110.7418,92.893272,0.030690858,802.56744
United States,17,224.17331,26.089708,43.809685,229.81561,120.41887,98.981598,1.1228406,782.05121
United States,18,242.69839,27.387308,81.633575,236.35201,137.75107,116.19799,5.6972671,698.27637
United States,19,267.79385,36.445004,124.85052,201.2766,129.85716,133.68968,19.341291,648.48804
United States,20,277.60379,54.630512,143.9003,173.13503,122.7402,143.19347,26.35417,630.84546
United States,21,270.21817,69.293869,154.20972,152.67331,122.40627,119.16879,59.897781,623.3717
United States,22,283.56686,72.302246,173.0473,135.8266,100.16862,118.96726,55.767094,626.30426
United States,23,270.93015,96.935883,190.10524,125.79333,101.07177,122.90704,78.188667,616.93512
United States,24,265.81378,99.394424,206.05486,103.75845,96.786346,107.47169,99.44416,617.23181
United States,25,275.12906,119.50971,199.20917,101.02744,77.543015,118.491,121.25083,604.35657
United States,26,281.63202,128.59393,190.09406,87.654915,77.856834,122.5975,139.91745,600.5437
United States,27,259.3331,153.33383,211.48781,85.956535,74.140686,102.89968,151.88562,598.19366
United States,28,261.13989,175.83809,212.14497,80.147217,62.491688,114.75598,168.24556,585.3775
United States,29,253.66589,194.49931,199.11349,81.6101,55.084454,91.628296,176.19919,600.94629
United States,30,250.02524,199.76436,215.61365,72.476334,53.478016,95.506622,180.02309,583.90417
United States,31,253.16542,225.92371,199.06003,69.526543,50.925926,85.133217,203.71202,583.79706
United States,32,255.07323,230.71593,202.76134,61.336475,49.464462,99.096725,192.00175,582.89282
United States,33,244.90091,256.41312,186.96373,66.359383,49.731628,92.105194,200.02365,576.68317
United States,34,263.59116,261.18497,179.36411,65.723053,42.650288,93.25013,199.23759,577.31775
United States,35,262.62488,248.93806,190.68065,62.107143,41.661636,91.806068,198.27702,579.57538
United States,36,273.27942,256.59799,178.94667,64.809921,40.120937,86.183197,197.55948,574.53534
United States,37,267.09787,256.37634,188.47969,56.446011,43.362503,94.434166,204.00514,578.6156
United States,38,258.99704,254.45975,197.09261,54.001514,42.101093,87.363945,203.30919,579.92914
United States,39,281.98877,266.07874,172.79756,52.701588,33.611919,80.393898,212.07637,575.56512
United States,40,278.25668,242.43935,187.34126,54.638985,36.197014,91.167397,201.94627,573.3092
United States,41,292.07227,237.29298,179.37498,55.611694,38.729492,85.69178,194.68652,585.94269
United States,42,297.90939,222.96886,189.4864,50.690075,38.695633,87.339966,182.25496,577.0047
