Entity,Year,Plastic exports to China (tonnes),Share of Chinese plastic imports (%)
Australia,2016,293122,4.1
Belgium,2016,323308,4.5
Canada,2016,189161,2.7
Germany,2016,390106,5.5
Hong Kong,2016,1778898,24.9
Indonesia,2016,189273,2.7
Japan,2016,842104,11.8
Philippines,2016,320105,4.5
Thailand,2016,431783,6.1
Top 10 countries,2016,5451304,76.4
United States,2016,693444,9.7
World,2016,7134966,
