Entity,Year,Suicide rate (WHO (2005)),Male-Female Ratio of Suicide Rate (WHO (2005))
Afghanistan,2002,6.867054,
Afghanistan,2004,6.6843853,0.566015727
Afghanistan,2005,6.6843853,
Albania,2002,2.792918,
Albania,2004,7.699329853,1.539476417
Albania,2005,7.699329853,
Algeria,2002,3.754641,
Algeria,2004,4.848769665,1.118297833
Algeria,2005,4.848769665,
Andorra,2002,5.460766,
Andorra,2004,5.362178802,2.772599151
Andorra,2005,5.362178802,
Angola,2002,11.94146,
Angola,2004,14.55467701,2.636720505
Angola,2005,14.55467701,
Antigua and Barbuda,2002,0.4761568,
Antigua and Barbuda,2004,2.1618433,
Antigua and Barbuda,2005,2.1618433,
Argentina,1966,7.916583,3.233862499
Argentina,1967,9.915176,3.4390531
Argentina,1968,10.74287,3.390131674
Argentina,1969,10.48032,3.750768536
Argentina,1970,10.29312,3.154566584
Argentina,1977,7.778694,2.861354368
Argentina,1978,7.920763,2.844376631
Argentina,1979,6.838789,2.70661492
Argentina,1980,7.482319,2.975403
Argentina,1981,8.257092,3.267860899
Argentina,1982,7.042588,3.273441825
Argentina,1983,6.405541,2.69967714
Argentina,1984,6.581609,3.178934607
Argentina,1985,6.916961,3.004803845
Argentina,1986,7.883313,2.795514642
Argentina,1987,7.797068,2.577257273
Argentina,1988,7.753856,2.818654957
Argentina,1989,7.32608,2.986551949
Argentina,1990,6.826613,2.877357033
Argentina,1991,6.151737,3.311523912
Argentina,1992,6.862964,3.778150952
Argentina,1993,6.864534,4.031369864
Argentina,1994,6.766797,3.800803272
Argentina,1995,6.497159,3.80510109
Argentina,1996,6.521007,3.598924279
Argentina,1997,6.404548,3.37620366
Argentina,1998,6.571886,3.890708634
Argentina,1999,6.705275,4.375385917
Argentina,2000,7.578039,4.428899013
Argentina,2001,8.426514,3.961341267
Argentina,2002,8.399384,3.794609993
Argentina,2003,8.574696,4.128135483
Argentina,2004,8.045732,4.059352666
Argentina,2005,7.765584,
Armenia,2002,3.223157,
Armenia,2004,3.741587877,4.144052589
Armenia,2005,3.741587877,
Australia,1950,9.11394,3.04702317
Australia,1951,9.414491,3.130567263
Australia,1952,10.52931,3.095153602
Australia,1953,10.77947,2.696409496
Australia,1954,10.70571,3.018043769
Australia,1955,10.29923,2.912951685
Australia,1956,10.83826,2.798563349
Australia,1957,12.24532,2.641631207
Australia,1958,12.51539,3.102981275
Australia,1959,11.26922,2.917857055
Australia,1960,10.84956,2.520857693
Australia,1961,12.21164,2.578194147
Australia,1962,14.19252,2.23768361
Australia,1963,16.3551,2.022625695
Australia,1964,15.12317,1.99078858
Australia,1965,15.43313,1.768392631
Australia,1966,14.58644,1.68368123
Australia,1967,15.65878,1.759873326
Australia,1968,13.19256,2.026715155
Australia,1969,12.76834,2.190015302
Australia,1970,12.83559,2.324426473
Australia,1971,14.15584,1.970500247
Australia,1972,13.0239,2.029717314
Australia,1973,12.02608,2.134535465
Australia,1974,12.06323,2.204762232
Australia,1975,11.39783,2.197331127
Australia,1976,11.01759,2.747949292
Australia,1977,11.29412,2.596234035
Australia,1978,11.27129,2.421807976
Australia,1979,11.64795,2.536482946
Australia,1980,10.9455,2.971273786
Australia,1981,11.08437,3.076538419
Australia,1982,11.35668,3.015831588
Australia,1983,10.6924,3.307435939
Australia,1984,10.94829,3.347871391
Australia,1985,11.36893,3.491274809
Australia,1986,12.27354,3.415443038
Australia,1987,12.67795,4.080172591
Australia,1988,12.457,3.842531766
Australia,1989,11.61991,4.056352338
Australia,1990,12.21795,4.123367321
Australia,1991,12.50919,3.823206392
Australia,1992,12.13431,3.983295542
Australia,1993,10.8313,4.288058005
Australia,1994,12.03813,4.616697324
Australia,1995,11.34692,3.795164862
Australia,1996,12.44981,4.390270908
Australia,1997,13.50883,3.880978924
Australia,1998,13.31107,4.159641452
Australia,1999,12.37532,4.120232937
Australia,2000,11.69399,3.818559545
Australia,2001,11.84839,3.863958622
Australia,2002,11.03015,3.746938641
Australia,2003,10.10695,3.663347547
Australia,2004,9.656323,3.8622851
Australia,2005,8.470030125,
Austria,1955,20.5962,2.301162602
Austria,1956,19.92693,2.396289827
Austria,1957,20.9564,2.506975414
Austria,1958,20.79216,2.453268706
Austria,1959,21.81896,2.554199206
Austria,1960,20.19164,2.434064352
Austria,1961,19.24125,2.564374761
Austria,1962,19.71283,2.817616102
Austria,1963,19.32392,2.508638591
Austria,1964,19.99342,2.892779239
Austria,1965,20.16066,2.52792112
Austria,1966,20.39829,2.713764694
Austria,1967,19.63787,2.887116899
Austria,1968,19.63363,2.97752575
Austria,1969,20.016,2.534774004
Austria,1970,21.93183,3.00540952
Austria,1971,20.31294,2.543653989
Austria,1972,20.87694,2.742546737
Austria,1973,19.62877,2.790644443
Austria,1974,21.15685,2.76574685
Austria,1975,21.48004,3.022104503
Austria,1976,20.11514,3.021966478
Austria,1977,21.48151,2.681223783
Austria,1978,22.21951,2.987370998
Austria,1979,22.31893,2.861478759
Austria,1980,22.57223,3.006026233
Austria,1981,23.46337,3.013681046
Austria,1982,24.12704,3.362630563
Austria,1983,23.308,3.025904988
Austria,1984,23.06893,3.137240085
Austria,1985,23.7467,2.978271916
Austria,1986,24.3092,2.964589862
Austria,1987,22.78188,2.983651486
Austria,1988,20.36467,3.161344105
Austria,1989,20.57605,2.860707215
Austria,1990,19.33369,3.00586123
Austria,1991,18.53028,3.35642176
Austria,1992,18.39543,3.173446962
Austria,1993,17.46171,3.247413475
Austria,1994,18.29631,3.093932402
Austria,1995,18.21025,3.682254871
Austria,1996,17.68246,3.792497252
Austria,1997,16.08883,3.413375538
Austria,1998,15.67687,3.661471461
Austria,1999,15.44316,3.193820794
Austria,2000,15.88142,3.215430474
Austria,2001,14.76183,3.298653176
Austria,2002,15.15603,3.932702446
Austria,2003,14.07254,3.213522051
Austria,2004,13.6443,3.745922894
Austria,2005,13.09437,
Azerbaijan,1981,5.772842,2.07168629
Azerbaijan,1982,4.780469,2.508390034
Azerbaijan,1985,4.439677,2.758803943
