Entity,Year,Absolute difference in population (OWID based on UN vs US Census Bureau),Relative difference in population (OWID based on UN vs US Census Bureau)
Africa,1950,-388721,-0.169992114
Africa,1951,-517686,-0.22191896
Africa,1952,-623669,-0.261921308
Africa,1953,-637757,-0.262259558
Africa,1954,-648935,-0.261170801
Africa,1955,-747481,-0.294289622
Africa,1956,-795889,-0.306405545
Africa,1957,-781887,-0.294230871
Africa,1958,-741112,-0.27250245
Africa,1959,-682145,-0.244995588
Africa,1960,-629249,-0.220679166
Africa,1961,-363980,-0.124607977
Africa,1962,14659,0.00489761
Africa,1963,-45274,-0.014758186
Africa,1964,-70808,-0.022515084
Africa,1965,-167064,-0.051807508
Africa,1966,-298464,-0.090246623
Africa,1967,-456449,-0.134547341
Africa,1968,-567076,-0.16292952
Africa,1969,-637538,-0.178522168
Africa,1970,-179168,-0.0488917
Africa,1971,-73208,-0.019466731
Africa,1972,188722,0.048896123
Africa,1973,340893,0.08604088
Africa,1974,478663,0.11765728
Africa,1975,939369,0.224784238
Africa,1976,1000712,0.233035468
Africa,1977,881835,0.199779486
Africa,1978,847195,0.186674758
Africa,1979,642266,0.137616437
Africa,1980,541837,0.112879837
Africa,1981,-571815,-0.115811173
Africa,1982,-1615641,-0.318095631
Africa,1983,-2004213,-0.383592044
Africa,1984,-439159,-0.081711038
Africa,1985,-225791,-0.04084525
Africa,1986,-31009,-0.005454476
Africa,1987,662104,0.113263582
Africa,1988,1358733,0.226094991
Africa,1989,2091566,0.338642745
Africa,1990,2566579,0.404461439
Africa,1991,2764470,0.424152575
Africa,1992,3519784,0.525952145
Africa,1993,4385212,0.638390501
Africa,1994,6953810,0.98660681
Africa,1995,8030932,1.110898884
Africa,1996,8654983,1.167666407
Africa,1997,9551695,1.257210916
Africa,1998,10417763,1.338025544
Africa,1999,11029853,1.382471163
Africa,2000,11677771,1.428358193
Africa,2001,12162559,1.451689567
Africa,2002,12360596,1.439584288
Africa,2003,12484628,1.418680537
Africa,2004,12692702,1.407097354
Africa,2005,13207840,1.428248706
Africa,2006,13839848,1.459659125
Africa,2007,14481232,1.489431141
Africa,2008,15255671,1.529935571
