Entity,Year,Accidents involving casualties,Deaths,Deaths (per million vehicles),Injuries,Road deaths per 100 million vehicle kilometres
Albania,1994,559,421,,535,
Albania,1995,399,306,,333,
Albania,1996,381,256,,259,
Albania,1997,371,266,,319,
Albania,1998,434,308,,339,
Albania,1999,468,274,,383,
Albania,2000,428,280,,340,
Albania,2001,400,297,,250,
Albania,2002,328,250,,228,
Albania,2003,363,260,,250,
Albania,2004,801,315,,795,
Albania,2005,850,308,,872,
Albania,2006,1015,277,,1065,
Albania,2007,1254,384,,1344,
Albania,2008,1208,303,,1251,
Albania,2009,1465,378,,1455,
Albania,2010,1564,353,,1716,
Albania,2011,1876,322,,2150,
Albania,2012,1870,334,,2235,
Albania,2013,2075,295,,2503,
Albania,2014,1914,264,,2353,
Albania,2015,1992,270,,2422,
Armenia,1997,1140,261,,1448,
Armenia,1998,1044,316,,1293,
Armenia,1999,1031,229,,1272,
Armenia,2000,937,214,,1163,
Armenia,2001,1021,237,,1258,
Armenia,2002,1002,235,,1213,
Armenia,2003,1025,252,,1294,
Armenia,2004,1164,259,,1492,
Armenia,2005,1312,310,,1774,
Armenia,2006,1574,332,,2089,
Armenia,2007,1943,371,,2720,
Armenia,2008,2202,407,,3125,
Armenia,2009,2002,325,,2753,
Armenia,2010,1974,294,,2670,
Armenia,2011,2319,327,,3354,
Armenia,2012,2602,311,,3739,
Armenia,2013,2824,316,,3994,
Armenia,2014,3156,297,,4479,
Armenia,2015,3399,346,,4738,
Australia,1970,,3798,,,
Australia,1971,,3590,,,
Australia,1972,,3422,,,
Australia,1973,,3679,,,
Australia,1974,,3572,,,
Australia,1975,,3694,,,
Australia,1976,,3583,,,3.55
Australia,1977,,3578,,,
Australia,1978,,3705,,,
Australia,1979,,3508,,,3.15
Australia,1980,,3272,,32054,
Australia,1981,,3321,,32108,
Australia,1982,,3252,,30654,2.56
Australia,1983,,2755,,28080,
Australia,1984,,2822,,28795,
Australia,1985,,2941,,29248,2.09
Australia,1986,,2888,,29169,
Australia,1987,,2772,,29698,
Australia,1988,,2887,,29705,1.88
Australia,1989,24567,2800,,28483,
Australia,1990,22070,2331,,24961,
Australia,1991,19724,2113,,22528,1.41
Australia,1992,18850,1974,,21512,
Australia,1993,18901,1953,,21557,
Australia,1994,19270,1928,180.2,22133,
Australia,1995,19622,2017,184.24,22368,1.21
Australia,1996,19273,1970,172.79,21989,
Australia,1997,18752,1767,151.48,,
Australia,1998,,1755,145.44,,1.05
Australia,1999,,1764,143.78,,1.02
Australia,2000,,1817,,26963,0.98
Australia,2001,,1737,139.22,27482,0.91
Australia,2002,,1715,133.75,27958,0.89
Australia,2003,,1621,123.15,28446,0.8
Australia,2004,,1583,116.97,28886,0.8
Australia,2005,,1627,116.88,30597,0.79
Australia,2006,,1598,111.29,32288,0.76
Australia,2007,,1603,108.49,32552,0.72
Australia,2008,,1437,93.94,33524,0.64
Australia,2009,,1491,95.13,33692,0.66
Australia,2010,,1353,84.24,32775,0.59
Australia,2011,,1277,78.02,34082,0.55
Australia,2012,,1300,77.65,34091,0.55
Australia,2013,,1187,69.09,23059,0.5
Australia,2014,,1150,65.22,,0.47
Australia,2015,,1205,66.92,,0.49
Australia,2016,,1295,70.43,,0.52
Austria,1970,51631,2507,,70146,
Austria,1971,52763,2782,,72082,
Austria,1972,52696,2948,,72020,
Austria,1973,49716,2765,,68086,
Austria,1974,48853,2499,,65939,
Austria,1975,49132,2467,,65881,
Austria,1976,45016,2131,,60640,
Austria,1977,46183,2091,,62042,
Austria,1978,43592,2112,,58817,
Austria,1979,45425,2129,,60871,
Austria,1980,46214,1951,,62416,
Austria,1981,46690,1898,,62315,
Austria,1982,47067,1883,,62249,
Austria,1983,48825,1967,,64573,
Austria,1984,48146,1814,,62168,
Austria,1985,46275,1524,,59814,
Austria,1986,45015,1495,,58288,
Austria,1987,43947,1469,,57195,
Austria,1988,44243,1620,,57669,
Austria,1989,46565,1570,,60455,
Austria,1990,46338,1558,,60483,
Austria,1991,46013,1551,,60189,
Austria,1992,44730,1403,,57473,
Austria,1993,41791,1283,,53987,
Austria,1994,42015,1338,288.42,53818,
Austria,1995,38956,1210,253.51,50764,
Austria,1996,38253,1027,208.97,49673,
Austria,1997,39695,1105,219.33,51591,
Austria,1998,39225,963,186.56,51077,
Austria,1999,42348,1079,203.2,54967,
Austria,2000,42126,976,178.4,54929,
Austria,2001,43073,958,171.65,56265,
Austria,2002,43175,956,168.19,56684,
Austria,2003,43426,931,171.8,56881,
Austria,2004,42657,878,159.46,55857,
Austria,2005,40896,768,137.73,53234,
Austria,2006,39884,730,129.27,51930,
Austria,2007,41096,691,120.74,53211,
Austria,2008,39173,679,117.13,50521,
Austria,2009,37925,633,107.78,49158,
Austria,2010,35348,552,92.29,45858,
Austria,2011,35129,523,85.85,45025,
Austria,2012,40831,531,85.71,50895,
Austria,2013,38502,455,72.22,48044,
Austria,2014,37957,430,67.35,47670,
Austria,2015,37960,479,74.08,47366,
Austria,2016,38466,432,,48393,
Azerbaijan,1991,3336,1281,,3702,
Azerbaijan,1992,3045,1265,,3432,
Azerbaijan,1993,2829,1152,,3224,
Azerbaijan,1994,2871,1107,,3292,
Azerbaijan,1995,2513,990,,2786,
Azerbaijan,1996,2185,763,,2420,
Azerbaijan,1997,1988,605,,2283,
Azerbaijan,1998,1984,594,,2290,
Azerbaijan,1999,1996,554,,2316,
Azerbaijan,2000,1987,596,,1603,
Azerbaijan,2001,1985,559,,2228,
Azerbaijan,2002,2193,642,,2486,
Azerbaijan,2003,2311,724,,2691,
Azerbaijan,2004,2388,811,,2766,
Azerbaijan,2005,3179,1065,,3668,
Azerbaijan,2006,3197,1027,,3606,
Azerbaijan,2007,3104,1107,,3432,
Azerbaijan,2008,2970,1052,,3232,
Azerbaijan,2009,2792,930,,3044,
Azerbaijan,2010,2721,925,,2871,
Azerbaijan,2011,2890,1016,,3031,
Azerbaijan,2012,2892,1168,,2997,
Azerbaijan,2013,2846,1164,,2948,
Azerbaijan,2014,2635,1124,,2676,
Azerbaijan,2015,2220,894,,2265,
Azerbaijan,2016,2006,759,,2003,
Belarus,1990,9186,2211,,9286,
Belarus,1991,9182,2332,,9226,
Belarus,1992,8687,2151,,8676,
Belarus,1993,7334,1738,,7296,
Belarus,1994,7144,1670,,7296,
Belarus,1995,7268,1781,,7457,
Belarus,1996,7220,1727,,7502,
Belarus,1997,6899,1726,,7154,
Belarus,1998,6849,1843,,6899,
Belarus,1999,6709,1764,,6690,
Belarus,2000,6410,1594,,6494,
Belarus,2001,6327,1594,,6401,
Belarus,2002,7204,1728,,7472,
Belarus,2003,7193,1763,,7362,
Belarus,2004,7218,1688,,7522,
Belarus,2005,7717,1673,,8047,
Belarus,2006,8283,1726,,8832,
Belarus,2007,7501,1518,,8037,
Belarus,2008,7238,1564,,7494,
Belarus,2009,6739,1322,,7283,
Belgium,1970,77000,2950,,104830,
Belgium,1971,72000,3070,,96430,
Belgium,1972,76000,3130,,103410,
Belgium,1973,66000,2920,,94740,
Belgium,1974,66000,2670,,87820,
Belgium,1975,60376,2346,,82132,
Belgium,1976,63000,2490,,84060,
Belgium,1977,63000,2520,,85820,
Belgium,1978,64000,2590,,87270,
Belgium,1979,60000,2330,,81770,
Belgium,1980,60758,2396,,82304,
Belgium,1981,59024,2216,,79588,
Belgium,1982,57407,2064,,77693,
Belgium,1983,58778,2090,,79397,
Belgium,1984,58659,1893,,79678,
Belgium,1985,54826,1801,,74514,
Belgium,1986,58515,1951,,79861,
Belgium,1987,59669,1922,,81934,
Belgium,1988,61756,1967,,84851,
Belgium,1989,62982,1993,,86676,
Belgium,1990,62446,1976,,86184,
Belgium,1991,58223,1874,,80654,
Belgium,1992,55438,1672,,77109,
Belgium,1993,54933,1660,,76015,
Belgium,1994,53018,1692,335.32,73339,
Belgium,1995,51941,1505,293.03,72063,
Belgium,1996,48752,1356,259.22,66903,
Belgium,1997,50078,1364,255.38,69543,
Belgium,1998,51167,1500,275.03,70760,
Belgium,1999,51601,1397,249.64,71146,
Belgium,2000,49065,1470,256.32,67961,
Belgium,2001,47444,1486,254.58,65294,
Belgium,2002,47619,1353,228.78,64989,
Belgium,2003,50479,1216,203.34,65386,
Belgium,2004,48670,1163,191.85,62992,
Belgium,2005,49307,1089,176.81,65342,
Belgium,2006,49171,1069,171.01,65297,
Belgium,2007,49794,1067,167.71,65850,
Belgium,2008,48827,944,145.63,64437,
Belgium,2009,47798,943,143.42,62720,
Belgium,2010,45918,841,125.73,60363,
Belgium,2011,47945,862,125.62,62861,
Belgium,2012,44234,770,111.26,57763,
Belgium,2013,41279,724,103.52,53967,
Belgium,2014,41481,727,102.74,53248,
Belgium,2015,40303,732,102.02,51839,
Belgium,2016,40096,637,87.24,51190,
Bosnia and Herzegovina,1989,36741,592,,4460,
Bosnia and Herzegovina,1994,3401,149,,1095,
Bosnia and Herzegovina,1995,13406,215,,2468,
Bosnia and Herzegovina,1996,12865,199,,2288,
Bosnia and Herzegovina,1997,20377,230,,4314,
Bosnia and Herzegovina,2003,35658,460,,,
Bosnia and Herzegovina,2004,36367,437,,,
Bosnia and Herzegovina,2005,35233,384,,,
Bosnia and Herzegovina,2006,36090,403,,9994,
Bosnia and Herzegovina,2007,39899,430,,11890,
Bosnia and Herzegovina,2008,40859,434,,11884,
Bosnia and Herzegovina,2009,40237,382,,11052,
Bosnia and Herzegovina,2011,37928,356,,10039,
Bosnia and Herzegovina,2012,34884,303,,9175,
Bosnia and Herzegovina,2013,35725,334,,9718,
Bulgaria,1970,5831,838,,5608,
Bulgaria,1971,5794,889,,5768,
Bulgaria,1972,5579,934,,5639,
Bulgaria,1973,5487,946,,5673,
Bulgaria,1974,5397,960,,5695,
Bulgaria,1975,5451,1030,,5792,
Bulgaria,1976,5453,1021,,5787,
Bulgaria,1977,5218,1040,,5514,
Bulgaria,1978,5489,1153,,5765,
Bulgaria,1979,5158,1149,,5331,
Bulgaria,1980,5651,1199,,6055,
Bulgaria,1981,5290,1219,,5600,
Bulgaria,1982,5164,1229,,5466,
Bulgaria,1983,4715,1123,,4784,
Bulgaria,1984,5251,1119,,5432,
Bulgaria,1985,5082,1113,,5255,
Bulgaria,1986,4802,1070,,4991,
Bulgaria,1987,5845,1153,,6259,
Bulgaria,1988,5973,1153,,6292,
