Entity,Year,Market share of iodized salt (European Commission (2006))
Albania,2004,56
Austria,2004,95
Belgium,2004,10
Bosnia and Herzegovina,2004,37
Bulgaria,2004,90
Croatia,2004,90
Czech Republic,2004,90
Finland,2004,90
France,2004,55
Germany,2004,84
Greece,2004,18
Hungary,2004,30
Italy,2004,3
Lithuania,2004,12
Macedonia,2004,100
Netherlands,2004,60
Poland,2004,90
Romania,2004,25
Slovakia,2004,85
Spain,2004,16
Switzerland,2004,94
Turkey,2004,64
United Kingdom,2004,2
Yugoslavia,2004,73
