Entity,Year,Real GDP per capita (OWID)
Delhi,1997,2218.03
Delhi,1998,2312.13
Delhi,1999,2471.49
Delhi,2000,2521.34
Delhi,2001,2597.59
Delhi,2002,2651.13
Delhi,2003,2812.62
Delhi,2004,2986.82
Delhi,2005,3213.06
Delhi,2006,3457.06
Delhi,2007,3698.64
Delhi,2008,3786.75
Delhi,2009,4049.96
Delhi,2010,4404.54
London,1700,2465.14
London,1720,2774.71
London,1750,2761.67
London,1775,2958.82
London,1800,3416.53
London,1801,3424.04
London,1802,3434.66
London,1803,3323.7
London,1804,3274.89
London,1805,3422.35
London,1806,3359.91
London,1807,3530.48
London,1808,3321.96
London,1809,3381.84
London,1810,3554.71
London,1811,3471.9
London,1812,3278.44
London,1813,3402.34
London,1814,3275.21
London,1815,3566.27
London,1816,3322.96
London,1817,3325.88
London,1818,3272.16
London,1819,3172.22
London,1820,3378.93
London,1821,3380.75
London,1822,3389.26
London,1823,3433.76
London,1824,3569.37
London,1825,3599.84
London,1826,3362.74
London,1827,3575.82
London,1828,3536.63
London,1829,3518.54
London,1830,3628.97
London,1831,3623.85
London,1832,3692.54
London,1833,3679.16
London,1834,3720.18
London,1835,3946.42
London,1836,4024.67
London,1837,3942.45
London,1838,4049.77
London,1839,3967.56
London,1840,4107.51
London,1841,3980.57
London,1842,3893
London,1843,4037.1
London,1844,4339.42
London,1845,4484.06
London,1846,4430.65
London,1847,4328.15
London,1848,4457.33
London,1849,4520.02
London,1850,3796.28
London,1851,3993.12
London,1852,4041.37
London,1853,4163.62
London,1854,4240.26
London,1855,4188.59
London,1856,4447.43
London,1857,4492.47
London,1858,4468.07
London,1859,4545.91
London,1860,4611.33
London,1861,4699.02
London,1862,4692.69
London,1863,4693.48
London,1864,4782.76
London,1865,4889.49
London,1866,4925.49
London,1867,4836.17
London,1868,4947.61
London,1869,4938.06
London,1870,5198.19
London,1871,5428.64
London,1872,5407.94
London,1873,5482.12
London,1874,5517.55
London,1875,5594.5
London,1876,5588.78
London,1877,5580.7
London,1878,5543.72
London,1879,5462.26
London,1880,5665.62
London,1881,5814.06
London,1882,5935.63
London,1883,5936.07
London,1884,5900.78
London,1885,5822.62
London,1886,5865.54
London,1887,6049.86
London,1888,6271.36
London,1889,6555.95
London,1890,6531.54
London,1891,6476.77
London,1892,6266.83
London,1893,6208.87
London,1894,6564.3
London,1895,6709
London,1896,6922.21
London,1897,6946.57
London,1898,7214.12
London,1899,7440.96
London,1900,7318.54
London,1901,7251.06
London,1902,7373.07
London,1903,7233.49
London,1904,7214.48
London,1905,7365.24
London,1906,7545.46
London,1907,7622.84
London,1908,7249.1
London,1909,7349.02
London,1910,7512.37
London,1911,7672.24
London,1912,7758.34
London,1913,8017.08
London,1914,8026.91
London,1915,8616.2
London,1916,8772.8
London,1917,8832.5
London,1918,8894.9
London,1919,7935.39
London,1920,7409.94
London,1921,7232.74
London,1922,7554.99
London,1923,7755.02
London,1924,8017.72
London,1925,8381.96
London,1926,8042.44
London,1927,8659.66
London,1928,8728.14
London,1929,8966.59
London,1930,8864.83
London,1931,8372.05
London,1932,8388.08
London,1933,8598.6
London,1934,9136.35
London,1935,9448.36
London,1936,9833.14
London,1937,10130.4
London,1938,10209.97
London,1939,10203.37
London,1940,11170.53
London,1941,12189.94
London,1942,12446.06
London,1943,12616.86
London,1944,12065.65
London,1945,11496.6
London,1946,10990.23
London,1947,10760.61
London,1948,10990.71
London,1949,11332.95
London,1950,11306.37
London,1951,11606.14
London,1952,11552.95
London,1953,11968.56
London,1954,12414.02
London,1955,12819.6
London,1956,12918.36
London,1957,13062.17
London,1958,12978.74
London,1959,13425.16
London,1960,14085.73
London,1961,14430.22
London,1962,14444.42
London,1963,14906.82
London,1964,15589.15
London,1965,15888.24
London,1966,16106.2
London,1967,16372.72
London,1968,16961
London,1969,17191.93
London,1970,17543.51
London,1971,17827.01
London,1972,18401.26
London,1973,19592.86
London,1974,19321.79
London,1975,19302.53
London,1976,19738.97
London,1977,20176.7
London,1978,20900.47
London,1979,21453.54
London,1980,21069.36
London,1981,20769.46
London,1982,21107.09
London,1983,21839.98
London,1984,22354.18
London,1985,23078.38
London,1986,24018.93
London,1987,25080.62
London,1988,26248.12
London,1989,26742.98
London,1990,26769.36
London,1991,26388.08
London,1992,26411.52
London,1993,27008.83
London,1994,27986.81
London,1995,28612.47
London,1996,29267.11
London,1997,30104.7
London,1998,30974.89
London,1999,31885.41
London,2000,32961.53
London,2001,33729.99
London,2002,34392.68
London,2003,35419.5
London,2004,36108.83
London,2005,36927.6
London,2006,37574.69
London,2007,38236.14
London,2008,37698.45
London,2009,35795.18
London,2010,36195.87
London,2011,36456
London,2012,36678.75
London,2013,37130.28
London,2014,37983.13
London,2015,38519.49
