Entity,Year,Colonial Regimes (Minner and Wim (2006))
Albania,1816,Turkey
Albania,1817,Turkey
Albania,1818,Turkey
Albania,1819,Turkey
Albania,1820,Turkey
Albania,1821,Turkey
Albania,1822,Turkey
Albania,1823,Turkey
Albania,1824,Turkey
Albania,1825,Turkey
Albania,1826,Turkey
Albania,1827,Turkey
Albania,1828,Turkey
Albania,1829,Turkey
Albania,1830,Turkey
Albania,1831,Turkey
Albania,1832,Turkey
Albania,1833,Turkey
Albania,1834,Turkey
Albania,1835,Turkey
Albania,1836,Turkey
Albania,1837,Turkey
Albania,1838,Turkey
Albania,1839,Turkey
Albania,1840,Turkey
Albania,1841,Turkey
Albania,1842,Turkey
Albania,1843,Turkey
Albania,1844,Turkey
Albania,1845,Turkey
Albania,1846,Turkey
Albania,1847,Turkey
Albania,1848,Turkey
Albania,1849,Turkey
Albania,1850,Turkey
Albania,1851,Turkey
Albania,1852,Turkey
Albania,1853,Turkey
Albania,1854,Turkey
Albania,1855,Turkey
Albania,1856,Turkey
Albania,1857,Turkey
Albania,1858,Turkey
Albania,1859,Turkey
Albania,1860,Turkey
Albania,1861,Turkey
Albania,1862,Turkey
Albania,1863,Turkey
Albania,1864,Turkey
Albania,1865,Turkey
Albania,1866,Turkey
Albania,1867,Turkey
Albania,1868,Turkey
Albania,1869,Turkey
Albania,1870,Turkey
Albania,1871,Turkey
Albania,1872,Turkey
Albania,1873,Turkey
Albania,1874,Turkey
Albania,1875,Turkey
Albania,1876,Turkey
Albania,1877,Turkey
Albania,1878,Turkey
Albania,1879,Turkey
Albania,1880,Turkey
Albania,1881,Turkey
Albania,1882,Turkey
Albania,1883,Turkey
Albania,1884,Turkey
Albania,1885,Turkey
Albania,1886,Turkey
Albania,1887,Turkey
Albania,1888,Turkey
Albania,1889,Turkey
Albania,1890,Turkey
Albania,1891,Turkey
Albania,1892,Turkey
Albania,1893,Turkey
Albania,1894,Turkey
Albania,1895,Turkey
Albania,1896,Turkey
Albania,1897,Turkey
Albania,1898,Turkey
Albania,1899,Turkey
Albania,1900,Turkey
Albania,1901,Turkey
Albania,1902,Turkey
Albania,1903,Turkey
Albania,1904,Turkey
Albania,1905,Turkey
Albania,1906,Turkey
Albania,1907,Turkey
Albania,1908,Turkey
Albania,1909,Turkey
Albania,1910,Turkey
Albania,1911,Turkey
Albania,1912,Turkey
Algeria,1816,France
Algeria,1817,France
Algeria,1818,France
Algeria,1819,France
Algeria,1820,France
Algeria,1821,France
Algeria,1822,France
Algeria,1823,France
Algeria,1824,France
Algeria,1825,France
Algeria,1826,France
Algeria,1827,France
Algeria,1828,France
Algeria,1829,France
Algeria,1830,France
Algeria,1831,France
Algeria,1832,France
Algeria,1833,France
Algeria,1834,France
Algeria,1835,France
Algeria,1836,France
Algeria,1837,France
Algeria,1838,France
Algeria,1839,France
Algeria,1840,France
Algeria,1841,France
Algeria,1842,France
Algeria,1843,France
Algeria,1844,France
Algeria,1845,France
Algeria,1846,France
Algeria,1847,France
Algeria,1848,France
Algeria,1849,France
Algeria,1850,France
Algeria,1851,France
Algeria,1852,France
Algeria,1853,France
Algeria,1854,France
Algeria,1855,France
Algeria,1856,France
Algeria,1857,France
Algeria,1858,France
Algeria,1859,France
Algeria,1860,France
Algeria,1861,France
Algeria,1862,France
Algeria,1863,France
Algeria,1864,France
Algeria,1865,France
Algeria,1866,France
Algeria,1867,France
Algeria,1868,France
Algeria,1869,France
Algeria,1870,France
Algeria,1871,France
Algeria,1872,France
Algeria,1873,France
Algeria,1874,France
Algeria,1875,France
Algeria,1876,France
Algeria,1877,France
Algeria,1878,France
Algeria,1879,France
Algeria,1880,France
Algeria,1881,France
Algeria,1882,France
Algeria,1883,France
Algeria,1884,France
Algeria,1885,France
Algeria,1886,France
Algeria,1887,France
Algeria,1888,France
Algeria,1889,France
Algeria,1890,France
Algeria,1891,France
Algeria,1892,France
Algeria,1893,France
Algeria,1894,France
Algeria,1895,France
Algeria,1896,France
Algeria,1897,France
Algeria,1898,France
Algeria,1899,France
Algeria,1900,France
Algeria,1901,France
Algeria,1902,France
Algeria,1903,France
Algeria,1904,France
Algeria,1905,France
Algeria,1906,France
Algeria,1907,France
Algeria,1908,France
Algeria,1909,France
Algeria,1910,France
Algeria,1911,France
Algeria,1912,France
Algeria,1913,France
Algeria,1914,France
Algeria,1915,France
Algeria,1916,France
Algeria,1917,France
Algeria,1918,France
Algeria,1919,France
Algeria,1920,France
Algeria,1921,France
Algeria,1922,France
Algeria,1923,France
Algeria,1924,France
Algeria,1925,France
Algeria,1926,France
Algeria,1927,France
Algeria,1928,France
Algeria,1929,France
Algeria,1930,France
Algeria,1931,France
Algeria,1932,France
Algeria,1933,France
Algeria,1934,France
Algeria,1935,France
Algeria,1936,France
Algeria,1937,France
Algeria,1938,France
Algeria,1939,France
Algeria,1940,France
Algeria,1941,France
Algeria,1942,France
Algeria,1943,France
Algeria,1944,France
Algeria,1945,France
Algeria,1946,France
Algeria,1947,France
Algeria,1948,France
Algeria,1949,France
Algeria,1950,France
Algeria,1951,France
Algeria,1952,France
Algeria,1953,France
Algeria,1954,France
Algeria,1955,France
Algeria,1956,France
Algeria,1957,France
Algeria,1958,France
Algeria,1959,France
Algeria,1960,France
Algeria,1961,France
Angola,1816,Portugal
Angola,1817,Portugal
Angola,1818,Portugal
Angola,1819,Portugal
Angola,1820,Portugal
Angola,1821,Portugal
Angola,1822,Portugal
Angola,1823,Portugal
Angola,1824,Portugal
Angola,1825,Portugal
Angola,1826,Portugal
Angola,1827,Portugal
Angola,1828,Portugal
Angola,1829,Portugal
Angola,1830,Portugal
Angola,1831,Portugal
Angola,1832,Portugal
Angola,1833,Portugal
Angola,1834,Portugal
Angola,1835,Portugal
Angola,1836,Portugal
Angola,1837,Portugal
Angola,1838,Portugal
Angola,1839,Portugal
Angola,1840,Portugal
Angola,1841,Portugal
Angola,1842,Portugal
Angola,1843,Portugal
Angola,1844,Portugal
Angola,1845,Portugal
Angola,1846,Portugal
Angola,1847,Portugal
Angola,1848,Portugal
Angola,1849,Portugal
Angola,1850,Portugal
Angola,1851,Portugal
Angola,1852,Portugal
Angola,1853,Portugal
Angola,1854,Portugal
Angola,1855,Portugal
Angola,1856,Portugal
Angola,1857,Portugal
Angola,1858,Portugal
Angola,1859,Portugal
Angola,1860,Portugal
Angola,1861,Portugal
Angola,1862,Portugal
Angola,1863,Portugal
Angola,1864,Portugal
Angola,1865,Portugal
Angola,1866,Portugal
Angola,1867,Portugal
Angola,1868,Portugal
Angola,1869,Portugal
Angola,1870,Portugal
Angola,1871,Portugal
Angola,1872,Portugal
Angola,1873,Portugal
Angola,1874,Portugal
Angola,1875,Portugal
Angola,1876,Portugal
Angola,1877,Portugal
Angola,1878,Portugal
Angola,1879,Portugal
Angola,1880,Portugal
Angola,1881,Portugal
Angola,1882,Portugal
Angola,1883,Portugal
Angola,1884,Portugal
Angola,1885,Portugal
Angola,1886,Portugal
Angola,1887,Portugal
Angola,1888,Portugal
Angola,1889,Portugal
Angola,1890,Portugal
Angola,1891,Portugal
Angola,1892,Portugal
Angola,1893,Portugal
Angola,1894,Portugal
Angola,1895,Portugal
Angola,1896,Portugal
Angola,1897,Portugal
Angola,1898,Portugal
Angola,1899,Portugal
Angola,1900,Portugal
Angola,1901,Portugal
Angola,1902,Portugal
Angola,1903,Portugal
Angola,1904,Portugal
Angola,1905,Portugal
Angola,1906,Portugal
Angola,1907,Portugal
Angola,1908,Portugal
Angola,1909,Portugal
Angola,1910,Portugal
Angola,1911,Portugal
Angola,1912,Portugal
Angola,1913,Portugal
Angola,1914,Portugal
Angola,1915,Portugal
Angola,1916,Portugal
Angola,1917,Portugal
Angola,1918,Portugal
Angola,1919,Portugal
Angola,1920,Portugal
Angola,1921,Portugal
Angola,1922,Portugal
Angola,1923,Portugal
Angola,1924,Portugal
Angola,1925,Portugal
Angola,1926,Portugal
Angola,1927,Portugal
Angola,1928,Portugal
Angola,1929,Portugal
Angola,1930,Portugal
Angola,1931,Portugal
Angola,1932,Portugal
Angola,1933,Portugal
Angola,1934,Portugal
Angola,1935,Portugal
Angola,1936,Portugal
Angola,1937,Portugal
Angola,1938,Portugal
Angola,1939,Portugal
Angola,1940,Portugal
Angola,1941,Portugal
Angola,1942,Portugal
Angola,1943,Portugal
Angola,1944,Portugal
Angola,1945,Portugal
Angola,1946,Portugal
Angola,1947,Portugal
Angola,1948,Portugal
Angola,1949,Portugal
Angola,1950,Portugal
Angola,1951,Portugal
Angola,1952,Portugal
Angola,1953,Portugal
Angola,1954,Portugal
Angola,1955,Portugal
Angola,1956,Portugal
Angola,1957,Portugal
Angola,1958,Portugal
Angola,1959,Portugal
Angola,1960,Portugal
Angola,1961,Portugal
Angola,1962,Portugal
Angola,1963,Portugal
Angola,1964,Portugal
Angola,1965,Portugal
Angola,1966,Portugal
Angola,1967,Portugal
Angola,1968,Portugal
Angola,1969,Portugal
Angola,1970,Portugal
Angola,1971,Portugal
Angola,1972,Portugal
Angola,1973,Portugal
Angola,1974,Portugal
Armenia,1816,Mixed Rule
Armenia,1817,Mixed Rule
Armenia,1818,Mixed Rule
Armenia,1819,Mixed Rule
Armenia,1820,Mixed Rule
Armenia,1821,Mixed Rule
Armenia,1822,Mixed Rule
Armenia,1823,Mixed Rule
Armenia,1824,Mixed Rule
Armenia,1825,Mixed Rule
Armenia,1826,Mixed Rule
Armenia,1827,Mixed Rule
Armenia,1828,Mixed Rule
Armenia,1829,Mixed Rule
Armenia,1830,Mixed Rule
Armenia,1831,Mixed Rule
Armenia,1832,Mixed Rule
Armenia,1833,Mixed Rule
Armenia,1834,Mixed Rule
Armenia,1835,Mixed Rule
