Entity,Year,Mean male height (cm),Mean female height (cm),Male-to-female height ratio,Change in male height (cm),Change in female height (cm),Change in male height (%),Change in female height (%)
Afghanistan,1896,161.1640953,149.1877469,1.080277024,,,,
Afghanistan,1897,161.196286,149.3214511,1.079525311,,,,
Afghanistan,1898,161.2282966,149.4554945,1.07877129,,,,
Afghanistan,1899,161.2607274,149.5895027,1.078021683,,,,
Afghanistan,1900,161.2930682,149.7235866,1.077272271,,,,
Afghanistan,1901,161.325492,149.8575727,1.076525457,,,,
Afghanistan,1902,161.3583553,149.990929,1.075787425,,,,
Afghanistan,1903,161.3912147,150.1236349,1.075055336,,,,
Afghanistan,1904,161.4239893,150.2551397,1.074332563,,,,
Afghanistan,1905,161.4567642,150.3858006,1.073617081,,,,
Afghanistan,1906,161.4894043,150.5156773,1.072907535,,,,
Afghanistan,1907,161.5229355,150.6447313,1.072210983,,,,
Afghanistan,1908,161.5572929,150.7731144,1.071525872,,,,
Afghanistan,1909,161.5924115,150.9009151,1.070851104,,,,
Afghanistan,1910,161.6288848,151.0291214,1.070183573,,,,
Afghanistan,1911,161.6678293,151.1580202,1.069528624,,,,
Afghanistan,1912,161.7097565,151.2876394,1.068889416,,,,
Afghanistan,1913,161.7544944,151.4182271,1.068263032,,,,
Afghanistan,1914,161.8015948,151.5494946,1.067648528,,,,
Afghanistan,1915,161.8512242,151.6815492,1.067046223,,,,
Afghanistan,1916,161.9029869,151.8143589,1.066453714,,,,
Afghanistan,1917,161.9569878,151.9479341,1.065871601,,,,
Afghanistan,1918,162.0126184,152.0818659,1.065298729,,,,
Afghanistan,1919,162.0692287,152.2152263,1.064737298,,,,
Afghanistan,1920,162.1259389,152.3483928,1.06417886,,,,
Afghanistan,1921,162.1826578,152.4805703,1.063628353,,,,
Afghanistan,1922,162.2384477,152.6116338,1.063080472,,,,
Afghanistan,1923,162.2938166,152.7408145,1.062543873,,,,
Afghanistan,1924,162.3493607,152.8686282,1.062018824,,,,
Afghanistan,1925,162.4063756,152.9969321,1.061500864,,,,
Afghanistan,1926,162.4658093,153.1260991,1.060993588,,,,
Afghanistan,1927,162.5287465,153.2559327,1.060505415,,,,
Afghanistan,1928,162.5953253,153.386198,1.060038826,,,,
Afghanistan,1929,162.6649787,153.5170542,1.059588979,,,,
Afghanistan,1930,162.7363663,153.6479176,1.059151135,,,,
Afghanistan,1931,162.8085523,153.777238,1.058729851,,,,
Afghanistan,1932,162.8802754,153.9049255,1.058317496,,,,
Afghanistan,1933,162.9518219,154.0315107,1.057912249,,,,
Afghanistan,1934,163.0234031,154.1574317,1.057512449,,,,
Afghanistan,1935,163.0949112,154.2824779,1.057118821,,,,
Afghanistan,1936,163.16596,154.4070149,1.056726342,,,,
Afghanistan,1937,163.2362977,154.5304755,1.056337251,,,,
Afghanistan,1938,163.305397,154.6517789,1.055955503,,,,
Afghanistan,1939,163.3729943,154.7702419,1.055584021,,,,
Afghanistan,1940,163.4389961,154.8844495,1.055231798,,,,
Afghanistan,1941,163.5041548,154.9943579,1.054903914,,,,
Afghanistan,1942,163.5700656,155.1000154,1.054610247,,,,
Afghanistan,1943,163.6382848,155.2028713,1.054350886,,,,
Afghanistan,1944,163.7087534,155.3027743,1.054126394,,,,
Afghanistan,1945,163.7810528,155.3998738,1.053932985,,,,
Afghanistan,1946,163.855399,155.4944527,1.053770062,,,,
Afghanistan,1947,163.9310933,155.5857843,1.053637992,,,,
Afghanistan,1948,164.0073807,155.6738118,1.053532247,,,,
Afghanistan,1949,164.0832287,155.7584173,1.053446944,,,,
Afghanistan,1950,164.1575871,155.8399879,1.053372689,,,,
Afghanistan,1951,164.2290702,155.918107,1.053303387,,,,
Afghanistan,1952,164.2967149,155.9911579,1.053243768,,,,
Afghanistan,1953,164.3606172,156.059593,1.053191374,,,,
Afghanistan,1954,164.4204793,156.1228768,1.053147897,,,,
Afghanistan,1955,164.476951,156.1811184,1.053116745,,,,
Afghanistan,1956,164.5306042,156.2341843,1.053102462,,,,
Afghanistan,1957,164.5831243,156.2825629,1.053112524,,,,
Afghanistan,1958,164.6357244,156.3269191,1.053150189,,,,
Afghanistan,1959,164.6887788,156.3674914,1.053216224,,,,
Afghanistan,1960,164.7427774,156.4042493,1.053313949,,,,
Afghanistan,1961,164.7971321,156.4368567,1.053441852,,,,
Afghanistan,1962,164.8498304,156.4648743,1.053590022,,,,
Afghanistan,1963,164.8991445,156.4864367,1.053759981,,,,
Afghanistan,1964,164.9436129,156.5001938,1.053951493,,,,
Afghanistan,1965,164.9831305,156.5053679,1.054169149,,,,
Afghanistan,1966,165.0189045,156.5027059,1.054415664,,,,
Afghanistan,1967,165.051753,156.4926916,1.054693042,,,,
Afghanistan,1968,165.0826591,156.4757498,1.055004749,,,,
Afghanistan,1969,165.1135003,156.4520633,1.055361603,,,,
Afghanistan,1970,165.1439626,156.4219567,1.055759473,,,,
Afghanistan,1971,165.1741494,156.3859504,1.056195579,,,,
Afghanistan,1972,165.2040674,156.345173,1.056662411,,,,
Afghanistan,1973,165.2338289,156.3003343,1.057155953,,,,
Afghanistan,1974,165.2631103,156.2527388,1.057665367,,,,
Afghanistan,1975,165.2911729,156.2019973,1.0581886,,,,
Afghanistan,1976,165.3169361,156.1482631,1.058717739,,,,
Afghanistan,1977,165.3389782,156.0917982,1.059241934,,,,
Afghanistan,1978,165.3567716,156.0330477,1.059754802,,,,
Afghanistan,1979,165.3707432,155.9732265,1.060250832,,,,
Afghanistan,1980,165.3812914,155.9140505,1.060720896,,,,
Afghanistan,1981,165.3896357,155.8564589,1.061166389,,,,
Afghanistan,1982,165.3959387,155.8011638,1.061583461,,,,
Afghanistan,1983,165.3993526,155.7485768,1.061963814,,,,
Afghanistan,1984,165.3999634,155.6977367,1.062314501,,,,
Afghanistan,1985,165.3971222,155.6478653,1.062636625,,,,
