Entity,Year,Deaths from Smallpox,Deaths from all causes,Smallpox death rate
United Kingdom,1629,72,8814,0.816882233
United Kingdom,1630,40,10471,0.382007449
United Kingdom,1631,58,8458,0.68574131
United Kingdom,1632,531,9539,5.566621239
United Kingdom,1633,72,8427,0.854396582
United Kingdom,1634,1354,10865,12.46203405
United Kingdom,1635,293,10641,2.753500611
United Kingdom,1636,127,23382,0.543152853
United Kingdom,1647,139,13784,1.008415554
United Kingdom,1648,400,9896,4.042037187
United Kingdom,1649,1190,10532,11.29889859
United Kingdom,1650,184,8681,2.119571478
United Kingdom,1651,525,10773,4.873294347
United Kingdom,1652,1279,12541,10.19854876
United Kingdom,1653,139,9082,1.53049989
United Kingdom,1654,812,13126,6.186195337
United Kingdom,1655,1294,11409,11.34192304
United Kingdom,1656,823,13752,5.984584061
United Kingdom,1657,835,12434,6.715457616
United Kingdom,1658,409,14993,2.727939705
United Kingdom,1659,1523,14756,10.32122526
United Kingdom,1660,354,15118,2.341579574
United Kingdom,1661,1246,19771,6.302159729
United Kingdom,1662,768,16554,4.639362088
United Kingdom,1663,411,15356,2.67647825
United Kingdom,1664,1233,18297,6.738809641
United Kingdom,1665,655,97306,0.673134236
United Kingdom,1666,38,12738,0.298319987
United Kingdom,1667,1196,15842,7.549551824
United Kingdom,1668,1987,17278,11.50017363
United Kingdom,1669,951,19432,4.893989296
United Kingdom,1670,1465,20198,7.253193385
United Kingdom,1671,696,15729,4.424947549
United Kingdom,1672,1116,18230,6.12177729
United Kingdom,1673,853,17504,4.873171846
United Kingdom,1674,2507,21201,11.82491392
United Kingdom,1675,997,17244,5.781721178
United Kingdom,1676,359,18732,1.916506513
United Kingdom,1677,1678,19067,8.800545445
United Kingdom,1678,1798,20678,8.695231647
United Kingdom,1679,1967,21730,9.052001841
United Kingdom,1680,698,21053,3.31544198
United Kingdom,1681,2982,23971,12.4400317
United Kingdom,1682,1408,20691,6.804891015
United Kingdom,1683,2096,20587,10.1811823
United Kingdom,1684,1560,23202,6.723558314
United Kingdom,1685,2496,23222,10.74842821
United Kingdom,1686,1062,22609,4.69724446
United Kingdom,1701,1095,20471,5.349030336
United Kingdom,1702,311,19481,1.596427288
United Kingdom,1703,898,20720,4.333976834
United Kingdom,1704,1501,22684,6.616998766
United Kingdom,1705,1095,22097,4.955423813
United Kingdom,1706,721,19847,3.63279085
United Kingdom,1707,1078,21600,4.990740741
United Kingdom,1708,1687,21291,7.923535766
United Kingdom,1709,1024,21800,4.697247706
United Kingdom,1710,3138,24620,12.74573517
United Kingdom,1711,915,19833,4.613522916
United Kingdom,1712,1943,21198,9.165959053
United Kingdom,1713,1614,21057,7.664909531
United Kingdom,1714,2810,26569,10.57623546
United Kingdom,1715,1057,22232,4.75440806
United Kingdom,1716,2427,24436,9.932067441
United Kingdom,1717,2211,23446,9.430179988
United Kingdom,1718,1884,26523,7.103268861
United Kingdom,1719,3229,28347,11.39097612
United Kingdom,1720,1440,25454,5.657264084
United Kingdom,1721,2375,26142,9.084997322
United Kingdom,1722,2167,25750,8.415533981
United Kingdom,1723,3271,29197,11.20320581
United Kingdom,1724,1227,25952,4.727959309
United Kingdom,1725,3188,25523,12.49069467
United Kingdom,1726,1519,29647,5.123621277
United Kingdom,1727,2379,28418,8.371454712
United Kingdom,1728,2105,27810,7.569219705
United Kingdom,1729,2849,29722,9.585492228
United Kingdom,1730,1914,26761,7.152199096
United Kingdom,1731,2640,25262,10.45047898
United Kingdom,1732,1197,23358,5.124582584
United Kingdom,1733,1370,29233,4.686484453
United Kingdom,1734,2688,26062,10.31386693
United Kingdom,1735,1594,23538,6.77202821
United Kingdom,1736,3014,27581,10.92781262
United Kingdom,1737,2084,27823,7.490205945
United Kingdom,1738,1590,25825,6.156824782
United Kingdom,1739,1690,25432,6.645171438
United Kingdom,1740,2725,30811,8.844243939
United Kingdom,1741,1977,32169,6.14566819
United Kingdom,1742,1429,27483,5.199577921
United Kingdom,1743,2029,25200,8.051587302
United Kingdom,1744,1633,20606,7.92487625
United Kingdom,1745,1206,21296,5.663035312
United Kingdom,1746,3236,28157,11.49270164
United Kingdom,1747,1380,25494,5.413038362
United Kingdom,1748,1789,23869,7.495077297
United Kingdom,1749,2625,25516,10.28766264
United Kingdom,1750,1229,23727,5.179753024
United Kingdom,1751,998,21028,4.746052882
United Kingdom,1752,3538,20485,17.27117403
United Kingdom,1753,774,19276,4.015355883
United Kingdom,1754,2359,22696,10.39390201
United Kingdom,1755,1988,21917,9.070584478
United Kingdom,1756,1608,20872,7.704101188
United Kingdom,1757,3296,21313,15.46473983
United Kingdom,1758,1273,17576,7.242831133
United Kingdom,1759,2596,19604,13.24219547
United Kingdom,1760,2187,19830,11.02874433
United Kingdom,1761,1525,21063,7.240184209
United Kingdom,1762,2743,26326,10.41935729
United Kingdom,1763,3582,26148,13.69894447
United Kingdom,1764,2382,23202,10.26635635
United Kingdom,1765,2498,23230,10.7533362
United Kingdom,1766,2334,23911,9.761197775
United Kingdom,1767,2188,22612,9.676278082
United Kingdom,1768,3028,23639,12.8093405
United Kingdom,1769,1968,21847,9.008101799
United Kingdom,1770,1986,22434,8.852634394
United Kingdom,1771,1660,21780,7.621671258
United Kingdom,1772,3992,26053,15.3226116
United Kingdom,1773,1039,21656,4.797746583
United Kingdom,1774,2479,20884,11.87033135
United Kingdom,1775,2669,20514,13.01062689
United Kingdom,1776,1728,19048,9.071818564
United Kingdom,1777,2567,23334,11.00111425
United Kingdom,1778,1425,20399,6.985636551
United Kingdom,1779,2493,20420,12.208619
United Kingdom,1780,871,20517,4.245260028
United Kingdom,1781,3500,20709,16.90086436
