Entity,Year,Defence spending as a percent of GDP (ukpublicspending.com)
United Kingdom,1692,5.33
United Kingdom,1693,7.23
United Kingdom,1694,7.17
United Kingdom,1695,7.48
United Kingdom,1696,6.15
United Kingdom,1697,9.13
United Kingdom,1698,3.69
United Kingdom,1699,3.73
United Kingdom,1700,1.94
United Kingdom,1701,2.45
United Kingdom,1702,5.24
United Kingdom,1703,5.71
United Kingdom,1704,6.08
United Kingdom,1705,6.35
United Kingdom,1706,7.58
United Kingdom,1707,8.67
United Kingdom,1708,8.17
United Kingdom,1709,9.73
United Kingdom,1710,10.96
United Kingdom,1711,19.56
United Kingdom,1712,7.29
United Kingdom,1713,4.29
United Kingdom,1714,3.02
United Kingdom,1715,3.33
United Kingdom,1716,4.58
United Kingdom,1717,2.21
United Kingdom,1718,3.95
United Kingdom,1719,3.82
United Kingdom,1720,3.3
United Kingdom,1721,2.23
United Kingdom,1722,4.08
United Kingdom,1723,2.62
United Kingdom,1724,2.25
United Kingdom,1725,2.07
United Kingdom,1726,2.53
United Kingdom,1727,3.03
United Kingdom,1728,4.35
United Kingdom,1729,3.3
United Kingdom,1730,3.31
United Kingdom,1731,3.2
United Kingdom,1732,2.52
United Kingdom,1733,1.97
United Kingdom,1734,4.07
United Kingdom,1735,3.76
United Kingdom,1736,3.73
United Kingdom,1737,2.55
United Kingdom,1738,2.25
United Kingdom,1739,2.94
United Kingdom,1740,4.32
United Kingdom,1741,10.24
United Kingdom,1742,7.54
United Kingdom,1743,7.93
United Kingdom,1744,8.36
United Kingdom,1745,7.68
United Kingdom,1746,8.55
United Kingdom,1747,9.55
United Kingdom,1748,10.45
United Kingdom,1749,10.98
United Kingdom,1750,7.88
United Kingdom,1751,3.13
United Kingdom,1752,3.87
United Kingdom,1753,2.71
United Kingdom,1754,2.74
United Kingdom,1755,4.35
United Kingdom,1756,6.89
United Kingdom,1757,9.14
United Kingdom,1758,11.35
United Kingdom,1759,14.29
United Kingdom,1760,16.56
United Kingdom,1761,19.09
United Kingdom,1762,17.92
United Kingdom,1763,13.64
United Kingdom,1764,5.05
United Kingdom,1765,6.55
United Kingdom,1766,4.65
United Kingdom,1767,3.54
United Kingdom,1768,2.97
United Kingdom,1769,2.95
United Kingdom,1770,3.5
United Kingdom,1771,3.35
United Kingdom,1772,3.86
United Kingdom,1773,2.98
United Kingdom,1774,3.06
United Kingdom,1775,2.94
United Kingdom,1776,5.66
United Kingdom,1777,6.46
United Kingdom,1778,7.66
United Kingdom,1779,8.44
United Kingdom,1780,9.75
United Kingdom,1781,10.86
United Kingdom,1782,12.61
United Kingdom,1783,8.13
United Kingdom,1784,8.17
United Kingdom,1785,8.86
United Kingdom,1786,3.09
United Kingdom,1787,2.22
United Kingdom,1788,2.48
United Kingdom,1789,2.2
United Kingdom,1790,2.51
United Kingdom,1791,2.82
United Kingdom,1792,2.61
United Kingdom,1793,3.59
United Kingdom,1794,7.33
United Kingdom,1795,11.26
United Kingdom,1796,11.61
United Kingdom,1797,17.02
United Kingdom,1798,11.44
United Kingdom,1799,10.69
United Kingdom,1800,12.81
United Kingdom,1801,11.68
United Kingdom,1802,14.35
United Kingdom,1803,9.87
United Kingdom,1804,8.65
United Kingdom,1805,12.46
United Kingdom,1806,14.12
United Kingdom,1807,13.77
United Kingdom,1808,13.92
United Kingdom,1809,14.27
United Kingdom,1810,15
United Kingdom,1811,14.51
United Kingdom,1812,16.18
United Kingdom,1813,17.8
United Kingdom,1814,22.52
United Kingdom,1815,22.1
United Kingdom,1816,17.28
United Kingdom,1817,8.72
United Kingdom,1818,5.62
United Kingdom,1819,4.94
United Kingdom,1820,5.28
United Kingdom,1821,5.28
United Kingdom,1822,5.05
United Kingdom,1823,4.39
United Kingdom,1824,3.98
United Kingdom,1825,4.04
United Kingdom,1826,3.82
United Kingdom,1827,4.06
United Kingdom,1828,3.8
United Kingdom,1829,3.34
United Kingdom,1830,3.22
United Kingdom,1831,2.96
United Kingdom,1832,3.22
United Kingdom,1833,3.15
United Kingdom,1834,2.66
United Kingdom,1835,2.48
United Kingdom,1836,2.25
United Kingdom,1837,2.36
United Kingdom,1838,2.42
United Kingdom,1839,2.25
