Entity,Year,Degree of urbanization (% of population)
Africa,2015,81.3
Asia,2015,89
Europe,2015,73.5
Latin America & the Caribbean,2015,81.7
North America,2015,73.3
Oceania,2015,76.6
World,2015,85
