Entity,Year,historical
Afghanistan,1970,0.76144552230835
Afghanistan,1980,0.761734962463379
Afghanistan,1990,0.757128596305847
Afghanistan,2000,0.768022298812866
Afghanistan,2001,0.768482267856598
Afghanistan,2002,0.768551170825958
Afghanistan,2003,0.766399741172791
Afghanistan,2004,0.766109645366669
Afghanistan,2005,0.766301929950714
Afghanistan,2006,0.76595538854599
Afghanistan,2007,0.765633046627045
Afghanistan,2008,0.765316307544708
Afghanistan,2009,0.764957010746002
Afghanistan,2010,0.764527857303619
Afghanistan,2011,0.76486337184906
Afghanistan,2012,0.765188217163086
Afghanistan,2013,0.765491127967834
Afghanistan,2014,0.765867471694946
Africa,1970,0.83535099029541
Africa,1980,0.83235365152359
Africa,1990,0.825630128383636
Africa,2000,0.820581436157227
Africa,2001,0.81960517168045
Africa,2002,0.818666160106659
Africa,2003,0.81712394952774
Africa,2004,0.816238284111023
Africa,2005,0.814661383628845
Africa,2006,0.813763201236725
Africa,2007,0.813255488872528
Africa,2008,0.812805235385895
Africa,2009,0.812250971794128
Africa,2010,0.811045229434967
Africa,2011,0.809727430343628
Africa,2012,0.80782687664032
Africa,2013,0.806933343410492
Africa,2014,0.805394232273102
Aland Islands,1970,0.927585184574127
Aland Islands,1980,0.928979754447937
Aland Islands,1990,0.932454764842987
Aland Islands,2000,0.934864163398743
Aland Islands,2001,0.934949219226837
Aland Islands,2002,0.934799790382385
Aland Islands,2003,0.934735298156738
Aland Islands,2004,0.934741318225861
Aland Islands,2005,0.93439769744873
Aland Islands,2006,0.933901369571686
Aland Islands,2007,0.934049189090729
Aland Islands,2008,0.934171915054321
Aland Islands,2009,0.934206426143646
Aland Islands,2010,0.934373140335083
Aland Islands,2011,0.934636056423187
Aland Islands,2012,0.93485814332962
Aland Islands,2013,0.934707880020142
Aland Islands,2014,0.93498969078064
Albania,1970,0.680191040039062
Albania,1980,0.688149094581604
Albania,1990,0.683088600635529
Albania,2000,0.682097554206848
Albania,2001,0.683235108852386
Albania,2002,0.683272421360016
Albania,2003,0.687380373477936
Albania,2004,0.686931729316711
Albania,2005,0.698164761066437
Albania,2006,0.684907674789429
Albania,2007,0.686226725578308
Albania,2008,0.67125940322876
Albania,2009,0.666119277477264
Albania,2010,0.666834890842438
Albania,2011,0.666962921619415
Albania,2012,0.666697204113007
Albania,2013,0.664706587791443
Albania,2014,0.664946794509888
Algeria,1970,0.9666428565979
Algeria,1980,0.963785886764526
Algeria,1990,0.971375465393066
Algeria,2000,0.967726290225983
Algeria,2001,0.967554569244385
Algeria,2002,0.967929482460022
Algeria,2003,0.967799544334412
Algeria,2004,0.965619921684265
Algeria,2005,0.96548193693161
Algeria,2006,0.965579211711884
Algeria,2007,0.965514779090881
Algeria,2008,0.965457260608673
Algeria,2009,0.965450406074524
Algeria,2010,0.965690016746521
Algeria,2011,0.965935528278351
Algeria,2012,0.966128945350647
Algeria,2013,0.966442704200745
Algeria,2014,0.966799318790436
Americas,1970,0.813556909561157
Americas,1980,0.806080162525177
Americas,1990,0.798329293727875
Americas,2000,0.791866898536682
Americas,2001,0.791534185409546
Americas,2002,0.791499614715576
Americas,2003,0.790923416614532
Americas,2004,0.790422260761261
Americas,2005,0.789973974227905
Americas,2006,0.78975373506546
Americas,2007,0.788540661334991
Americas,2008,0.787837505340576
Americas,2009,0.787700712680817
Americas,2010,0.786359310150146
Americas,2011,0.786003291606903
Americas,2012,0.784535825252533
Americas,2013,0.784341514110565
Americas,2014,0.782538831233978
Andorra,1970,0.774599611759186
Andorra,1980,0.778360188007355
Andorra,1990,0.787700593471527
Andorra,2000,0.836406230926514
Andorra,2001,0.838333606719971
Andorra,2002,0.834023177623749
Andorra,2003,0.834278762340546
Andorra,2004,0.835437715053558
Andorra,2005,0.836856126785278
Andorra,2006,0.836957454681396
Andorra,2007,0.836707949638367
Andorra,2008,0.833495914936066
Andorra,2009,0.832748651504517
Andorra,2010,0.827793538570404
Andorra,2011,0.827659666538239
Andorra,2012,0.829916536808014
Andorra,2013,0.827617645263672
Andorra,2014,0.827446937561035
Angola,1970,0.763442695140839
Angola,1980,0.765459656715393
Angola,1990,0.768150806427002
Angola,2000,0.77009642124176
Angola,2001,0.770614147186279
Angola,2002,0.770749807357788
Angola,2003,0.770360469818115
Angola,2004,0.770763099193573
Angola,2005,0.771156251430511
Angola,2006,0.771527767181396
Angola,2007,0.771466314792633
Angola,2008,0.771819889545441
Angola,2009,0.769520103931427
Angola,2010,0.7692911028862
Angola,2011,0.766962051391602
Angola,2012,0.766197025775909
Angola,2013,0.764369666576385
Angola,2014,0.763107120990753
Antigua and Barbuda,1970,0.985839247703552
Antigua and Barbuda,1980,0.981676280498505
Antigua and Barbuda,1990,0.971368670463562
Antigua and Barbuda,2000,0.978376030921936
Antigua and Barbuda,2001,0.978656232357025
Antigua and Barbuda,2002,0.978939652442932
Antigua and Barbuda,2003,0.979210555553436
Antigua and Barbuda,2004,0.979484140872955
Antigua and Barbuda,2005,0.979746103286743
Antigua and Barbuda,2006,0.980008840560913
Antigua and Barbuda,2007,0.980259001255035
Antigua and Barbuda,2008,0.980515778064728
Antigua and Barbuda,2009,0.980788171291351
Antigua and Barbuda,2010,0.995430171489716
Antigua and Barbuda,2011,0.995579302310944
Antigua and Barbuda,2012,0.995735883712769
Antigua and Barbuda,2013,1
Antigua and Barbuda,2014,1
Argentina,1970,0.772275805473328
Argentina,1980,0.77203232049942
Argentina,1990,0.771550297737122
Argentina,2000,0.762421190738678
Argentina,2001,0.761125147342682
Argentina,2002,0.759829640388489
Argentina,2003,0.757173478603363
Argentina,2004,0.752348959445953
Argentina,2005,0.750718176364899
Argentina,2006,0.743889570236206
Argentina,2007,0.738161981105804
Argentina,2008,0.73728358745575
Argentina,2009,0.737940013408661
Argentina,2010,0.725216865539551
Argentina,2011,0.723645925521851
Argentina,2012,0.72132420539856
Argentina,2013,0.715945065021515
Argentina,2014,0.711266756057739
Armenia,1970,0.78775030374527
Armenia,1980,0.78261536359787
Armenia,1990,0.778567969799042
Armenia,2000,0.772547900676727
Armenia,2001,0.771203100681305
Armenia,2002,0.758542835712433
Armenia,2003,0.748148918151855
Armenia,2004,0.737566649913788
Armenia,2005,0.719142436981201
Armenia,2006,0.69139564037323
Armenia,2007,0.69193708896637
Armenia,2008,0.692646980285645
Armenia,2009,0.690776467323303
Armenia,2010,0.693528115749359
Armenia,2011,0.698601543903351
Armenia,2012,0.700467467308044
Armenia,2013,0.702530384063721
Armenia,2014,0.70634537935257
Asia,1970,0.752678334712982
Asia,1980,0.735105454921722
Asia,1990,0.70112681388855
Asia,2000,0.692117691040039
Asia,2001,0.690173029899597
Asia,2002,0.689769387245178
Asia,2003,0.69121241569519
Asia,2004,0.68906706571579
Asia,2005,0.691572904586792
Asia,2006,0.691107928752899
Asia,2007,0.692519426345825
Asia,2008,0.692246675491333
Asia,2009,0.691240727901459
Asia,2010,0.687576472759247
Asia,2011,0.689458012580872
Asia,2012,0.689180910587311
Asia,2013,0.688535809516907
Asia,2014,0.688281893730164
Australia,1970,0.692850172519684
Australia,1980,0.687921702861786
Australia,1990,0.687524080276489
Australia,2000,0.686607480049133
Australia,2001,0.685608386993408
