Entity,Year,Fossil fuel and industry emissions (GtCO2),Land use emissions (GtCO2),Fossil fuel + land use emissions (GtCO2)
World,1750,0.009350528,0,0.009350528
World,1751,0.009350528,0,0.009350528
World,1752,0.009354192,0,0.009354192
World,1753,0.009354192,0,0.009354192
World,1754,0.009357856,0,0.009357856
World,1755,0.00936152,0,0.00936152
World,1756,0.010006384,0,0.010006384
World,1757,0.010010048,0,0.010010048
World,1758,0.010013712,0,0.010013712
World,1759,0.010017376,0,0.010017376
World,1760,0.010017376,0,0.010017376
World,1761,0.01097368,0,0.01097368
World,1762,0.010977344,0,0.010977344
World,1763,0.010981008,0,0.010981008
World,1764,0.010984672,0,0.010984672
World,1765,0.010988336,0,0.010988336
World,1766,0.012259744,0,0.012259744
World,1767,0.012263408,0,0.012263408
World,1768,0.012267072,0,0.012267072
World,1769,0.012270736,0,0.012270736
World,1770,0.0122744,0,0.0122744
World,1771,0.01361176,0,0.01361176
World,1772,0.013615424,0,0.013615424
World,1773,0.013619088,0,0.013619088
World,1774,0.013622752,0,0.013622752
World,1775,0.013626416,0,0.013626416
World,1776,0.015037056,0,0.015037056
World,1777,0.01504072,0,0.01504072
World,1778,0.015044384,0,0.015044384
World,1779,0.015048048,0,0.015048048
World,1780,0.015055376,0,0.015055376
World,1781,0.016843408,0,0.016843408
World,1782,0.016847072,0,0.016847072
World,1783,0.0168544,0,0.0168544
World,1784,0.016858064,0,0.016858064
World,1785,0.016869056,0,0.016869056
World,1786,0.019151728,0,0.019151728
World,1787,0.019159056,0,0.019159056
World,1788,0.01916272,0,0.01916272
World,1789,0.019170048,0,0.019170048
World,1790,0.019177376,0,0.019177376
World,1791,0.021419744,0,0.021419744
World,1792,0.021896064,0,0.021896064
World,1793,0.021914384,0,0.021914384
World,1794,0.021881408,0,0.021881408
World,1795,0.0218924,0,0.0218924
World,1796,0.022951296,0,0.022951296
World,1797,0.024094464,0,0.024094464
World,1798,0.025094736,0,0.025094736
World,1799,0.026428432,0,0.026428432
World,1800,0.028091888,0,0.028091888
World,1801,0.027959984,0,0.027959984
World,1802,0.036782896,0,0.036782896
World,1803,0.031488416,0,0.031488416
World,1804,0.034309696,0,0.034309696
World,1805,0.033419344,0,0.033419344
World,1806,0.03504616,0,0.03504616
World,1807,0.036874496,0,0.036874496
World,1808,0.03506448,0,0.03506448
World,1809,0.035090128,0,0.035090128
World,1810,0.037380128,0,0.037380128
World,1811,0.039582192,0,0.039582192
World,1812,0.041007488,0,0.041007488
World,1813,0.04122,0,0.04122
World,1814,0.042128672,0,0.042128672
World,1815,0.043488016,0,0.043488016
World,1816,0.047664976,0,0.047664976
World,1817,0.049431024,0,0.049431024
World,1818,0.049643536,0,0.049643536
World,1819,0.049947648,0,0.049947648
World,1820,0.050687776,0,0.050687776
World,1821,0.051435232,0,0.051435232
World,1822,0.053465088,0,0.053465088
World,1823,0.056550176,0,0.056550176
World,1824,0.058525072,0,0.058525072
World,1825,0.060756448,0,0.060756448
World,1826,0.061419632,0,0.061419632
World,1827,0.06591536,0,0.06591536
World,1828,0.066637168,0,0.066637168
World,1829,0.066395344,0,0.066395344
World,1830,0.089123136,0,0.089123136
World,1831,0.08452848,0,0.08452848
World,1832,0.085111056,0,0.085111056
World,1833,0.086807488,0,0.086807488
World,1834,0.0884856,0,0.0884856
World,1835,0.09044584,0,0.09044584
World,1836,0.104775744,0,0.104775744
World,1837,0.104691472,0,0.104691472
World,1838,0.108044032,0,0.108044032
World,1839,0.111612768,0,0.111612768
World,1840,0.118929776,0,0.118929776
World,1841,0.122619424,0,0.122619424
World,1842,0.12950408,0,0.12950408
World,1843,0.132852976,0,0.132852976
World,1844,0.141423072,0,0.141423072
World,1845,0.155210704,0,0.155210704
World,1846,0.157793824,0,0.157793824
World,1847,0.172402192,0,0.172402192
World,1848,0.173816496,0,0.173816496
World,1849,0.18351144,0,0.18351144
World,1850,0.196896032,2.537534418,2.73443045
World,1851,0.198804976,2.614940969,2.813745945
World,1852,0.207550944,2.654277661,2.861828605
World,1853,0.217209248,2.70309297,2.920302218
World,1854,0.255138976,2.73033437,2.985473346
World,1855,0.260165984,2.747093259,3.007259243
World,1856,0.27729152,2.775031046,3.052322566
World,1857,0.279889296,2.801692131,3.081581427
World,1858,0.28417185,2.8286487,3.11282055
World,1859,0.301312559,2.852295418,3.153607977
World,1860,0.330642191,2.724030209,3.0546724
World,1861,0.347735242,2.608695475,2.956430717
World,1862,0.354057462,2.601013372,2.955070834
World,1863,0.377859938,2.598782217,2.976642155
World,1864,0.407091108,2.566680834,2.973771942
World,1865,0.432307789,2.529964028,2.962271817
World,1866,0.445970599,2.519075782,2.965046381
World,1867,0.477814912,2.526745069,3.004559981
World,1868,0.490752496,2.514599524,3.00535202
World,1869,0.52113072,2.498653742,3.019784462
World,1870,0.532536752,2.691298993,3.223835745
World,1871,0.56614296,2.79990721,3.36605017
World,1872,0.626371792,2.849717714,3.476089506
World,1873,0.66541904,2.922509592,3.587928632
World,1874,0.622997248,2.972660085,3.595657333
World,1875,0.675799152,3.011730704,3.687529856
World,1876,0.68555272,3.042988839,3.728541559
World,1877,0.699098528,3.088690421,3.787788949
World,1878,0.704381729,3.130631868,3.835013597
World,1879,0.754869509,3.176767785,3.931637294
World,1880,0.853707188,3.221049609,4.074756797
World,1881,0.882407475,3.214180191,4.096587666
World,1882,0.93192471,3.281402295,4.213327005
World,1883,0.991035684,3.339392942,4.330428626
World,1884,1.002177745,3.354379731,4.356557476
World,1885,1.009674571,3.359022066,4.368696637
World,1886,1.025478884,3.387457493,4.412936377
World,1887,1.076761678,3.432583537,4.509345215
World,1888,1.19227607,3.442160867,4.634436937
World,1889,1.191804432,3.442989066,4.634793498
World,1890,1.298463581,3.578992101,4.877455682
World,1891,1.35887969,3.680594352,5.039474042
World,1892,1.370094534,3.722227277,5.092321811
World,1893,1.353675035,3.780933702,5.134608737
World,1894,1.400864597,3.815629453,5.21649405
World,1895,1.485281339,3.845596662,5.330878001
World,1896,1.533711001,3.881614492,5.415325493
World,1897,1.60631064,3.922051659,5.528362299
World,1898,1.694277167,3.961459815,5.655736982
World,1899,1.850905966,3.995635357,5.846541323
World,1900,1.952224654,4.107186975,6.059411629
World,1901,2.016760928,4.166763405,6.183524333
World,1902,2.067797613,4.228741359,6.296538972
World,1903,2.25607725,4.257069589,6.513146839
World,1904,2.281857535,4.314983942,6.596841477
World,1905,2.429631367,4.337628807,6.767260174
World,1906,2.551869513,4.356429035,6.908298548
World,1907,2.885281242,4.379201686,7.264482928
World,1908,2.776431591,4.408244325,7.184675916
World,1909,2.887083061,4.447997683,7.335080744
World,1910,3.027588864,4.457601,7.485189864
World,1911,3.082462274,4.446581793,7.529044067
World,1912,3.228332151,4.390409048,7.618741199
World,1913,3.492411249,4.397685524,7.890096773
World,1914,3.168341359,4.39039919,7.558740549
World,1915,3.125088543,4.342397311,7.467485854
World,1916,3.373154069,4.295771203,7.668925272
World,1917,3.527725678,4.298310401,7.826036079
World,1918,3.479185579,4.319613752,7.798799331
World,1919,3.014874203,4.302780461,7.317654664
World,1920,3.507597636,4.425251596,7.932849232
World,1921,3.076038222,4.526540444,7.602578666
World,1922,3.226445037,4.568535923,7.79498096
World,1923,3.661080742,4.591485987,8.252566729
World,1924,3.672399351,4.604174581,8.276573932
World,1925,3.712867713,4.66059652,8.373464233
World,1926,3.645190242,4.656208777,8.301399019
World,1927,3.981432883,4.648239182,8.629672065
World,1928,3.962552527,4.659203862,8.621756389
World,1929,4.255150726,4.661702221,8.916852947
World,1930,3.923058343,4.7654911,8.688549443
World,1931,3.505272053,4.861889868,8.367161921
World,1932,3.159133411,4.90598993,8.065123341
World,1933,3.326453782,4.957102676,8.283556458
World,1934,3.617657544,5.0142555,8.631913044
World,1935,3.796088336,5.004215076,8.800303412
World,1936,4.170573685,5.027956474,9.198530159
World,1937,4.458901333,5.03266901,9.491570343
World,1938,4.195242758,5.067149653,9.262392411
World,1939,4.438143987,5.0730832,9.511227187
World,1940,4.849926545,5.258443588,10.10837013
World,1941,4.959186226,5.352161456,10.31134768
World,1942,4.939724859,5.356855403,10.29658026
World,1943,5.02325064,5.343944495,10.36719514
World,1944,5.105436673,5.325220029,10.4306567
World,1945,4.244738093,5.291821408,9.536559501
World,1946,4.633477283,5.261854234,9.895331517
World,1947,5.130185429,5.226998156,10.35718359
