Entity,Year,Malaria Deaths by World Region (WHO (2016))
Africa,2000,764000
Africa,2005,670000
Africa,2010,499000
Africa,2015,395000
Americas,2000,1600
Americas,2005,1200
Americas,2010,1100
Americas,2015,500
Eastern Mediterranean,2000,15000
Eastern Mediterranean,2005,15000
Eastern Mediterranean,2010,7000
Eastern Mediterranean,2015,7300
Europe,2000,0
Europe,2005,0
Europe,2010,0
Europe,2015,0
South-East Asia,2000,51000
South-East Asia,2005,48000
South-East Asia,2010,44000
South-East Asia,2015,32000
Western Pacific,2000,8100
Western Pacific,2005,4200
Western Pacific,2010,3500
Western Pacific,2015,3200
