Entity,Year,Deep Seafloor,Nearshore Seafloor,Nearshore Waters,Offshore Waters,River Waters,Riverbed,Shoreline
Cans (beverage),2021,10.2,4.5,,,,,
Cans (food),2021,,,,,,4.0,
"Clothing (clothes, shoes)",2021,2.2,2.8,,,,,3.9
Cotton buds & lollysticks,2021,,,,,0.7,,
Cups & cup lids,2021,,,4.0,1.2,1.1,,
Fishing net,2021,2.3,2.6,2.4,4.4,,,
Fishing related,2021,7.2,9.6,1.7,24.4,,7.7,
Food containers & cutlery,2021,7.0,5.4,,,35.8,,15.4
Glass bottles,2021,2.8,5.2,,,,11.1,3.8
Household battery,2021,,,,,,6.1,
Other bottles & containers,2021,,,,7.1,2.1,,
Paper bags,2021,,,,,,,4.7
Plastic bags,2021,18.4,12.1,22.5,1.6,22.8,4.4,16.2
Plastic bottles,2021,22.6,11.7,11.1,8.7,6.2,9.7,12.9
Plastic caps and lids,2021,,2.9,4.7,10.6,4.5,13.2,6.0
Plastic tobacco packaging,2021,,,,,,,3.7
"Rope, string & nets (fabric)",2021,,,,,,7.1,
Strapping bands & industrial packaging,2021,6.5,,,2.8,8.2,,
Straws & stirrers,2021,,,4.1,,4.8,,6.2
Synthetic rope,2021,6.8,,3.7,31.8,,4.3,5.9
Tyres & belts,2021,,,,,,4.3,
Wood (processed),2021,,,2.4,,,,
Wrappers,2021,,11.8,39.0,1.4,10.1,,
