Entity,Year,Coal (%),Solar (%),Crude oil (%),Natural gas (%),Other renewables (%),Hydropower (%),Nuclear (%),Wind (%)
World,1965,38.94237882,0,43.5298609,15.20465937,0.043362398,2.217566298,0.06217221,0
World,1966,37.38449198,0,44.50388265,15.72950377,0.045336563,2.25763889,0.079146154,0
World,1967,35.43773007,0,45.93145454,16.26779969,0.044071353,2.225432979,0.093511367,0
World,1968,33.90970581,0,47.00705473,16.72655667,0.045981876,2.201518908,0.109182006,0
World,1969,32.73175661,0,47.72813691,17.18795693,0.045243929,2.183497624,0.123408,0
World,1970,31.25040651,0,48.80188775,17.60618715,0.047050106,2.150888085,0.143580402,0
World,1971,29.85013292,0,49.65988278,18.09874979,0.049036274,2.14871248,0.19348576,0
World,1972,28.66178222,0,50.76928122,18.1347191,0.049897315,2.132309116,0.252011022,0
World,1973,27.89775718,0,51.73666008,17.95437463,0.050647332,2.040660998,0.319899783,0
World,1974,27.9179613,0,50.9807618,18.39216647,0.053599703,2.239786204,0.415724526,0
World,1975,28.39553839,0,50.35009321,18.35791794,0.054303518,2.268366065,0.573780878,0
World,1976,27.88845228,0,50.8346384,18.43099909,0.057394711,2.141769833,0.646745684,0
World,1977,27.7769474,0,50.84992862,18.41584816,0.058556077,2.125785458,0.772934289,0
World,1978,27.26806981,0,50.94937379,18.62787216,0.06021756,2.226519086,0.867947596,0
World,1979,27.59190006,0,50.08016277,19.13854751,0.062570243,2.259967385,0.866852028,0
World,1980,28.54692139,0,48.59850968,19.4883891,0.067595138,2.324934587,0.973650106,0
World,1981,29.21593263,0,47.28535711,19.88716095,0.073430159,2.38331682,1.154802332,0
World,1982,29.77880522,0,46.20214902,20.15483278,0.085462168,2.502267221,1.276483596,0
World,1983,30.31483847,0,45.36363386,20.22729225,0.093554196,2.584810958,1.415870269,0
World,1984,30.29260047,0,44.45142683,20.96002476,0.100120432,2.55679098,1.639036522,0
World,1985,30.84333374,0,43.59867091,20.98229247,0.100365571,2.554012846,1.921241597,0.00
World,1986,30.56837618,0,44.01323011,20.75736566,0.10817599,2.536586684,2.01608988,0.000175489
World,1987,30.72932759,0,43.42308738,21.12876126,0.111994903,2.486346257,2.120243848,0.000238766
World,1988,30.5325715,0,43.32339074,21.32626439,0.111187172,2.475526411,2.230668756,0.000391039
World,1989,30.22085739,0,43.15301184,21.84379164,0.120220133,2.411170186,2.247886772,0.003062033
World,1990,29.58845085,0,43.2013768,22.30837341,0.133327011,2.473971495,2.290341976,0.004158464
World,1991,29.13160675,0.000575788,43.03756222,22.77585256,0.138370035,2.522218171,2.389156978,0.004657501
World,1992,28.8099333,0.000529883,43.44592693,22.70179549,0.147386257,2.500637059,2.388439045,0.005352036
World,1993,28.83797352,0.000627624,43.04056048,22.85658998,0.151858323,2.642746271,2.463220801,0.006423003
World,1994,28.62345392,0.000667554,43.41058291,22.70035419,0.155523751,2.625078972,2.476414665,0.007924046
World,1995,28.26743445,0.000700324,43.22471319,23.08110982,0.1591018,2.719868898,2.538043195,0.009028325
World,1996,28.13997289,0.000748465,42.95892098,23.49933979,0.158854449,2.67800305,2.554392128,0.009768242
World,1997,27.85609013,0.000793887,43.58886643,23.16859414,0.168872442,2.696071157,2.508102924,0.012608898
World,1998,27.50319081,0.000918752,43.59348621,23.46842262,0.175815218,2.703741522,2.537814588,0.016610275
World,1999,27.18807082,0.000991172,43.62575944,23.71402399,0.181786087,2.676793444,2.590802914,0.021772136
World,2000,27.42691344,0.001178923,43.07469157,24.04002384,0.185427483,2.657178616,2.583139839,0.031446298
World,2001,27.54512762,0.001447875,42.94415433,24.09945413,0.188919716,2.558255686,2.624671355,0.037969287
World,2002,27.97669913,0.001770498,42.34364542,24.27519221,0.198875766,2.54646088,2.606760349,0.050595754
World,2003,29.25200729,0.002164814,41.63811092,23.94872564,0.201858618,2.443675669,2.454984864,0.058472182
World,2004,29.83706627,0.00270802,41.22679848,23.71639024,0.207772612,2.489555461,2.444251655,0.07545727
World,2005,30.91803583,0.003637699,40.3313476,23.57191649,0.217761337,2.497881149,2.370320936,0.089098961
World,2006,31.56988372,0.004836357,39.67633671,23.56329827,0.225897285,2.518876535,2.330434794,0.110436341
World,2007,32.24539517,0.006317418,38.93467463,23.76018782,0.236393171,2.473832952,2.206096105,0.137102741
World,2008,32.35425198,0.01010987,38.34477866,24.09639513,0.249826312,2.593573742,2.175777612,0.175286687
World,2009,32.44004238,0.017068418,38.37484034,23.85394805,0.273688877,2.632859331,2.184266801,0.223285801
World,2010,32.35590359,0.026103313,37.77030178,24.50579277,0.291699772,2.651193704,2.135448463,0.263556607
World,2011,33.0768777,0.049079776,37.22103193,24.39275538,0.299132375,2.636599151,1.995776639,0.328747054
World,2012,32.76996005,0.074945509,37.1781178,24.70617113,0.319580326,2.726247396,1.836001172,0.388976613
World,2013,32.83524664,0.101562739,37.03186545,24.62657191,0.338908976,2.774157937,1.820028535,0.471657817
World,2014,32.58217628,0.143388834,37.07460696,24.65368226,0.365878859,2.82026157,1.843233067,0.516772172
World,2015,31.57421864,0.187487357,37.53504734,25.05199461,0.388095059,2.806052592,1.857283537,0.599820865
World,2016,30.71234248,0.23385084,37.76716762,25.46830484,0.396887697,2.875956684,1.86180795,0.683681889
World,2017,30.41137444,0.310173299,37.66793788,25.72100754,0.410770626,2.845030587,1.846919956,0.786785672
