Entity,Year,Small microplastic count (0.33-1mm),Large microplastic count (1.01-4.75mm),Mesoplastic count (4.76-200mm),Macroplastic count (>200mm),All sizes (total count)
Global ocean (total),2013,1834000000000,3023000000000,381000000000,8900000000,5246900000000
Indian Ocean,2013,455000000000,749000000000,92000000000,2000000000,1298000000000
Mediterranean Sea,2013,85000000000,146000000000,16000000000,400000000,247400000000
North Atlantic,2013,324000000000,532000000000,73000000000,2000000000,931000000000
North Pacific,2013,688000000000,1160000000000,132000000000,3000000000,1983000000000
South Atlantic,2013,106000000000,167000000000,24000000000,500000000,297500000000
South Pacific,2013,176000000000,269000000000,44000000000,1000000000,490000000000
