Entity,Year,Country in Transition or No Data (OWID (2016)),Population in Colony (OWID (2016)),Population in Autocracy (OWID (2016)),Population in Closed Anocracy (OWID (2016)),Population in Open Anocracy (OWID (2016)),Population in Democracy (OWID (2016))
World,1929,154729280,655553240,140967495,636573467,110213964,346940607
World,1930,161346112,663405452,164065273,613610689,117640750,349931727
World,1931,166552480,671554970,164037784,623538360,97266080,372574682
World,1932,171757152,680446977,201260268,594301120,98753284,374787693
World,1933,176885088,689480073,270267824,600322712,106006816,304100790
World,1934,182567696,698675145,257928496,623444056,106636484,303245271
World,1935,187077760,695076180,291071778,579572862,139459629,305038181
World,1936,206034880,704124961,304136488,569015706,137974830,299848753
World,1937,208218736,713402266,283622649,582191230,154791799,301450761
World,1938,208636016,722829622,295926337,576992223,156864823,303325186
World,1939,214661456,732420771,293032886,606697681,165074588,271581418
World,1940,228476992,742162520,338792567,608946170,166132739,215489007
World,1941,239599200,772157197,312600843,624781121,147849928,217066873
World,1942,268480256,713389493,315700892,659789122,150183706,218997064
World,1943,261717408,721236713,280335973,714908389,138870091,221575393
World,1944,256689712,711593163,241031738,740418823,158693257,243153472
World,1945,320453984,703711613,134412529,770940635,175024447,262049824
World,1946,316842752,712662682,143218727,633083570,200800062,378355799
World,1947,338780352,319059172,176531742,639248899,206329162,728074977
World,1948,305633344,315739534,186268754,636689606,229797793,763054211
World,1949,307821280,319776734,743787529,97291779,239599947,765677302
World,1950,304554240,324320943,744272961,182740175,176068326,793192527
World,1951,305695552,330674034,775585645,178303930,176987073,804621158
World,1952,223424352,337258879,836070409,164193606,152750226,904243003
World,1953,227218400,337653536,851707435,172422809,156768838,918257906
World,1954,227497904,344662788,898184848,146484819,181277225,912570170
World,1955,229497456,351975834,890254793,170824173,189019281,926742962
World,1956,245193856,336890937,873985655,198581042,161006892,991587699
World,1957,243492144,330673866,890737622,197613880,163537352,1031608112
World,1958,250352304,334443871,987828997,170161199,144188134,1022676956
World,1959,246448864,341839087,1002408397,171801354,156923735,1043794690
World,1960,244025808,244880038,1063352251,177501169,125918263,1162666403
World,1961,244590928,234924575,1120941228,190081052,199070865,1085464630
World,1962,249812768,218604595,1135832067,193464680,241778877,1094061449
World,1963,257667888,214464551,1127020488,196723709,291088364,1107110387
World,1964,263668480,211712056,1158797350,276703072,211317128,1134790327
World,1965,271187520,211289451,1283486378,175125877,216132520,1165273471
World,1966,275019424,213397253,1499158714,59972438,216675867,1126461752
World,1967,283652064,211876949,1556794750,53200862,212677200,1143141395
World,1968,285043744,215309405,1583419772,78279480,207960672,1163953765
World,1969,287021440,219209827,1631045013,42357150,219662653,1208569504
World,1970,283476544,222789389,1665272238,120556846,162335356,1228057430
World,1971,353111840,158019643,1764595951,143706019,128839129,1209462089
World,1972,287673824,160281546,1887730323,87276395,112607592,1298025201
World,1973,290890496,161919972,1885042342,84131232,51211085,1436526971
World,1974,292895456,164179961,1772963068,267545643,96790584,1391359180
World,1975,295003360,145981346,1907467630,188451537,99977267,1424518165
World,1976,297735904,147642025,2024458623,149347227,85459876,1431898303
World,1977,249114304,148978051,2085882595,249926412,93804056,1383616957
World,1978,251141536,150523239,1923558370,408786691,103450517,1448822136
World,1979,286426816,152063726,1895671500,341272038,122779113,1563976120
World,1980,276224928,153622353,1935444093,393847483,117186989,1563306543
World,1981,278391488,155045401,1930002023,457184013,120134375,1577844954
World,1982,280363136,156613981,2094416526,330645402,139636865,1597327226
World,1983,282582656,158198717,2107299228,290412350,142895541,1699821891
World,1984,285428960,159817436,2236282007,294243255,141290858,1648595085
World,1985,289155360,161474510,2162818074,295697285,134044187,1809351009
World,1986,293844800,163182671,2071955895,355197293,200728734,1857146529
World,1987,299327648,164914595,2095477073,351003755,180482301,1942599438
World,1988,296424224,166585311,2114546107,286549133,141770443,2120757228
World,1989,289799488,168081650,1998377832,415522731,192326811,2154869288
World,1990,208947936,167907615,2005384651,383346090,243667299,2300414255
World,1991,210210224,18780352,1903786263,519728767,180846305,2564976917
World,1992,77050128,15628511,1865343321,514825065,277463859,2734804505
World,1993,75993384,0,1977895343,429145502,341895904,2745115305
World,1994,132805600,0,1972309459,295511662,407339248,2845350123
World,1995,135498304,0,1978175313,335240781,414278125,2871930422
World,1996,137513680,0,2044263296,297169763,402175283,2934270227
World,1997,138914400,0,2016405405,311634833,357718503,3069482118
World,1998,140073504,0,1700605067,647140906,375238340,3108825190
World,1999,141535984,0,1820644844,349678995,502042916,3235302507
World,2000,143659472,0,1832904138,348454565,366059037,3435545000
World,2001,170290896,0,1825059682,355433379,322461821,3531064744
World,2002,174109152,0,1732420274,476148455,316291697,3583332380
World,2003,205902544,0,1721199768,430219004,398336488,3605107120
World,2004,212094192,0,1804061318,406667776,339766209,3677252816
World,2005,215019440,0,1710572261,508028485,354859708,3731156069
World,2006,211803440,0,1695757213,587148870,366624842,3738885795
World,2007,219467296,0,1852339336,431369888,694181653,3484248995
World,2008,227608384,0,1866476835,374786970,731352624,3563508172
World,2009,236571744,0,1733346809,433159627,895685064,3547716117
World,2010,214496416,0,1743970400,429346882,782149319,3759761910
World,2011,223404096,0,1669571483,473350689,755008852,3892092080
World,2012,258480160,0,1679707351,438727280,804266753,3916319135
World,2013,268821088,0,1689364142,400758065,854319395,3968452243
World,2014,243861808,0,1698555299,541576022,933020422,3848772306
World,2015,303540608,0,1707286581,440167570,797185509,4101291986
