Entity,Year,Cumulative capacity,Unit cost
World,1976,0.3,106.0862215
World,1977,0.85,80.62552832
World,1978,1.8,56.22569738
World,1979,3.3,47.73879966
World,1980,6.5,35.00845309
World,1981,12.5,26.52155537
World,1982,20,22.27810651
World,1983,43,19.09551986
World,1984,67,16.97379544
World,1985,90,14.85207101
World,1986,120,11.13905325
World,1987,150,8.486897718
World,1988,175,7.532121724
World,1989,220,8.168639053
World,1990,270,8.805156382
World,1991,330,7.95646661
World,1992,400,7.21386306
World,1993,450,7.107776839
World,1994,500,6.365173288
World,1995,575,5.834742181
World,1996,700,6.046914624
World,1997,800,6.365173288
World,1998,975,5.728655959
World,1999,1250,5.092138631
World,2000,1500,4.879966188
World,2001,1750,4.773879966
World,2002,2300,4.031276416
World,2003,3000,3.978233305
World,2004,4300,4.137362637
World,2005,6000,4.243448859
World,2006,8500,4.455621302
World,2007,10300,4.137362637
World,2008,20000,3.447802198
World,2009,30000,2.386939983
World,2010,40279,2.04475
World,2011,72034,1.67725
World,2012,101518,0.876416667
World,2013,135754,0.696333333
World,2014,171589,0.6415
World,2015,217341,0.5965
World,2016,291079,0.5505
World,2017,383596,0.462166667
World,2018,480984,0.4115
World,2019,578553,0.37725
