Entity,Year,"Household expenditure on Housing, water, electricity, gas and other fuels as a share of GDP"
Australia,1959,6.22291766971594
Australia,1960,6.6549115522439
Australia,1961,7.25126475548061
Australia,1962,7.34598388354562
Australia,1963,7.25039992472005
Australia,1964,7.17796171753751
Australia,1965,7.41971207087486
Australia,1966,7.35099337748344
Australia,1967,7.54297062247483
Australia,1968,7.49244344029555
Australia,1969,7.44363754606547
Australia,1970,7.77309883576913
Australia,1971,8.0081720623232
Australia,1972,8.09476008833568
Australia,1973,7.72875627495485
Australia,1974,8.06603310077628
Australia,1975,8.51326860064573
Australia,1976,8.90129656778648
Australia,1977,9.54820280885503
Australia,1978,9.76869166750901
Australia,1979,9.87613959743511
Australia,1980,10.0793562234577
Australia,1981,10.1452818923606
Australia,1982,10.846999440332
Australia,1983,10.5643554166706
Australia,1984,10.5253095991673
Australia,1985,10.6608051082945
Australia,1986,10.8397889104753
Australia,1987,10.7972570010656
Australia,1988,10.8348308038711
Australia,1989,11.073603258076
Australia,1990,11.7464274005361
Australia,1991,12.1305872787778
Australia,1992,12.0079551520421
Australia,1993,11.8542297043621
Australia,1994,11.6332810401636
Australia,1995,11.4899762888103
Australia,1996,11.481187341412
Australia,1997,11.5179978813019
Australia,1998,11.5306035240373
Australia,1999,11.4376420800443
Australia,2000,11.4857332505042
Australia,2001,11.4025399965264
Australia,2002,11.4948312025569
Australia,2003,11.4890266294558
Australia,2004,11.4890862787317
Australia,2005,11.4313097759
Australia,2006,11.354481392757
Australia,2007,11.4636464559552
Australia,2008,11.7590436021252
Australia,2009,12.2926258692864
Australia,2010,12.1306883558211
Australia,2011,12.301578303627
Australia,2012,12.7564347490443
Australia,2013,12.8611286619582
Australia,2014,13.1349452595186
Australia,2015,13.2510435609627
Australia,2016,12.9892004134854
Australia,2017,12.9758209641847
Austria,1976,7.05713137166494
Austria,1977,7.24125965293836
Austria,1978,7.68815620953182
Austria,1979,7.57457370778855
Austria,1980,8.16962911392798
Austria,1981,8.73320950930581
Austria,1982,9.56073834993878
Austria,1983,9.84506857587952
Austria,1984,10.2436536351912
Austria,1985,10.5635331804729
Austria,1986,10.2746450470893
Austria,1987,10.0859529921813
Austria,1988,9.92820676311701
Austria,1989,9.84015521411513
Austria,1990,9.85902866761846
Austria,1991,9.91504671277314
Austria,1992,10.0274711973988
Austria,1993,10.3105288204351
Austria,1994,10.5219693860224
Austria,1995,10.6350423280393
Austria,1996,11.0341353636363
Austria,1997,10.7726741407284
Austria,1998,10.6012174389574
Austria,1999,10.5949406084652
Austria,2000,10.567740213898
Austria,2001,10.6547826075127
Austria,2002,10.605755083463
Austria,2003,10.7238514205618
Austria,2004,10.8551411336494
