Entity,Year,Age-standardised diabetes prevalence (male),Age-standardised diabetes prevalence (female),Crude diabetes prevalence (male),Crude diabetes prevalence (female)
Afghanistan,1980,0.04471234,0.053746322,0.036917159,0.036917159
Afghanistan,1981,0.046114253,0.054995928,0.037609087,0.037609087
Afghanistan,1982,0.047601356,0.05630538,0.038284304,0.038284304
Afghanistan,1983,0.049172768,0.057679907,0.038954567,0.038954567
Afghanistan,1984,0.050833834,0.059114916,0.039641582,0.039641582
Afghanistan,1985,0.052549921,0.060612536,0.040379658,0.040379658
Afghanistan,1986,0.054325912,0.062165122,0.041178124,0.041178124
Afghanistan,1987,0.056199474,0.063861649,0.042114483,0.042114483
Afghanistan,1988,0.058111427,0.065617962,0.043175116,0.043175116
Afghanistan,1989,0.060041453,0.067386396,0.044385173,0.044385173
Afghanistan,1990,0.061930155,0.069083295,0.045713676,0.045713676
Afghanistan,1991,0.063769195,0.070699115,0.047151668,0.047151668
Afghanistan,1992,0.065539797,0.07221809,0.048622984,0.048622984
Afghanistan,1993,0.06723742,0.073641014,0.050038586,0.050038586
Afghanistan,1994,0.0688669,0.074996998,0.051353083,0.051353083
Afghanistan,1995,0.070673438,0.076552079,0.052745308,0.052745308
Afghanistan,1996,0.0725492,0.078162151,0.054121021,0.054121021
Afghanistan,1997,0.074561318,0.079880125,0.055539102,0.055539102
Afghanistan,1998,0.076624329,0.081623095,0.056934195,0.056934195
Afghanistan,1999,0.078784155,0.083476725,0.058366371,0.058366371
Afghanistan,2000,0.080977027,0.085407081,0.05980684,0.05980684
Afghanistan,2001,0.083088385,0.087346111,0.061191064,0.061191064
Afghanistan,2002,0.085514877,0.089619951,0.062778627,0.062778627
Afghanistan,2003,0.088024251,0.092028191,0.064461976,0.064461976
Afghanistan,2004,0.090480538,0.094449921,0.066206065,0.066206065
Afghanistan,2005,0.092908071,0.096939275,0.068086851,0.068086851
Afghanistan,2006,0.095287031,0.099472608,0.070101831,0.070101831
Afghanistan,2007,0.097726561,0.102118013,0.072282159,0.072282159
Afghanistan,2008,0.100123061,0.104794392,0.074522448,0.074522448
Afghanistan,2009,0.102692506,0.107656021,0.076880333,0.076880333
Afghanistan,2010,0.105222988,0.110515076,0.079166056,0.079166056
Afghanistan,2011,0.107696954,0.113348233,0.081355666,0.081355666
Afghanistan,2012,0.110350984,0.116397174,0.083654889,0.083654889
Afghanistan,2013,0.113026693,0.119457729,0.085913313,0.085913313
Afghanistan,2014,0.11565728,0.122499833,0.088120829,0.088120829
Albania,1980,0.041742591,0.056549316,0.046645035,0.046645035
Albania,1981,0.042293918,0.056529801,0.046397798,0.046397798
Albania,1982,0.042897898,0.056574047,0.046256621,0.046256621
