Entity,Year,Mortality from evacuation,Mortality from exposure in proximity,Mortality from low-level exposure,Total number of deaths,Direct fatalities
Chernobyl (lower),2050,,4000,30000,34031,31
Chernobyl (upper),2050,,4000,93000,97031,31
Fukushima (lower),2050,1600,0,0,1600,0
Fukushima (upper),2050,1600,400,0,2000,0
