Entity,Year,Manufacturing (WRAP (2015) & Europa (2015)),Retail & wholesale (WRAP (2015) & Europa (2015)),Catering & hospitality (WRAP (2015) & Europa (2015)),Household (WRAP (2015) & Europa (2015)),Production (WRAP (2015) & Europa (2015))
European Union,2012,16900000,4600000,10500000,46500000,9100000
United Kingdom,2012,3900000,200000,900000,7000000,3000000
