Entity,Year,Death rates from ambient PM in 1990 (IHME),Death rates from ambient PM in 2016 (IHME)
Afghanistan,2018,227.8152206,207.6554915
Albania,2018,55.93745524,38.91062468
Algeria,2018,74.23296217,47.73321713
American Samoa,2018,11.65851422,5.92167545
Andean Latin America,2018,61.51428837,30.62657098
Andorra,2018,23.54758428,14.53982816
Angola,2018,107.4255754,75.3130508
Antigua and Barbuda,2018,44.12657797,24.19632854
Argentina,2018,49.46171707,31.72279291
Armenia,2018,74.95115174,55.63426032
Australasia,2018,21.93836564,7.927479391
Australia,2018,21.85131159,7.926322065
Austria,2018,43.44633722,18.9673182
Azerbaijan,2018,114.4667418,89.31021231
Bahamas,2018,47.38745784,26.95182846
Bahrain,2018,138.438194,62.7120671
Bangladesh,2018,141.5446801,116.5229854
Barbados,2018,42.64229212,25.300211
Belarus,2018,97.91146729,67.26404079
Belgium,2018,46.12085523,22.07697316
Belize,2018,60.94777829,47.11660974
Benin,2018,125.6294132,122.9315735
Bermuda,2018,64.49529273,19.95421886
Bhutan,2018,120.1366221,80.44974928
Bolivia,2018,96.03188134,45.87262476
Bosnia and Herzegovina,2018,105.8064157,55.90147928
Botswana,2018,73.47418383,61.30340281
Brazil,2018,59.97393709,28.42237564
Brunei,2018,21.10867045,16.29680486
Bulgaria,2018,121.2033774,67.37817157
Burkina Faso,2018,128.1065347,123.2510523
Burundi,2018,160.3674197,96.83008197
Cambodia,2018,100.2333703,72.63816224
Cameroon,2018,138.5179034,147.8051434
Canada,2018,23.37617639,11.39743065
Cape Verde,2018,89.13942727,79.58468052
Caribbean,2018,62.58026431,38.30067611
Central African Republic,2018,149.1368753,152.2121586
Central Asia,2018,106.7183949,86.69653525
Central Europe,2018,100.8090319,46.30979249
Central Latin America,2018,47.14317001,29.1480019
Central Sub-Saharan Africa,2018,111.3691811,94.2554453
Chad,2018,123.983394,130.2306071
Chile,2018,50.30575565,22.96703707
China,2018,145.7094919,79.76825581
Colombia,2018,48.75735394,26.95710728
Comoros,2018,82.71075553,50.88285649
Congo,2018,147.6256476,92.92738223
Costa Rica,2018,38.09483014,18.64170763
Cote d'Ivoire,2018,106.9707171,127.2877489
Croatia,2018,71.79322976,41.33038305
Cuba,2018,55.88707469,31.86508714
Cyprus,2018,48.78701713,24.94970386
Czech Republic,2018,104.7468043,36.02318428
Democratic Republic of Congo,2018,105.0498678,96.24811621
Denmark,2018,42.33568287,17.1798229
Djibouti,2018,93.62883537,84.056001
Dominica,2018,46.77293652,30.59901867
Dominican Republic,2018,49.2689667,37.77974177
East Asia,2018,143.126046,79.003272
Eastern Europe,2018,90.17779826,63.42072686
Eastern Sub-Saharan Africa,2018,101.2871915,72.9764044
Ecuador,2018,40.76126684,18.48058253
Egypt,2018,142.2094469,120.7233677
El Salvador,2018,68.87887537,37.60235427
England,2018,49.26746283,19.61453557
Equatorial Guinea,2018,149.1055927,68.36956529
Eritrea,2018,137.5514063,92.87597764
Estonia,2018,63.12793485,15.01508603
Ethiopia,2018,129.6352034,86.18144704
Fiji,2018,41.63735773,30.01638079
Finland,2018,33.68805662,9.741916056
France,2018,24.99162342,11.99346939
Gabon,2018,101.3703977,70.53866552
Gambia,2018,113.5402247,109.3267007
Georgia,2018,86.78422009,60.81151049
Germany,2018,48.32492898,20.22380182
Ghana,2018,102.7866448,103.2551974
Greece,2018,38.82039009,23.38045083
Greenland,2018,53.7483267,10.4808844
Grenada,2018,63.59641612,45.57725214
Guam,2018,30.88485439,36.21821227
Guatemala,2018,81.15817314,43.05011705
Guinea,2018,100.0751722,112.9251981
Guinea-Bissau,2018,144.8933978,147.2021608
Guyana,2018,93.85632415,61.20058363
Haiti,2018,135.5297528,83.02360297
High-income Asia Pacific,2018,31.95564856,14.76191707
Honduras,2018,77.34399992,55.26539687
Hungary,2018,99.75939083,52.33969456
Iceland,2018,26.48816986,11.58919858
India,2018,150.3581552,123.8595433
Indonesia,2018,56.92415139,49.56311275
Iran,2018,80.11421951,60.56169456
Iraq,2018,123.3286809,120.9695219
Ireland,2018,47.50284604,16.86810601
Israel,2018,49.49516856,18.24439928
Italy,2018,35.11011535,16.48815411
Jamaica,2018,38.42897067,28.5304006
Japan,2018,26.45051831,12.5908631
Jordan,2018,72.17432101,48.51467899
Kazakhstan,2018,85.57402298,68.26888816
Kenya,2018,41.07296021,34.46269455
Kiribati,2018,18.67937053,12.85111848
Kuwait,2018,72.48571641,67.96924342
Kyrgyzstan,2018,91.77102575,75.26837967
Laos,2018,126.9100829,83.81368732
Latin America and Caribbean,2018,54.93884637,30.05799504
Latvia,2018,96.84895031,43.89503061
Lebanon,2018,78.642931,36.75901939
Lesotho,2018,84.44669508,101.4772515
Liberia,2018,44.94838529,56.58285809
Libya,2018,75.92978948,71.96213421
Lithuania,2018,85.74484832,44.98320254
Luxembourg,2018,49.73457022,19.44347667
Macedonia,2018,101.2495466,61.94108025
Madagascar,2018,87.69387845,77.93771736
Malawi,2018,84.95164675,63.72678681
Malaysia,2018,63.7585275,55.9357648
Maldives,2018,115.5793787,43.32795907
Mali,2018,114.3636979,89.72762307
Malta,2018,48.76187554,20.24632235
Marshall Islands,2018,46.97701447,40.8059838
Mauritania,2018,144.4887949,107.3738894
Mauritius,2018,88.68442827,32.91615036
Mexico,2018,38.84363751,25.75132572
Micronesia (country),2018,54.68119804,45.05408344
Moldova,2018,120.6360995,69.1804708
Mongolia,2018,89.70032221,89.63698768
Montenegro,2018,59.78979006,48.77260035
Morocco,2018,67.31121175,51.31749415
Mozambique,2018,80.40888964,51.11517112
Myanmar,2018,106.5840512,74.81996994
Namibia,2018,100.0047151,63.27406509
