Entity,Year,Sheltered Homeless (HUD (2016) and U.S. Census Bureau (2010)),Unsheltered Homeless (HUD (2016) and U.S. Census Bureau (2010))
United States,2007,129.93,84.94
United States,2008,127.05,83.34
United States,2009,131.47,73.97
United States,2010,130.45,75.49
United States,2011,125.88,74.27
United States,2012,124.25,73.69
United States,2013,124.82,61.88
United States,2014,125.89,55.06
United States,2015,121.98,53.99
United States,2016,115.61,54.58
