Entity,Year,Non-trading (CEPII (2016)),Unilateral trade partnerships (CEPII (2016)),Bilateral trade partnerships (CEPII (2016))
World,1950,8897,778,1452
World,1951,9130,791,1537
World,1952,9099,840,1735
World,1953,8981,881,1748
World,1954,8601,838,1770
World,1955,9185,902,1935
World,1956,8941,901,2009
World,1957,8622,911,1997
World,1958,7813,1097,2152
World,1959,8272,1016,2204
World,1960,8526,1269,2440
World,1961,8712,1260,2461
World,1962,7928,1296,2528
World,1963,8477,1424,2689
World,1964,8239,1577,2884
World,1965,7770,1706,3022
World,1966,7866,1742,3166
World,1967,7665,1622,3343
World,1968,7970,1587,3399
World,1969,6835,1990,4019
World,1970,6541,2118,4243
World,1971,6349,2194,4395
World,1972,6011,2364,4482
World,1973,5684,2486,4756
World,1974,5571,2478,4873
World,1975,5523,2378,4825
World,1976,5622,2368,4907
World,1977,5114,2556,4973
World,1978,5036,2439,5030
World,1979,4756,2491,5166
World,1980,4893,2538,5233
World,1981,5663,2745,5316
World,1982,5800,2697,5248
World,1983,5763,2683,5218
World,1984,5854,2640,5281
World,1985,5701,2710,5410
World,1986,5464,2772,5505
World,1987,6092,2684,5636
World,1988,5658,2710,5965
World,1989,5448,2598,6482
World,1990,5569,2467,6519
World,1991,5783,2303,6553
World,1992,6597,2685,7109
World,1993,7219,2796,7772
World,1994,6729,3104,8176
World,1995,6450,3209,8612
World,1996,6348,3185,8983
World,1997,5762,3053,8894
World,1998,5951,3187,8941
World,1999,5694,3093,9155
World,2000,5701,3259,9546
World,2001,5522,3225,9789
World,2002,5418,3200,9918
World,2003,5289,3155,10096
World,2004,5179,3248,10108
World,2005,5226,3197,10214
World,2006,4814,3082,10472
World,2007,4848,3117,10198
World,2008,4625,3137,10396
World,2009,4651,3115,10396
World,2010,4708,3005,10209
World,2011,4718,3002,10301
World,2012,4510,3014,10339
World,2013,4575,2950,10374
World,2014,4585,2985,10352
