Entity,Year,Public expenditure on health %GDP (OWID extrapolated series)
Afghanistan,2002,0.55072335
Afghanistan,2003,0.60790041
Afghanistan,2004,0.9694588
Afghanistan,2005,0.80191917
Afghanistan,2006,1.06242003
Afghanistan,2007,0.52213607
Afghanistan,2008,1.38558405
Afghanistan,2009,2.58612678
Afghanistan,2010,2.8553765
Afghanistan,2011,2.08009266
Afghanistan,2012,2.92056601
Afghanistan,2013,2.65039389
Afghanistan,2014,2.93283372
Albania,1995,1.71300446
Albania,1996,1.74619755
Albania,1997,2.0245094
Albania,1998,2.09512776
Albania,1999,2.51017142
Albania,2000,2.25841796
Albania,2001,2.29222402
Albania,2002,2.25632589
Albania,2003,2.25210415
Albania,2004,2.67940487
Albania,2005,2.70645544
Albania,2006,2.57513609
Albania,2007,2.6291711
Albania,2008,2.69389845
Albania,2009,2.83357574
Albania,2010,2.47656803
Albania,2011,2.84917086
Albania,2012,2.7357041
Albania,2013,2.83598424
Albania,2014,2.93637328
Algeria,1995,2.67359436
Algeria,1996,2.50218252
Algeria,1997,2.55336573
Algeria,1998,2.52798038
Algeria,1999,2.38333129
Algeria,2000,2.55856124
Algeria,2001,2.97171746
Algeria,2002,2.85227361
Algeria,2003,2.80223702
Algeria,2004,2.56624807
Algeria,2005,2.28023307
Algeria,2006,2.33485067
Algeria,2007,2.70557079
Algeria,2008,3.06280389
Algeria,2009,3.83796598
Algeria,2010,3.59320852
Algeria,2011,3.77572931
Algeria,2012,4.52025089
Algeria,2013,5.18835905
Algeria,2014,5.24414553
Andorra,1995,3.9826833
Andorra,1996,4.23564722
Andorra,1997,4.29707049
Andorra,1998,5.73758023
Andorra,1999,3.93346564
Andorra,2000,3.97654822
Andorra,2001,3.97976351
Andorra,2002,4.10958904
Andorra,2003,3.94617981
Andorra,2004,3.91626014
Andorra,2005,3.45970885
Andorra,2006,3.56612237
Andorra,2007,4.58632291
Andorra,2008,4.82507082
Andorra,2009,5.03753715
Andorra,2010,6.2420267
Andorra,2011,4.92628931
Andorra,2012,5.74703988
Andorra,2013,9.6923568
Andorra,2014,6.341446
Angola,1995,4.65911821
Angola,1996,1.73978177
Angola,1997,2.01921944
Angola,1998,1.41470539
Angola,1999,2.13179778
Angola,2000,1.67721647
Angola,2001,2.81240339
Angola,2002,1.68521754
Angola,2003,2.04436936
Angola,2004,2.40784052
Angola,2005,2.02464638
Angola,2006,3.02243534
Angola,2007,2.21376402
Angola,2008,2.71633445
Angola,2009,2.66391721
Angola,2010,2.06125466
Angola,2011,2.15509427
Angola,2012,2.1373165
Angola,2013,3.08040839
Angola,2014,2.1249122
Antigua and Barbuda,1995,2.74634456
Antigua and Barbuda,1996,2.50580046
Antigua and Barbuda,1997,2.5974026
Antigua and Barbuda,1998,2.67206478
Antigua and Barbuda,1999,2.74420005
Antigua and Barbuda,2000,2.78780548
Antigua and Barbuda,2001,2.94975995
Antigua and Barbuda,2002,2.95023144
Antigua and Barbuda,2003,2.95001301
Antigua and Barbuda,2004,2.67979353
Antigua and Barbuda,2005,2.95009859
Antigua and Barbuda,2006,2.95010588
Antigua and Barbuda,2007,2.95
Antigua and Barbuda,2008,3.34303139
Antigua and Barbuda,2009,3.34389959
Antigua and Barbuda,2010,3.89354714
Antigua and Barbuda,2011,3.89103956
Antigua and Barbuda,2012,3.65233263
Antigua and Barbuda,2013,3.59259739
Antigua and Barbuda,2014,3.78461068
Argentina,1995,4.96644308
Argentina,1996,4.63164122
Argentina,1997,4.5530443
Argentina,1998,4.62421172
Argentina,1999,5.15231569
Argentina,2000,4.96580358
Argentina,2001,5.06593399
Argentina,2002,4.45294005
Argentina,2003,4.25102319
Argentina,2004,3.52239676
Argentina,2005,3.66423385
Argentina,2006,3.65486893
Argentina,2007,3.78307484
Argentina,2008,4.12109735
Argentina,2009,5.0407858
Argentina,2010,4.16348234
Argentina,2011,3.74539251
Argentina,2012,2.95895087
Argentina,2013,2.73502201
Argentina,2014,2.6526738
Armenia,1995,1.99627256
Armenia,1996,1.62114807
Armenia,1997,1.40749616
Armenia,1998,1.64491307
Armenia,1999,1.61241488
Armenia,2000,1.137532
Armenia,2001,1.59147462
Armenia,2002,1.36133246
Armenia,2003,1.51657027
Armenia,2004,1.4044507
Armenia,2005,1.9050534
Armenia,2006,2.05288205
Armenia,2007,2.099285
Armenia,2008,1.76477031
Armenia,2009,2.01000538
Armenia,2010,1.92271406
Armenia,2011,1.93890354
Armenia,2012,1.87568154
Armenia,2013,1.946691
Armenia,2014,1.92567567
Australia,1880,0
Australia,1890,0
Australia,1900,0
Australia,1910,0.38
Australia,1920,0.57
Australia,1930,0.44
Australia,1960,2.001338603
Australia,1961,2.182184117
Australia,1962,2.333003924
Australia,1963,2.236619127
Australia,1964,2.243436431
Australia,1965,2.323214159
Australia,1966,2.274800656
Australia,1967,2.107658613
Australia,1968,2.285048743
Australia,1969,2.404582025
Australia,1970,2.733550536
Australia,1971,2.903859056
Australia,1972,2.879620353
Australia,1973,2.854861506
Australia,1974,3.254331978
Australia,1975,4.380131316
Australia,1976,3.988463001
Australia,1977,3.845007328
Australia,1978,3.837725314
Australia,1979,3.739002013
Australia,1980,3.818167906
Australia,1981,3.724125899
Australia,1982,3.746596113
Australia,1983,3.960375233
Australia,1984,4.480519078
Australia,1985,4.522234614
Australia,1986,4.587252595
Australia,1987,4.452847425
Australia,1988,4.300653336
Australia,1989,4.288690028
Australia,1990,4.45836095
Australia,1991,4.648629568
Australia,1992,4.679526113
Australia,1993,4.675156904
Australia,1994,4.686808126
Australia,1995,4.77523258
Australia,1996,4.85630803
Australia,1997,5.01647628
Australia,1998,5.08464781
Australia,1999,5.32692741
Australia,2000,5.39951167
Australia,2001,5.42099866
Australia,2002,5.62066015
Australia,2003,5.50612734
Australia,2004,5.72489889
Australia,2005,5.66144848
Australia,2006,5.66088659
Australia,2007,5.76587639
Australia,2008,5.92763101
Australia,2009,6.18655601
Australia,2010,6.12733425
