Entity,Year,Coal (%),Solar (%),Crude oil (%),Natural gas (%),Other renewables (%),Hydropower (%),Nuclear (%),Wind (%),Fossil fuels (%),Renewables (%),Low-carbon (%),Fossil fuels (Mtoe),Renewables (Mtoe),Nuclear (Mtoe),Low-carbon (Mtoe)
World,1965,37.52024069,0,41.94019234,14.64939987,0.109944328,5.622586616,0.157636161,0,94.10983289,5.732530945,5.890167106,3483.492716,212.1906838,5.834931403,218.0256152
World,1966,35.98585859,0,42.83889771,15.14102957,0.114843225,5.718883725,0.20048718,0,93.96578587,5.833726951,6.034214131,3666.890862,227.6535002,7.823747777,235.4772479
World,1967,34.12216808,0,44.2263319,15.66388689,0.111671798,5.638994164,0.236947173,0,94.01238686,5.750665962,5.987613135,3807.295134,232.889338,9.595839978,242.4851779
World,1968,32.65411775,0,45.26650596,16.10721585,0.11652444,5.578953681,0.276682318,0,94.02783956,5.695478121,5.972160439,4038.890962,244.6447267,11.88466861,256.5293953
World,1969,31.52203008,0,45.96416213,16.55271062,0.114662546,5.533679387,0.312755232,0,94.03890283,5.648341933,5.961097165,4316.128453,259.2434471,14.3546098,273.5980569
World,1970,30.10045695,0,47.00608041,16.95831631,0.119259897,5.451947117,0.363939326,0,94.06485366,5.571207014,5.935146339,4585.511358,271.5874425,17.74146077,289.3289033
World,1971,28.72926416,0,47.79516039,17.41914399,0.124197284,5.442180513,0.490053668,0,93.94356854,5.566377797,6.056431465,4771.681623,282.7333798,24.89132696,307.6247067
World,1972,27.56692912,0,48.82994246,17.4419899,0.126292853,5.396991881,0.637853784,0,93.83886148,5.523284734,6.161138518,5023.184125,295.6608356,34.14424421,329.8050798
World,1973,26.84178101,0,49.77834207,17.27477191,0.128237492,5.166891078,0.809976442,0,93.89489499,5.29512857,6.105105012,5315.751438,299.7776111,45.85588423,345.6334953
World,1974,26.7361877,0,48.82273465,17.61362192,0.135081092,5.644672497,1.047702139,0,93.17254427,5.77975359,6.827455729,5300.081998,328.7789144,59.59810684,388.3770212
World,1975,27.11417984,0,48.07802774,17.52951051,0.136455403,5.700013835,1.441812674,0,92.72171809,5.836469238,7.278281912,5302.015717,333.7411372,82.44577017,416.1869073
World,1976,26.65096096,0,48.57895841,17.61316233,0.144336688,5.386140284,1.626441333,0,92.84308169,5.530476972,7.156918305,5597.957221,333.4591327,98.06599307,431.5251258
World,1977,26.49839229,0,48.50933896,17.56817846,0.147002049,5.336676089,1.940412153,0,92.57590971,5.483678139,7.424090292,5780.116808,342.3817306,121.1525648,463.5342955
World,1978,25.93325499,0,48.45532197,17.71600858,0.150710043,5.572440741,2.17226368,0,92.10458554,5.723150784,7.895414464,5941.766882,369.2066751,140.1350901,509.3417652
World,1979,26.22710922,0,47.60302465,18.19188874,0.156513952,5.653109419,2.168354019,0,92.02202261,5.809623372,7.97797739,6142.270889,387.779789,144.7329388,532.5127278
World,1980,27.060697,0,46.06834926,18.47377464,0.168620963,5.799717516,2.428840625,0,91.6028209,5.968338479,8.397179104,6070.608554,395.5276297,160.9616443,556.489274
World,1981,27.59017395,0,44.65410174,18.78051394,0.182484322,5.922879071,2.869846973,0,91.02478963,6.105363393,8.975210366,5999.446703,402.4046903,189.1517029,591.5563932
World,1982,28.01267114,0,43.46197226,18.95948136,0.211561951,6.194372867,3.159940427,0,90.43412476,6.405934818,9.565875245,5935.967655,420.4764737,207.4140068,627.8904805
World,1983,28.41659079,0,42.52306412,18.96070425,0.230779054,6.37619961,3.492662172,0,89.90035916,6.606978664,10.09964084,5995.496527,440.6224625,232.9272555,673.549718
World,1984,28.30841333,0,41.53982638,19.58712805,0.24621703,6.287682449,4.030732764,0,89.43536776,6.533899479,10.56463224,6247.325914,456.4122736,281.5586482,737.9709218
World,1985,28.70071022,0,40.56996013,19.52469539,0.245772051,6.254186264,4.704675946,0,88.79536574,6.499958315,11.20463426,6359.613505,465.5335595,336.9536285,802.4871881
World,1986,28.40811689,0,40.90282645,19.29044797,0.264555843,6.203491459,4.930561385,0,88.60139131,6.468047302,11.39860869,6485.265413,473.4350424,360.8972584,834.3323009
World,1987,28.53273361,0,40.31911799,19.61843502,0.273656007,6.075308522,5.180748855,0,88.47028662,6.34896453,11.52971338,6703.903349,481.0976227,392.5751902,873.6728129
World,1988,28.30744297,0,40.16610303,19.77206581,0.271274109,6.039781476,5.442378547,0.000954055,88.24561181,6.31200964,11.75438819,6939.758942,496.3853096,427.9962982,924.3816078
World,1989,28.03326443,0.000739699,40.02930083,20.26258816,0.293467829,5.885876705,5.487287653,0.00747469,88.32515342,6.187558923,11.67484658,7084.956579,496.3318443,440.1599459,936.4917902
World,1990,27.39700756,0.001083181,40.0017038,20.65612282,0.324874367,6.028260298,5.580815152,0.010132818,88.05483418,6.364350665,11.94516582,7142.689386,516.2530866,452.6955223,968.9486089
World,1991,26.91201255,0.001399783,39.75844604,21.04051573,0.336387765,6.131698492,5.808216913,0.011322728,87.71097432,6.480808768,12.28902568,7163.297898,529.2834128,474.353276,1003.636689
World,1992,26.61991729,0.001288429,40.14334116,20.97609571,0.358375112,6.08039111,5.807577507,0.013013674,87.73935417,6.453068325,12.26064583,7220.830859,531.0788453,477.955819,1009.034664
World,1993,26.55673391,0.001520988,39.63581946,21.04851015,0.368014496,6.404449353,5.969386103,0.01556555,87.24106351,6.789550386,12.75893649,7225.747118,562.3449803,494.4148168,1056.759797
World,1994,26.35889368,0.001617736,39.97613086,20.90440323,0.376893169,6.36156424,6.001294111,0.019202975,87.23942777,6.75927812,12.76057223,7322.167398,567.3187818,503.6997743,1071.018556
World,1995,25.9681713,0.001693052,39.70883027,21.20370049,0.384632936,6.575357161,6.13578857,0.021826221,86.88070206,6.98350937,13.11929794,7441.536718,598.1540223,525.5447396,1123.698762
World,1996,25.86075866,0.001810113,39.47943703,21.59599646,0.38417878,6.476569902,6.177625218,0.023623836,86.93619215,6.886182631,13.06380785,7664.649667,607.1139776,544.6446629,1151.758641
World,1997,25.60574997,0.001920402,40.06756189,21.29693097,0.40850044,6.52176424,6.067071308,0.030500775,86.97024284,6.962685857,13.02975716,7753.778605,620.7539828,540.9060176,1161.66
World,1998,25.26300195,0.002220837,40.04271121,21.55687354,0.424986115,6.535569656,6.134485815,0.040150883,86.86258669,7.002927491,13.13741331,7790.73226,628.0947321,550.2039296,1178.298662
World,1999,24.95961687,0.002394555,40.05000019,21.7703182,0.439173945,6.46682019,6.259077115,0.052598936,86.77993526,6.960987626,13.22006474,7920.072135,635.3026649,571.2419824,1206.544647
World,2000,25.18407894,0.002848728,39.55226077,22.07415207,0.448063579,6.420757803,6.241851857,0.075986258,86.81049178,6.947656367,13.18950822,8122.309364,650.0483203,584.0106506,1234.058971
World,2001,25.31048879,0.003501091,39.4602469,22.14435061,0.456824547,6.186088015,6.346686963,0.091813086,86.9150863,6.738226739,13.0849137,8223.497214,637.5393637,600.4937092,1238.033073
World,2002,25.7096697,0.004281657,38.91242253,22.30810614,0.480948189,6.158195002,6.304019308,0.122357473,86.93019837,6.765782321,13.06980163,8412.839328,654.7717669,610.0837517,1264.855519
World,2003,26.9800612,0.005254412,38.40416043,22.08867505,0.489949092,5.931263601,5.958713157,0.141923059,87.47289668,6.568390164,12.52710332,8774.545919,658.885704,597.72803,1256.613734
World,2004,27.49543764,0.006567088,37.99129769,21.85511548,0.503859231,6.037299583,5.927435532,0.182987746,87.34185082,6.730713649,12.65814918,9192.81568,708.4142297,623.868418,1332.282648
World,2005,28.50916582,0.008827053,37.18907253,21.73539353,0.528408496,6.061230333,5.751699258,0.216202971,87.43363189,6.814668853,12.56636811,9524.657241,742.3617622,626.5662629,1368.928025
World,2006,29.10506859,0.011733576,36.57861116,21.7235964,0.548053632,6.111093504,5.653911469,0.267931673,87.40727615,6.938812385,12.59272385,9807.359855,778.5556653,634.3859094,1412.941575
World,2007,29.78641653,0.015357007,35.96558298,21.94827656,0.57464798,6.013638645,5.362797348,0.333282949,87.70027607,6.936926581,12.29972393,10163.01757,803.8755391,621.459887,1425.335426
World,2008,29.8218756,0.024522547,35.34352208,22.21036353,0.605979832,6.290984204,5.27757602,0.425176182,87.37576122,7.346662765,12.62423878,10256.62626,862.3899026,619.5096217,1481.899524
World,2009,29.84413299,0.04132256,35.30401796,21.94511308,0.6625995,6.374140225,5.288099792,0.540573887,87.09326404,7.618636173,12.90673596,10059.21193,879.9472238,610.771879,1490.719103
World,2010,29.75027928,0.06316108,34.72865542,22.53233871,0.705813575,6.414981044,5.167054143,0.637716752,87.01127341,7.821672451,12.98872659,10545.27857,947.9428543,626.2179967,1574.160851
World,2011,30.4399839,0.118860864,34.25376551,22.44816115,0.724435515,6.385286997,4.833350045,0.796156022,87.14191056,8.024739398,12.85808944,10818.11602,996.2205473,600.0297815,1596.250329
World,2012,30.14105295,0.181403026,34.19557471,22.724166,0.773533179,6.598787986,4.443977644,0.941504505,87.06079366,8.495228695,12.93920634,10960.10523,1069.466479,559.4534643,1628.919943
World,2013,30.12850498,0.245238193,33.9791796,22.59650438,0.818345641,6.698612956,4.394726977,1.138887272,86.70418896,8.901084062,13.29581104,11123.50355,1141.942982,563.8108342,1705.753817
World,2014,29.8145171,0.345286363,33.92534292,22.55950078,0.881051734,6.791308883,4.438583016,1.2444092,86.2993608,9.26205618,13.7006392,11179.16223,1199.800644,574.9711139,1774.771758
World,2015,28.82796196,0.450473989,34.27033079,22.87302675,0.932472097,6.742074361,4.462476488,1.441183565,85.9713195,9.566204012,14.0286805,11228.0309,1249.365892,582.8085947,1832.174486
World,2016,27.95217231,0.560090184,34.37296839,23.17942521,0.9505756,6.888130508,4.459168739,1.637469055,85.50456591,10.03626535,14.49543409,11336.62322,1330.658282,591.2189052,1921.877187
World,2017,27.61776373,0.741264624,34.20773404,23.35825731,0.98167616,6.799168507,4.413843584,1.88029204,85.18375508,10.40240133,14.81624492,11509.31881,1405.485743,596.3617467,2001.84749
