Entity,Year,Collieries,Electricity,Gas,Coke ovens & solid fuels,Railways,Domestic,Industry,Miscellaneous
United Kingdom,1943,11.7856,22.9616,21.1328,21.922232,15.0368,43.0784,39.624,15.263368
United Kingdom,1944,11.2776,24.4856,21.0312,21.243544,15.24,40.2336,37.592,16.653256
United Kingdom,1945,10.668,23.876,21.336,21.358352,14.8336,36.9824,35.56,15.116048
United Kingdom,1946,10.7696,26.6192,23.0632,21.876512,15.0368,35.8648,38.608,14.902688
United Kingdom,1947,11.176,27.5336,23.0632,21.84908,14.5288,36.3728,36.576,13.81252
United Kingdom,1948,11.3792,29.2608,24.9936,24.061928,14.5288,36.9824,38.608,14.749272
United Kingdom,1949,10.9728,30.48,25.7048,24.418544,14.6304,36.576,38.9128,14.697456
United Kingdom,1950,10.8712,33.4264,26.6192,24.31796,14.4272,37.8968,40.7416,14.89964
United Kingdom,1951,10.7696,35.9664,27.8384,25.447752,14.3256,37.6936,41.5544,14.684248
United Kingdom,1952,10.4648,36.068,28.1432,27.221688,14.1224,37.3888,39.5224,14.535912
United Kingdom,1953,10.0584,37.2872,27.5336,27.865832,13.6144,37.6936,40.0304,14.298168
United Kingdom,1954,9.652,40.2336,27.7368,28.685744,13.208,38.8112,41.4528,14.697456
United Kingdom,1955,8.8392,43.5864,28.3464,29.109416,12.3952,37.6936,41.3512,14.476984
United Kingdom,1956,8.0264,46.3296,28.2448,31.578296,12.2936,38.1,40.132,13.532104
United Kingdom,1957,7.3152,47.1424,26.8224,33.43656,11.5824,36.1696,38.1,12.89304
United Kingdom,1958,6.604,46.8376,25.1968,30.483048,10.4648,36.7792,34.2392,12.290552
United Kingdom,1959,5.6896,46.736,22.86,27.849576,9.652,33.9344,32.2072,10.961624
United Kingdom,1960,5.08,52.733,22.962,31.599,9.0424,36.068,36.1696,6.204
United Kingdom,1961,4.572,56.289,22.861,29.872,7.8232,33.833,33.8328,5.796
United Kingdom,1962,4.267,62.081,24.76,26.722,6.2992,34.341,30.0078,5.791
United Kingdom,1963,3.963,68.584,22.76,24.08,5.08,33.633,30.074,8.94
United Kingdom,1964,3.759,69.092,20.829,29.059,3.8608,29.362,28.9562,5.287
United Kingdom,1965,3.455,71.124,18.492,29.262,2.8448,28.854,28.1432,5.389
United Kingdom,1966,3.15,69.701,17.171,27.941,1.7272,26.927,26.0098,4.878
United Kingdom,1967,2.947,68.279,14.834,27.238,0.8,24.485,23.745,4.102
United Kingdom,1968,2.459,74.366,10.817,28.864,0.2,23.584,22.746,4.112
United Kingdom,1969,2.065,77.101,6.977,29.688,0.2,21.974,21.509,4.232
United Kingdom,1970,1.916,77.237,4.28,29.49,0.1,20.19,19.513,4.159
United Kingdom,1971,1.581,72.847,1.855,28.031,0.1,17.185,16.005,3.327
United Kingdom,1972,1.405,66.664,0.575,25.023,0.1,14.554,11.563,2.999
United Kingdom,1973,1.381,76.838,0.512,25.495,0.1,14.502,11.962,2.581
United Kingdom,1974,1.256,67.026,0.107,22.249,0.1,13.667,10.977,2.505
United Kingdom,1975,1.238,74.569,0.009,23.148,0.1,11.616,9.585,1.948
United Kingdom,1976,1.132,77.819,0.008,22.807,0.1,10.823,8.87,2.045
United Kingdom,1977,1.124,79.956,0,20.579,0.1,11.136,8.933,2.149
United Kingdom,1978,1.01,80.643,0,18.016,0.1,10.217,8.45,2.041
United Kingdom,1979,0.834,88.79,0,17.964,,10.508,9.232,2.051
United Kingdom,1980,0.663,89.569,0,14.632,,8.946,7.898,1.752
United Kingdom,1981,0.616,87.226,0,13.263,,8.454,7.046,1.781
United Kingdom,1982,0.534,80.228,0,12.732,,8.474,7.175,1.855
United Kingdom,1983,0.486,81.565,0,12.562,,7.872,7.218,1.772
United Kingdom,1984,0.209,53.411,0,9.546,,5.406,7.006,1.731
United Kingdom,1985,0.332,73.94,0,13.298,,7.799,8.313,1.704
United Kingdom,1986,0.306,82.652,0,13.081,,7.421,9.278,1.496
United Kingdom,1987,0.235,87.96,0,12.911,,6.536,6.827,1.425
United Kingdom,1988,0.196,84.258,0,12.908,,5.741,7.131,1.265
United Kingdom,1989,0.146,82.053,0,12.509,,5.048,6.763,1.062
United Kingdom,1990,0.117,84.014,0,12.396,,4.239,6.28,1.211
United Kingdom,1991,0.112,83.542,0,11.512,,4.778,6.426,1.144
United Kingdom,1992,0.079,78.469,0,10.35,,4.156,6.581,0.945
United Kingdom,1993,0.048,66.136,0,9.808,,4.638,5.3,0.826
United Kingdom,1994,0.022,62.406,0,9.771,,3.901,4.946,0.721
United Kingdom,1995,0.008,59.588,0,9.639,,2.69,4.494,0.523
United Kingdom,1996,0.008,55.511,0,9.577538,,2.705,3.074919627,1.511841249
United Kingdom,1997,0.008,47.333,0,9.614,,2.587,2.993,1.691
United Kingdom,1998,0.005,48.588,0,9.363,,2.366,2.414,0.416
United Kingdom,1999,0.01,41.178,0,9.059,,2.517,2.04,0.92
United Kingdom,2000,0.012451059,46.19749398,0,9.880335277,,1.882697457,1.875996805,0.082023855
United Kingdom,2001,0.009647,50.93136964,0,9.141124261,,1.873730166,1.826382113,0.068155367
United Kingdom,2002,0.008614,47.74111465,0,7.686221117,,1.285986211,1.809560084,0.022366616
United Kingdom,2003,0.005653,52.46340543,0,7.630008756,,1.042559562,1.856107677,0.024804307
United Kingdom,2004,0.007817,50.44358978,0,7.1823143,,0.940664699,1.847760804,0.0275
United Kingdom,2005,0.005746,52.05823558,0,7.333673003,0.004,0.614092807,1.781422816,0.055209115
United Kingdom,2006,0.003758,57.43777851,0,7.78232221,0.0188,0.561220711,1.755535332,0.034713193
United Kingdom,2007,0.004613,52.51067649,0,7.923821536,0.0188,0.648235631,1.896364763,0.02639179
United Kingdom,2008,0.005285967,47.80763491,0,7.899679344,0.0188,0.68348588,1.940440311,0.029718944
United Kingdom,2009,0.004843732,39.68080696,0,6.507082826,0.0188,0.689169418,1.742097242,0.075392803
United Kingdom,2010,0.004908913,41.49751334,0,7.086189428,0.0188,0.718872545,1.958616392,0.039262112
United Kingdom,2011,0.00378248,41.8496576,0,7.096568663,0.015291462,0.70453613,1.797569501,0.039862859
United Kingdom,2012,0.003825739,54.90132753,0,6.596579203,0.016110151,0.673929523,1.826470225,0.024088659
United Kingdom,2013,0.002603302,49.87285157,0,7.319189799,0.013711487,0.639501325,2.322511628,0.035616232
United Kingdom,2014,0,38.23402041,0,7.020796862,0.013,0.548514968,2.441796611,0.242075384
United Kingdom,2015,0,29.32969447,0,5.445106492,0.013,0.552057301,2.073463462,0.037591612
United Kingdom,2016,0,12.05560914,0,3.412545367,0.015,0.549782656,1.667086817,0.044734864
United Kingdom,2017,0,8.724496476,0,3.401674209,0.015,0.535381289,1.468484787,0.038218174
