Entity,Year,Estimated literacy rates (Buringh and Van Zanden (2009))
Belgium,1451,10
Belgium,1501,17
Belgium,1601,25
Belgium,1701,13
France,1451,6
France,1501,19
France,1601,29
France,1701,29
Germany,1451,9
Germany,1501,16
Germany,1601,31
Germany,1701,38
Ireland,1451,0
Ireland,1501,0
Ireland,1601,3
Ireland,1701,21
Italy,1451,15
Italy,1501,18
Italy,1601,23
Italy,1701,23
Netherlands,1451,17
Netherlands,1501,12
Netherlands,1601,53
Netherlands,1701,85
Poland,1451,0
Poland,1501,0
Poland,1601,3
Poland,1701,5
Spain,1451,3
Spain,1501,4
Spain,1601,5
Spain,1701,8
Sweden,1451,1
Sweden,1501,1
Sweden,1601,23
Sweden,1701,48
United Kingdom,1451,5
United Kingdom,1501,16
United Kingdom,1601,53
United Kingdom,1701,54
Western Europe,1451,12
Western Europe,1501,18
Western Europe,1601,25
Western Europe,1701,31
