Entity,Year,number_nuclweap_consideration,number_nuclweap_pursuit,number_nuclweap_possession
World,1938,0,0,0
World,1939,2,0,0
World,1940,3,0,0
World,1941,3,1,0
World,1942,3,2,0
World,1943,2,3,0
World,1944,2,3,0
World,1945,5,2,1
World,1946,3,2,1
World,1947,4,2,1
World,1948,5,2,1
World,1949,7,1,2
World,1950,7,1,2
World,1951,7,1,2
World,1952,8,0,3
World,1953,7,1,3
World,1954,6,2,3
World,1955,6,4,3
World,1956,7,4,3
World,1957,8,4,3
World,1958,8,4,3
World,1959,6,4,3
World,1960,6,3,4
World,1961,6,3,4
World,1962,7,3,4
World,1963,6,2,4
World,1964,6,2,5
World,1965,6,2,5
World,1966,7,2,5
World,1967,10,0,6
World,1968,9,0,6
World,1969,11,0,6
World,1970,9,2,6
World,1971,8,2,6
World,1972,7,4,6
World,1973,6,4,6
World,1974,6,5,6
World,1975,6,6,6
World,1976,7,5,6
World,1977,6,5,6
World,1978,8,5,6
World,1979,8,4,7
World,1980,5,6,7
World,1981,3,7,7
World,1982,2,7,7
World,1983,3,7,7
World,1984,4,7,7
World,1985,4,7,7
World,1986,4,7,7
World,1987,5,5,9
World,1988,5,4,9
World,1989,3,5,9
World,1990,2,5,9
World,1991,1,4,9
World,1992,0,3,8
World,1993,0,3,8
World,1994,0,3,8
World,1995,0,3,8
World,1996,0,3,8
World,1997,0,3,8
World,1998,0,3,8
World,1999,0,3,8
World,2000,1,3,8
World,2001,1,3,8
World,2002,0,4,8
World,2003,0,4,8
World,2004,0,3,8
World,2005,0,3,8
World,2006,0,2,9
World,2007,0,2,9
World,2008,1,1,9
World,2009,1,1,9
World,2010,1,1,9
World,2011,1,1,9
World,2012,1,1,9
World,2013,1,1,9
World,2014,1,1,9
World,2015,1,1,9
World,2016,1,1,9
World,2017,1,1,9
World,2018,1,1,9
World,2019,1,1,9
World,2020,1,1,9
World,2021,1,1,9
World,2022,1,1,9
