Entity,Year,Countries Regions
Abkhazia,2015,Europe & Central Asia
Afghanistan,2015,South Asia
Akrotiri and Dhekelia,2015,Europe & Central Asia
Åland Islands,2015,Europe & Central Asia
Albania,2015,Europe & Central Asia
Algeria,2015,Middle East & North Africa
American Samoa,2015,East Asia & Pacific
Andorra,2015,Europe & Central Asia
Angola,2015,Sub-Saharan Africa
Anguilla,2015,Latin America & Caribbean
Antarctica,2015,Antarctica
Antigua and Barbuda,2015,Latin America & Caribbean
Argentina,2015,Latin America & Caribbean
Armenia,2015,Europe & Central Asia
Aruba,2015,Latin America & Caribbean
Australia,2015,East Asia & Pacific
Austria,2015,Europe & Central Asia
Austria-Hungary,2015,Europe & Central Asia
Azerbaijan,2015,Europe & Central Asia
Baden,2015,Europe & Central Asia
Bahamas,2015,Latin America & Caribbean
Bahrain,2015,Middle East & North Africa
Bangladesh,2015,South Asia
Barbados,2015,Latin America & Caribbean
Bavaria,2015,Europe & Central Asia
Belarus,2015,Europe & Central Asia
Belgium,2015,Europe & Central Asia
Belize,2015,Latin America & Caribbean
Benin,2015,Sub-Saharan Africa
Bermuda,2015,North America
Bhutan,2015,South Asia
Bolivia,2015,Latin America & Caribbean
Bonaire Sint Eustatius and Saba,2015,Latin America & Caribbean
Bosnia and Herzegovina,2015,Europe & Central Asia
Botswana,2015,Sub-Saharan Africa
Bouvet Island,2015,Antarctica
Brazil,2015,Latin America & Caribbean
British Indian Ocean Territory,2015,East Asia & Pacific
British Virgin Islands,2015,Latin America & Caribbean
Brunei,2015,East Asia & Pacific
Bulgaria,2015,Europe & Central Asia
Burkina Faso,2015,Sub-Saharan Africa
Burundi,2015,Sub-Saharan Africa
Cambodia,2015,East Asia & Pacific
Cameroon,2015,Sub-Saharan Africa
Canada,2015,North America
Cape Verde,2015,Sub-Saharan Africa
Cayman Islands,2015,Latin America & Caribbean
Central African Republic,2015,Sub-Saharan Africa
Chad,2015,Sub-Saharan Africa
Channel Islands,2015,Europe & Central Asia
Chile,2015,Latin America & Caribbean
China,2015,East Asia & Pacific
Christmas Island,2015,East Asia & Pacific
Cocos Islands,2015,East Asia & Pacific
Colombia,2015,Latin America & Caribbean
Comoros,2015,Sub-Saharan Africa
Congo,2015,Sub-Saharan Africa
Cook Islands,2015,East Asia & Pacific
Costa Rica,2015,Latin America & Caribbean
Cote d'Ivoire,2015,Sub-Saharan Africa
Croatia,2015,Europe & Central Asia
Cuba,2015,Latin America & Caribbean
Curacao,2015,Latin America & Caribbean
Cyprus,2015,Europe & Central Asia
Czech Republic,2015,Europe & Central Asia
Czechoslovakia,2015,Europe & Central Asia
Democratic Republic of Congo,2015,Sub-Saharan Africa
Denmark,2015,Europe & Central Asia
Djibouti,2015,Middle East & North Africa
Dominica,2015,Latin America & Caribbean
Dominican Republic,2015,Latin America & Caribbean
East Germany,2015,Europe & Central Asia
Ecuador,2015,Latin America & Caribbean
Egypt,2015,Middle East & North Africa
El Salvador,2015,Latin America & Caribbean
Equatorial Guinea,2015,Sub-Saharan Africa
Eritrea,2015,Sub-Saharan Africa
Eritrea and Ethiopia,2015,Sub-Saharan Africa
Estonia,2015,Europe & Central Asia
Ethiopia,2015,Sub-Saharan Africa
Faeroe Islands,2015,Europe & Central Asia
Falkland Islands,2015,Latin America & Caribbean
Fiji,2015,East Asia & Pacific
Finland,2015,Europe & Central Asia
France,2015,Europe & Central Asia
French Guiana,2015,Latin America & Caribbean
French Polynesia,2015,East Asia & Pacific
French Southern Territories,2015,Antarctica
Gabon,2015,Sub-Saharan Africa
Gambia,2015,Sub-Saharan Africa
Georgia,2015,Europe & Central Asia
Germany,2015,Europe & Central Asia
Ghana,2015,Sub-Saharan Africa
Gibraltar,2015,Europe & Central Asia
Greece,2015,Europe & Central Asia
Greenland,2015,Europe & Central Asia
Grenada,2015,Latin America & Caribbean
Guadeloupe,2015,Latin America & Caribbean
Guam,2015,East Asia & Pacific
Guatemala,2015,Latin America & Caribbean
Guernsey,2015,Europe & Central Asia
Guinea,2015,Sub-Saharan Africa
Guinea-Bissau,2015,Sub-Saharan Africa
Guyana,2015,Latin America & Caribbean
Haiti,2015,Latin America & Caribbean
Hanover,2015,Europe & Central Asia
Heard Island and McDonald Islands,2015,Antarctica
Hesse Electoral,2015,Europe & Central Asia
Hesse Grand Ducal,2015,Europe & Central Asia
Honduras,2015,Latin America & Caribbean
Hong Kong,2015,East Asia & Pacific
Hungary,2015,Europe & Central Asia
Iceland,2015,Europe & Central Asia
India,2015,South Asia
Indonesia,2015,East Asia & Pacific
Iran,2015,Middle East & North Africa
Iraq,2015,Middle East & North Africa
Ireland,2015,Europe & Central Asia
Isle of Man,2015,Europe & Central Asia
Israel,2015,Middle East & North Africa
Italy,2015,Europe & Central Asia
Jamaica,2015,Latin America & Caribbean
Japan,2015,East Asia & Pacific
Jersey,2015,Europe & Central Asia
Jordan,2015,Middle East & North Africa
Kazakhstan,2015,Europe & Central Asia
Kenya,2015,Sub-Saharan Africa
Kiribati,2015,East Asia & Pacific
Kosovo,2015,Europe & Central Asia
Kuwait,2015,Middle East & North Africa
Kyrgyzstan,2015,Europe & Central Asia
Laos,2015,East Asia & Pacific
Latvia,2015,Europe & Central Asia
Lebanon,2015,Middle East & North Africa
Lesotho,2015,Sub-Saharan Africa
Liberia,2015,Sub-Saharan Africa
Libya,2015,Middle East & North Africa
Liechtenstein,2015,Europe & Central Asia
Lithuania,2015,Europe & Central Asia
Luxembourg,2015,Europe & Central Asia
Macao,2015,East Asia & Pacific
Macedonia,2015,Europe & Central Asia
Madagascar,2015,Sub-Saharan Africa
Malawi,2015,Sub-Saharan Africa
Malaysia,2015,East Asia & Pacific
Maldives,2015,South Asia
Mali,2015,Sub-Saharan Africa
Malta,2015,Middle East & North Africa
Marshall Islands,2015,East Asia & Pacific
Martinique,2015,Latin America & Caribbean
Mauritania,2015,Sub-Saharan Africa
Mauritius,2015,Sub-Saharan Africa
Mayotte,2015,Sub-Saharan Africa
Mecklenburg Schwerin,2015,Europe & Central Asia
Mexico,2015,Latin America & Caribbean
Micronesia (country),2015,East Asia & Pacific
Modena,2015,Europe & Central Asia
Moldova,2015,Europe & Central Asia
Monaco,2015,Europe & Central Asia
Mongolia,2015,East Asia & Pacific
Montenegro,2015,Europe & Central Asia
Montserrat,2015,Latin America & Caribbean
Morocco,2015,Middle East & North Africa
Mozambique,2015,Sub-Saharan Africa
Myanmar,2015,East Asia & Pacific
Nagorno-Karabakh,2015,Europe & Central Asia
Namibia,2015,Sub-Saharan Africa
Nauru,2015,East Asia & Pacific
Nepal,2015,South Asia
Netherlands,2015,Europe & Central Asia
Netherlands Antilles,2015,Latin America & Caribbean
New Caledonia,2015,East Asia & Pacific
New Zealand,2015,East Asia & Pacific
Nicaragua,2015,Latin America & Caribbean
Niger,2015,Sub-Saharan Africa
Nigeria,2015,Sub-Saharan Africa
Niue,2015,East Asia & Pacific
Norfolk Island,2015,East Asia & Pacific
North Korea,2015,East Asia & Pacific
Northern Cyprus,2015,Europe & Central Asia
Northern Mariana Islands,2015,East Asia & Pacific
Norway,2015,Europe & Central Asia
Oman,2015,Middle East & North Africa
Pakistan,2015,South Asia
Palau,2015,East Asia & Pacific
Palestine,2015,Middle East & North Africa
Panama,2015,Latin America & Caribbean
Papua New Guinea,2015,East Asia & Pacific
Paraguay,2015,Latin America & Caribbean
Parma,2015,Europe & Central Asia
Peru,2015,Latin America & Caribbean
Philippines,2015,East Asia & Pacific
Pitcairn,2015,East Asia & Pacific
Poland,2015,Europe & Central Asia
Portugal,2015,Europe & Central Asia
Puerto Rico,2015,Latin America & Caribbean
Qatar,2015,Middle East & North Africa
Republic of Vietnam,2015,East Asia & Pacific
Reunion,2015,Sub-Saharan Africa
Romania,2015,Europe & Central Asia
Russia,2015,Europe & Central Asia
Rwanda,2015,Sub-Saharan Africa
Saint Barthélemy,2015,Latin America & Caribbean
Saint Helena,2015,Latin America & Caribbean
Saint Kitts and Nevis,2015,Latin America & Caribbean
Saint Lucia,2015,Latin America & Caribbean
Saint Martin (French part),2015,Latin America & Caribbean
Saint Pierre and Miquelon,2015,North America
Saint Vincent and the Grenadines,2015,Latin America & Caribbean
Samoa,2015,East Asia & Pacific
San Marino,2015,Europe & Central Asia
Sao Tome and Principe,2015,Sub-Saharan Africa
Saudi Arabia,2015,Middle East & North Africa
Saxony,2015,Europe & Central Asia
Senegal,2015,Sub-Saharan Africa
Serbia,2015,Europe & Central Asia
Serbia and Montenegro,2015,Europe & Central Asia
Serbia excluding Kosovo,2015,Europe & Central Asia
Seychelles,2015,Sub-Saharan Africa
Sierra Leone,2015,Sub-Saharan Africa
Singapore,2015,East Asia & Pacific
Sint Maarten (Dutch part),2015,Latin America & Caribbean
Slovakia,2015,Europe & Central Asia
Slovenia,2015,Europe & Central Asia
Solomon Islands,2015,East Asia & Pacific
Somalia,2015,Sub-Saharan Africa
Somaliland,2015,Sub-Saharan Africa
South Africa,2015,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,2015,Latin America & Caribbean
South Korea,2015,East Asia & Pacific
South Ossetia,2015,Europe & Central Asia
South Sudan,2015,Sub-Saharan Africa
Spain,2015,Europe & Central Asia
Sri Lanka,2015,South Asia
Sudan,2015,Sub-Saharan Africa
Suriname,2015,Latin America & Caribbean
Svalbard and Jan Mayen,2015,Europe & Central Asia
Swaziland,2015,Sub-Saharan Africa
Sweden,2015,Europe & Central Asia
Switzerland,2015,Europe & Central Asia
Syria,2015,Middle East & North Africa
Taiwan,2015,East Asia & Pacific
Tajikistan,2015,Europe & Central Asia
Tanzania,2015,Sub-Saharan Africa
Thailand,2015,East Asia & Pacific
Timor,2015,East Asia & Pacific
Togo,2015,Sub-Saharan Africa
Tokelau,2015,East Asia & Pacific
Tonga,2015,East Asia & Pacific
Transnistria,2015,Europe & Central Asia
Trinidad and Tobago,2015,Latin America & Caribbean
Tunisia,2015,Middle East & North Africa
Turkey,2015,Europe & Central Asia
Turkmenistan,2015,Europe & Central Asia
Turks and Caicos Islands,2015,Latin America & Caribbean
Tuscany,2015,Europe & Central Asia
Tuvalu,2015,East Asia & Pacific
Two Sicilies,2015,Europe & Central Asia
Uganda,2015,Sub-Saharan Africa
Ukraine,2015,Europe & Central Asia
United Arab Emirates,2015,Middle East & North Africa
United Kingdom,2015,Europe & Central Asia
United Korea,2015,East Asia & Pacific
United States,2015,North America
United States Minor Outlying Islands,2015,East Asia & Pacific
United States Virgin Islands,2015,Latin America & Caribbean
Uruguay,2015,Latin America & Caribbean
USSR,2015,Europe & Central Asia
Uzbekistan,2015,Europe & Central Asia
Vanuatu,2015,East Asia & Pacific
Vatican,2015,Europe & Central Asia
Venezuela,2015,Latin America & Caribbean
Vietnam,2015,East Asia & Pacific
