Entity,Year,Share of population multidimensionally poor (camp),Share of population multidimensionally poor (national),Share of population multidimensionally poor (rural),Share of population multidimensionally poor (urban),Intensity of multidimensional poverty (camp),Intensity of multidimensional poverty (national),Intensity of multidimensional poverty (rural),Intensity of multidimensional poverty (urban),MPI (camp),MPI (national),MPI (rural),MPI (urban)
Afghanistan,2015,,55.91023926081598,66.87224038037122,21.2095338472167,,48.59954891215157,49.02496915667968,44.35353547634607,,0.2717212407646124,0.327840952208577,0.0940717811929289
Albania,2017,,0.70356129613728,0.6947375260620501,0.7098571211699,,39.05670515965335,40.25527160453744,38.21973418680991,,0.0027478786104977,0.0027966847805492,0.0027130550481728
Algeria,2018,,1.38083493006439,2.64370019106739,0.64220821807761,,39.17262753188416,40.3449708545421,36.34996375106598,,0.0054090932398428,0.0106660007156761,0.0023344245447758
Angola,2015,,51.10411184534435,88.17215316486877,29.81365308792642,,55.2665998663431,59.2654548455189,48.47398035533518,,0.2824350500881491,0.5225562762024707,0.1445186434104923
Armenia,2015,,0.19055338255055,0.45685344456179,0.0,,36.21394772837801,36.21394772837801,,,0.0006900690235151,0.001654446676089,0.0
Bangladesh,2019,,24.64057321381417,27.4245211445182,14.51838253173696,,42.23126927427055,42.32414067969588,41.59342267856437,,0.1040602682464965,0.1160719290993882,0.0603869221251621
Barbados,2012,,2.491336892443,2.23915861644725,2.64162054910372,,34.23407721629401,34.52954822018165,34.08482067459276,,0.0085288619547695,0.0077317135419251,0.0090039162706519
Belize,2015,,4.30354342909592,6.824625587685961,0.8511975604770201,,39.75522026438614,40.09010061975009,36.07845900388564,,0.017108831694106,0.0273599926502451,0.0030709896289878
Benin,2017,,66.79888849330172,78.52670768405537,49.19409847593775,,55.04205776534544,56.44899130342132,51.67080315532419,,0.3676748279109185,0.4432753439143549,0.2541898578753813
Bhutan,2010,,37.34112874074421,48.3630569603852,9.34879840258437,,46.82879038347842,47.38784336750012,39.48378031202789,,0.1748639890482792,0.2291820968012219,0.0369125902309078
Bolivia,2016,,9.06021729850495,26.30487287172338,1.18197894605031,,41.67038107904154,41.84028860087546,39.94289855136572,,0.0377542707487625,0.1100603472562246,0.0047211665131938
Bosnia and Herzegovina,2011,,2.19013349417353,2.07103763153321,2.41914408458512,,37.93146140563181,38.95409387182334,36.24799395879191,,0.0083074964107425,0.0080675394310823,0.0087689120163489
Botswana,2015,,17.21929557946103,32.92254777176827,8.45220915687646,,42.18447815003246,43.18626364088214,40.005947769988,,0.0726386998130724,0.1421801827801121,0.0338138638071014
Brazil,2015,,3.84192686639556,14.17896836470138,1.97582077467419,,42.54646593495278,42.04107320810211,43.20120181994615,,0.0163460410545679,0.0596099047035775,0.0085357832046742
Burkina Faso,2010,,84.19233743200525,95.06999912545804,45.05238525493153,,62.17006188934596,63.94409754554954,48.69990084175788,,0.5234242828756465,0.6079165297733597,0.219404669459984
Burundi,2016,,75.09747264803713,80.654738652181,29.81078143783215,,54.44405569416758,54.77085783635977,47.23877626084168,,0.4088610983340961,0.4417529224547359,0.1408224834502605
Cambodia,2014,,37.18569084352273,42.80559794961879,8.2104268653484,,45.81012868029212,46.00178301594056,40.6584146936082,,0.1703481282607337,0.1969133828745954,0.0333822940302877
Cameroon,2018,,43.5916362552264,71.05761451048971,16.03240999869334,,53.23500901843057,54.71090032189959,46.67146903579337,,0.2320601149175122,0.3887626064595369,0.074825612682316
Central African Republic,2018,,80.41417780205255,93.65419651626108,56.03379302327218,,57.37141630587792,60.04614745373878,49.13934142102738,,0.4613475271576443,0.562357369367684,0.2753463686485753
