Entity,Year,Share of aquatic waste
Bags,2021,14.05711049
Cans (drinks),2021,3.167243277
Fishing related,2021,7.587689565
Food containers / cutlery,2021,9.390787309
Glass bottles,2021,3.39341409
Industrial packaging,2021,3.447397554
Plastic bottles,2021,11.88857171
Plastic lids,2021,6.083896059
Synthetic rope,2021,7.883046641
Wrappers,2021,9.052224779
