Entity,Year,"Alcohol consumption since 1890 (Alexander & Holmes, 2017)"
Australia,1890,5.9
Australia,1920,3.8
Australia,1960,7.1
Australia,1970,9.5
Australia,1980,9.7
Australia,1990,8.1
Australia,2000,8.1
Australia,2014,7.3
Austria,1960,8.7
Austria,1970,10.8
Austria,1980,11.1
Austria,1990,11
Austria,2000,10.3
Austria,2014,10.4
Belgium,1890,13.1
Belgium,1920,10.7
Belgium,1960,8.9
Belgium,1970,11.3
Belgium,1980,11.5
Belgium,1990,9.9
Belgium,2000,10
Belgium,2014,9.6
Canada,1960,5.1
Canada,1970,7.5
Canada,1980,7.6
Canada,1990,6.1
Canada,2000,6.5
Canada,2014,6.7
Denmark,1920,5
Denmark,1960,5.6
Denmark,1970,8.3
Denmark,1980,9.8
Denmark,1990,9.9
Denmark,2000,9.1
Denmark,2014,8
Finland,1960,1.9
Finland,1970,4.3
Finland,1980,5.1
Finland,1990,5.9
Finland,2000,7
Finland,2014,6.9
France,1890,16.3
France,1920,22.1
France,1960,17.7
France,1970,15.9
France,1980,13.3
France,1990,11.2
France,2000,10.3
France,2014,9.2
Germany,1890,9.8
Germany,1920,4.4
Germany,1960,10.3
Germany,1970,12.9
Germany,1980,12.7
Germany,1990,11.3
Germany,2000,10.2
Germany,2014,9.6
Italy,1890,11.8
Italy,1920,14.5
Italy,1960,14.3
Italy,1970,14
Italy,1980,10.8
Italy,1990,8.4
Italy,2000,7.5
Italy,2014,6.1
Japan,1960,4.3
Japan,1970,5.6
Japan,1980,6.5
Japan,1990,7.2
Japan,2000,5.8
Japan,2014,5.6
Netherlands,1890,5.7
Netherlands,1920,2.3
Netherlands,1960,3.8
Netherlands,1970,7.5
Netherlands,1980,8.6
Netherlands,1990,8.1
Netherlands,2000,7.9
Netherlands,2014,7.4
New Zealand,1890,3.8
New Zealand,1960,6.7
New Zealand,1970,8.9
New Zealand,1980,9.1
New Zealand,1990,7.6
New Zealand,2000,6.5
New Zealand,2014,6.4
Norway,1960,4
Norway,1970,5.5
Norway,1980,5.2
Norway,1990,5
Norway,2000,6.2
Norway,2014,6.3
Sweden,1960,5.2
Sweden,1970,6.5
Sweden,1980,5.9
Sweden,1990,5.9
Sweden,2000,5.5
Sweden,2014,6.1
Switzerland,1890,13.3
Switzerland,1920,8.6
Switzerland,1960,10.3
Switzerland,1970,11
Switzerland,1980,11.4
Switzerland,1990,9.6
Switzerland,2000,8.7
Switzerland,2014,8.3
United Kingdom,1890,8.7
United Kingdom,1920,4.5
United Kingdom,1960,5.7
United Kingdom,1970,7.7
United Kingdom,1980,8
United Kingdom,1990,7.5
United Kingdom,2000,8.8
United Kingdom,2014,8
United States,1890,5.3
United States,1960,5.8
United States,1970,7.4
United States,1980,7.7
United States,1990,6.5
United States,2000,6.7
United States,2014,7
