Entity,Year,"Number of North Atlantic Hurricanes (HUDRAT, NOAA)","Number of Major North Atlantic Hurricanes (HUDRAT, NOAA)","Number of US Hurricanes (HUDRAT, NOAA)","Number of Major US Hurricanes (HUDRAT, NOAA)","Accumulated Cyclone Energy; ACE (HUDRAT, NOAA)","Cyclone Power Dissipation Index (PDI) (HUDRAT, NOAA)"
North Atlantic,1851,3,1,2,1,36,
North Atlantic,1852,5,1,3,1,73,
North Atlantic,1853,4,2,1,0,76,
North Atlantic,1854,3,1,3,1,31,
North Atlantic,1855,4,1,1,1,18,
North Atlantic,1856,4,2,2,1,49,
North Atlantic,1857,3,0,1,0,40,
North Atlantic,1858,6,0,1,0,45,
North Atlantic,1859,7,1,2,0,56,
North Atlantic,1860,6,1,3,1,62,
North Atlantic,1861,6,0,3,0,50,
North Atlantic,1862,3,0,0,0,46,
North Atlantic,1863,5,0,0,0,50,
North Atlantic,1864,3,0,0,0,27,
North Atlantic,1865,3,0,2,0,49,
North Atlantic,1866,6,1,1,0,84,
North Atlantic,1867,7,1,2,0,60,
North Atlantic,1868,3,0,0,0,35,
North Atlantic,1869,7,1,4,1,51,
North Atlantic,1870,10,2,3,0,88,
North Atlantic,1871,6,2,3,1,88,
North Atlantic,1872,4,0,0,0,65,
North Atlantic,1873,3,2,2,1,69,
North Atlantic,1874,4,0,1,0,47,
North Atlantic,1875,5,1,1,1,72,
North Atlantic,1876,4,2,1,0,57,
North Atlantic,1877,3,1,2,1,73,
North Atlantic,1878,10,2,2,0,181,
North Atlantic,1879,6,2,3,2,64,
North Atlantic,1880,9,2,4,1,131,
North Atlantic,1881,4,0,2,0,59,
North Atlantic,1882,4,2,2,1,59,
North Atlantic,1883,3,2,1,0,67,
North Atlantic,1884,4,1,0,0,72,
North Atlantic,1885,6,0,1,0,58,
North Atlantic,1886,10,4,7,2,166,
North Atlantic,1887,11,2,4,0,181,
North Atlantic,1888,6,2,3,1,85,
North Atlantic,1889,6,0,1,0,104,
North Atlantic,1890,2,1,0,0,33,
North Atlantic,1891,7,1,2,0,116,
North Atlantic,1892,5,0,0,0,116,
North Atlantic,1893,10,5,5,3,231,
North Atlantic,1894,5,4,2,1,135,
North Atlantic,1895,2,0,1,0,69,
North Atlantic,1896,6,2,3,1,136,
North Atlantic,1897,3,0,1,0,55,
North Atlantic,1898,5,1,3,1,113,
North Atlantic,1899,5,2,3,1,151,
North Atlantic,1900,3,2,1,1,83,
North Atlantic,1901,6,0,2,0,99,
North Atlantic,1902,3,0,0,0,33,
North Atlantic,1903,7,1,2,0,102,
North Atlantic,1904,4,0,2,0,30,
North Atlantic,1905,1,1,0,0,28,
North Atlantic,1906,6,3,4,1,163,
North Atlantic,1907,0,0,0,0,13,
North Atlantic,1908,6,1,1,0,95,
North Atlantic,1909,6,4,5,3,93,
North Atlantic,1910,3,1,2,0,64,
North Atlantic,1911,3,0,2,0,35,
North Atlantic,1912,4,1,2,0,57,
North Atlantic,1913,4,0,3,0,36,
North Atlantic,1914,0,0,0,0,3,
North Atlantic,1915,5,3,4,2,130,
North Atlantic,1916,10,5,4,2,144,
North Atlantic,1917,2,2,1,1,61,
North Atlantic,1918,4,1,2,1,40,
North Atlantic,1919,2,1,1,1,55,
North Atlantic,1920,4,0,1,0,30,
North Atlantic,1921,5,2,2,1,87,
North Atlantic,1922,3,1,0,0,55,
North Atlantic,1923,4,1,1,0,49,
North Atlantic,1924,5,2,3,0,100,
North Atlantic,1925,1,0,0,0,7,
North Atlantic,1926,8,6,4,2,230,
North Atlantic,1927,4,1,0,0,56,
North Atlantic,1928,4,1,2,1,83,
North Atlantic,1929,3,1,2,1,48,
North Atlantic,1930,2,2,0,0,50,
North Atlantic,1931,3,1,0,0,48,
North Atlantic,1932,6,4,2,1,170,
North Atlantic,1933,11,6,5,2,259,
North Atlantic,1934,7,1,3,0,48,
North Atlantic,1935,5,3,2,1,106,
North Atlantic,1936,7,1,3,0,100,
North Atlantic,1937,4,1,0,0,66,
North Atlantic,1938,4,2,2,1,78,
North Atlantic,1939,3,1,1,0,34,
North Atlantic,1940,6,0,2,0,68,
North Atlantic,1941,4,3,2,1,52,
North Atlantic,1942,4,1,2,1,63,
North Atlantic,1943,5,2,1,0,94,
North Atlantic,1944,8,3,3,1,104,
North Atlantic,1945,5,2,3,2,63,
North Atlantic,1946,3,0,1,0,20,
North Atlantic,1947,5,2,3,1,88,
North Atlantic,1948,6,4,3,1,95,
North Atlantic,1949,7,2,3,1,96,
North Atlantic,1950,11,6,3,2,211,
North Atlantic,1951,8,3,0,0,126,2.7846
North Atlantic,1952,5,2,1,0,69,2.3445
North Atlantic,1953,7,3,3,0,99,2.2639
North Atlantic,1954,7,3,3,2,111,2.473
North Atlantic,1955,9,4,2,0,158,2.4041
North Atlantic,1956,4,1,1,0,57,2.1531
North Atlantic,1957,3,2,1,1,79,2.0011
North Atlantic,1958,7,3,1,1,110,2.0499
North Atlantic,1959,7,2,3,1,77,2.389
North Atlantic,1960,4,2,2,1,73,2.7669
North Atlantic,1961,8,7,1,1,205,2.8063
North Atlantic,1962,3,1,0,0,36,2.6079
North Atlantic,1963,7,2,1,0,118,2.4965
North Atlantic,1964,6,6,4,1,170,2.6412
North Atlantic,1965,4,1,1,1,84,2.7114
North Atlantic,1966,7,3,2,0,145,2.4241
North Atlantic,1967,6,1,1,1,122,2.1513
North Atlantic,1968,4,0,1,0,45,1.9995
North Atlantic,1969,12,5,2,1,166,1.91
North Atlantic,1970,5,2,1,1,40,1.8215
North Atlantic,1971,6,1,3,0,97,1.5311
North Atlantic,1972,3,0,1,0,36,1.3023
North Atlantic,1973,4,1,0,0,48,1.3258
North Atlantic,1974,4,2,1,1,68,1.5447
North Atlantic,1975,6,3,1,1,76,1.7044
North Atlantic,1976,6,2,1,0,84,1.5849
North Atlantic,1977,5,1,1,0,25,1.5081
North Atlantic,1978,5,2,0,0,63,1.9018
North Atlantic,1979,5,2,3,1,93,2.6182
North Atlantic,1980,9,2,1,1,149,2.8708
North Atlantic,1981,7,3,0,0,100,2.278
North Atlantic,1982,2,1,0,0,32,1.4246
North Atlantic,1983,3,1,1,1,17,1.139
North Atlantic,1984,5,1,1,0,84,1.3853
North Atlantic,1985,7,3,6,2,88,1.51
North Atlantic,1986,4,0,2,0,36,1.4708
North Atlantic,1987,3,1,1,0,34,1.8049
North Atlantic,1988,5,3,1,0,103,2.4896
North Atlantic,1989,7,2,3,1,135,2.757
North Atlantic,1990,8,1,0,0,97,2.3579
North Atlantic,1991,4,2,1,0,36,1.8318
North Atlantic,1992,4,1,1,1,76,1.5038
North Atlantic,1993,4,1,1,1,39,1.6579
North Atlantic,1994,3,0,0,0,32,2.5317
North Atlantic,1995,11,5,2,1,228,3.469
North Atlantic,1996,9,6,2,1,166,3.7677
North Atlantic,1997,3,1,1,0,41,3.6987
North Atlantic,1998,10,3,3,0,182,3.8579
North Atlantic,1999,8,5,3,1,177,4.0137
North Atlantic,2000,8,3,0,0,119,3.502
North Atlantic,2001,9,4,0,0,110,2.9404
North Atlantic,2002,4,2,1,0,67,3.4359
North Atlantic,2003,7,3,2,0,176,4.9011
North Atlantic,2004,9,6,6,3,227,6.003
North Atlantic,2005,15,7,6,4,250,5.5528
North Atlantic,2006,5,2,0,0,79,4.1876
North Atlantic,2007,6,2,1,0,74,3.1377
North Atlantic,2008,8,5,3,0,146,2.8979
North Atlantic,2009,3,2,0,0,53,3.086
North Atlantic,2010,12,5,0,0,165,3.2155
North Atlantic,2011,7,4,1,0,126,3.0646
North Atlantic,2012,10,2,2,0,129,2.4496
North Atlantic,2013,2,0,0,0,36,1.8444
North Atlantic,2014,6,2,1,0,67,
North Atlantic,2015,4,2,0,0,63,
North Atlantic,2016,7,4,2,0,141,
North Atlantic,2017,10,6,3,2,223,
