Entity,Year,Wheat price in 1996 pounds (Makridakis et al. (1997))
England,1264,385.34
England,1265,438.82
England,1266,317.22
England,1267,505.15
England,1268,513.57
England,1269,515.48
England,1270,519.31
England,1271,524.42
England,1272,430.38
England,1273,527.86
England,1274,467.25
England,1275,547.68
England,1276,428.1
England,1277,519.38
England,1278,404.74
England,1279,377.95
England,1280,439.9
England,1281,434.65
England,1282,472.25
England,1283,434.87
England,1284,468.36
England,1285,486
England,1286,476.66
England,1287,422.87
England,1288,321.15
England,1289,360.79
England,1290,435.66
England,1291,493.59
England,1292,472.93
England,1293,469.13
England,1294,608.37
England,1295,562.38
England,1296,525.81
England,1297,415.59
England,1298,398.06
England,1299,436.89
England,1300,434.64
England,1301,432.37
England,1302,436.46
England,1303,454.18
England,1304,353.71
England,1305,486.32
England,1306,397.47
England,1307,340.25
England,1308,427.57
England,1309,472.29
England,1310,466.95
England,1311,463.79
England,1312,332.87
England,1313,396.88
England,1314,400.09
England,1315,513.36
England,1316,559.07
England,1317,602.5
England,1318,436.19
England,1319,309.19
England,1320,443.44
England,1321,429.61
England,1322,669.12
England,1323,441.38
England,1324,440.42
England,1325,471.11
England,1326,372.26
England,1327,308.55
England,1328,330.52
England,1329,439.67
England,1330,442.34
England,1331,434.54
England,1332,490.87
England,1333,343.64
England,1334,343.52
England,1335,338.43
England,1336,424.45
England,1337,358.84
England,1338,341.53
England,1339,330.08
England,1340,497.54
England,1341,333.63
England,1342,362.37
England,1343,398.84
England,1344,471.53
England,1345,289.33
England,1346,351.94
England,1347,510.98
England,1348,461.96
England,1349,347.99
England,1350,436.01
England,1351,499.4
England,1352,516.88
England,1353,421.33
England,1354,291.39
England,1355,374.25
England,1356,398.23
England,1357,365.47
England,1358,399.48
England,1359,356.31
England,1360,355.06
England,1361,389.09
England,1362,285.71
England,1363,392
England,1364,456.03
England,1365,421.94
England,1366,403.81
England,1367,396.69
England,1368,502.69
England,1369,358.37
England,1370,521.93
England,1371,463.62
England,1372,426.42
England,1373,485.72
England,1374,401.01
England,1375,531.99
England,1376,430.61
England,1377,343.58
England,1378,315.35
England,1379,307.93
England,1380,443.44
England,1381,424.78
England,1382,409.02
England,1383,396.94
England,1384,337.55
England,1385,403.86
England,1386,393.54
England,1387,330.8
England,1388,269.71
England,1389,297.89
England,1390,416.37
England,1391,532.98
England,1392,427.62
England,1393,260.76
England,1394,299.12
England,1395,339.37
England,1396,409.16
England,1397,416.12
England,1398,388.47
England,1399,374.89
England,1400,430.87
England,1401,494
England,1402,477.09
England,1403,458.11
England,1404,404.04
England,1405,327.33
England,1406,308.86
England,1407,354.6
England,1408,345.44
England,1409,490.86
England,1410,558.26
England,1411,372.58
England,1412,380.16
England,1413,367.25
England,1414,321.93
England,1415,303.8
England,1416,411.05
England,1417,501.1
England,1418,376.05
England,1419,593.39
England,1420,378.92
England,1421,544.44
England,1422,436.73
England,1423,325.05
England,1424,350.66
England,1425,366.97
England,1426,316.25
England,1427,332.28
England,1428,354.6
England,1429,567.46
England,1430,464.75
England,1431,418.27
England,1432,370.65
England,1433,500.3
England,1434,435.1
England,1435,414.71
England,1436,470.8
England,1437,475.48
England,1438,589.4
England,1439,769.36
England,1440,437.62
England,1441,337.55
England,1442,383.22
England,1443,328.85
England,1444,330.94
England,1445,370.53
England,1446,536.53
England,1447,484.39
England,1448,410.36
England,1449,429.9
England,1450,420.29
England,1451,487.75
England,1452,542.87
England,1453,478.49
England,1454,393.81
England,1455,332.17
England,1456,437.82
England,1457,433.74
England,1458,473.94
England,1459,492.12
England,1460,429.77
England,1461,486.14
England,1462,523.94
England,1463,400.85
England,1464,365.03
England,1465,309.43
England,1466,340.65
England,1467,400.06
England,1468,407.61
England,1469,427.46
England,1470,512.95
England,1471,457.17
England,1472,438.17
England,1473,339.29
England,1474,326.9
England,1475,405.07
England,1476,518.25
England,1477,512.58
England,1478,606.84
England,1479,551.57
England,1480,460.45
England,1481,410.94
England,1482,478.4
England,1483,516.75
England,1484,460.18
England,1485,434.73
England,1486,425.87
England,1487,416.21
England,1488,400.46
England,1489,408.78
England,1490,450.6
England,1491,352.62
England,1492,519.44
England,1493,294.28
England,1494,344.59
England,1495,438.06
England,1496,350.12
England,1497,437.82
England,1498,428.98
England,1499,446.66
England,1500,409.37
England,1501,463.74
England,1502,560.29
England,1503,572.95
England,1504,477.94
England,1505,394.91
England,1506,370.99
England,1507,446.05
England,1508,448.95
England,1509,341.22
England,1510,235.96
England,1511,334.07
England,1512,457.87
England,1513,614.63
England,1514,414.79
England,1515,403.8
England,1516,501.73
England,1517,386.21
England,1518,448.13
England,1519,374.19
England,1520,423.79
England,1521,454.79
England,1522,390.3
England,1523,358.65
England,1524,335.02
England,1525,321.85
England,1526,329.94
England,1527,342.15
England,1528,584.59
England,1529,451.13
England,1530,423.44
England,1531,442.77
England,1532,370.56
England,1533,383.49
England,1534,428.35
England,1535,432.89
England,1536,508.39
England,1537,554.24
England,1538,415.83
England,1539,383.48
England,1540,287.35
England,1541,280.27
England,1542,424.89
England,1543,376.05
England,1544,421.94
England,1545,382.62
England,1546,508.37
England,1547,290.79
England,1548,206.38
England,1549,308.37
England,1550,505.04
England,1551,511.66
England,1552,596.84
England,1553,330.39
England,1554,293.53
England,1555,560.72
England,1556,482.61
England,1557,563.69
England,1558,295.73
England,1559,295.19
England,1560,338.19
England,1561,407.33
England,1562,477.14
England,1563,428.89
England,1564,614.89
England,1565,628.98
England,1566,786.59
England,1567,472.22
England,1568,319.54
England,1569,331.44
England,1570,317.86
England,1571,300.61
England,1572,373.81
England,1573,401
England,1574,569.96
England,1575,349.32
England,1576,417.3
England,1577,495.64
England,1578,465.46
England,1579,431.26
England,1580,415.03
England,1581,466.93
England,1582,506.33
England,1583,478.2
England,1584,486.57
England,1585,450.41
England,1586,713.47
England,1587,754.51
England,1588,375.6
England,1589,343.75
England,1590,551.51
England,1591,447.13
England,1592,396.4
England,1593,474.09
England,1594,525.82
England,1595,591.87
England,1596,654.39
England,1597,668.46
England,1598,732.83
England,1599,531.97
England,1600,471.77
England,1601,525.22
England,1602,415.67
England,1603,483.73
England,1604,533.49
England,1605,534.96
England,1606,479.64
England,1607,573.62
England,1608,599.54
England,1609,768.71
England,1610,566.73
England,1611,570.12
England,1612,574.29
England,1613,617.31
England,1614,638.5
England,1615,507.23
England,1616,493.42
England,1617,642.42
England,1618,697.01
England,1619,535.03
England,1620,432.21
England,1621,446.66
England,1622,631.22
England,1623,703.81
England,1624,561.97
England,1625,652.98
England,1626,709.05
England,1627,539
England,1628,458.89
England,1629,523.21
England,1630,573.84
England,1631,766.18
England,1632,571.81
England,1633,677.8
England,1634,580.64
England,1635,565.14
England,1636,611.92
England,1637,569.39
England,1638,547.63
England,1639,525.8
England,1640,523.33
England,1641,607.71
England,1642,526.63
England,1643,515.49
England,1644,514.28
England,1645,493.1
England,1646,495.36
England,1647,629.82
England,1648,657.57
England,1649,669.76
England,1650,632.46
England,1651,636.75
England,1652,610.52
England,1653,474.27
England,1654,376.1
England,1655,330.56
England,1656,480.97
England,1657,491.44
England,1658,582.88
England,1659,670.05
England,1660,616.88
England,1661,645.68
England,1662,854.13
England,1663,559.46
England,1664,603.91
England,1665,511.72
England,1666,480.74
England,1667,397.82
England,1668,441.76
England,1669,558.62
England,1670,484.92
England,1671,527.55
England,1672,520.59
England,1673,550.67
England,1674,797.42
England,1675,697.64
England,1676,504.57
England,1677,470.89
England,1678,711.13
England,1679,757.07
England,1680,563.3
England,1681,600.92
England,1682,546.61
England,1683,532.03
England,1684,571.56
England,1685,683.56
England,1686,415.58
England,1687,542.94
England,1688,458.98
England,1689,454.34
England,1690,498.52
England,1691,470.67
England,1692,633.98
England,1693,791.3
England,1694,905.45
England,1695,523.65
England,1696,707.17
England,1697,720.68
England,1698,835.48
England,1699,741.77
England,1700,671.46
England,1701,540.95
England,1702,459.91
England,1703,512.47
England,1704,693.51
England,1705,526.15
England,1706,389.69
England,1707,462.1
England,1708,516.48
England,1709,798.05
England,1710,1006.19
England,1711,588.32
England,1712,713.47
England,1713,641.86
England,1714,838.13
England,1715,528.2
England,1716,776.93
England,1717,707.6
England,1718,663.77
England,1719,455.82
England,1720,546.17
England,1721,557.09
England,1722,495.37
England,1723,570.79
England,1724,525.78
England,1725,658.06
England,1726,659.04
England,1727,543.52
England,1728,791.38
England,1729,750.78
England,1730,561.69
England,1731,540.96
England,1732,451.16
England,1733,476.54
England,1734,495.21
England,1735,617.02
England,1736,673.62
England,1737,510.93
England,1738,503.34
England,1739,525.76
England,1740,642.56
England,1741,820.75
England,1742,475.15
England,1743,392.97
England,1744,381.11
England,1745,385.35
England,1746,497.83
England,1747,549.93
England,1748,506.81
England,1749,525.68
England,1750,497.76
England,1751,541.69
England,1752,663.2
England,1753,678.64
England,1754,651.17
England,1755,497.86
England,1756,583.47
England,1757,808.68
England,1758,701.64
England,1759,551.62
England,1760,522.52
England,1761,537.05
England,1762,537.05
England,1763,539.26
England,1764,656.62
England,1765,651.66
England,1766,632.86
England,1767,835.9
England,1768,841.35
England,1769,741.25
England,1770,618.01
England,1771,777.69
England,1772,764.89
England,1773,756.84
England,1774,801.02
England,1775,755.34
England,1776,590.96
England,1777,744.05
England,1778,633.14
England,1779,534.92
England,1780,572.22
England,1781,685.11
England,1782,727.19
England,1783,720.3
England,1784,684.2
England,1785,614.93
England,1786,575.72
England,1787,620.94
England,1788,655.86
England,1789,772.21
England,1790,756.25
England,1791,687.71
England,1792,603.68
England,1793,653.91
England,1794,658.03
England,1795,875.81
England,1796,874
England,1797,622.04
England,1798,599.86
England,1799,738.64
England,1800,919.68
England,1801,897.71
England,1802,687.41
England,1803,645.95
England,1804,662.24
England,1805,822.04
England,1806,736.15
England,1807,693.71
England,1808,682.87
England,1809,786.37
England,1810,880.52
England,1811,791.95
England,1812,914.2
England,1813,773.57
England,1814,609.17
England,1815,588.11
England,1816,781.7
England,1817,878.29
England,1818,761.48
England,1819,664.59
England,1820,717.18
England,1821,691.07
England,1822,610.89
England,1823,713.66
England,1824,787.88
England,1825,719.53
England,1826,652.11
England,1827,695.46
England,1828,739.78
England,1829,819.39
England,1830,824.47
England,1831,774.19
England,1832,739.28
England,1833,710.02
England,1834,671.53
England,1835,562.67
England,1836,625.09
England,1837,702.37
England,1838,806.92
England,1839,822.81
England,1840,758.54
England,1841,753.24
England,1842,725.16
England,1843,715.06
England,1844,732.43
England,1845,692.81
England,1846,716.5
England,1847,860.77
England,1848,714.09
England,1849,645.9
England,1850,581.26
England,1851,555.99
England,1852,576.22
England,1853,669.32
England,1854,854.82
England,1855,889.11
England,1856,823.62
England,1857,653.6
England,1858,565.62
England,1859,549.91
England,1860,639.7
England,1861,670.66
England,1862,665.73
England,1863,528.24
England,1864,474.14
England,1865,502.55
England,1866,594.4
England,1867,767.06
England,1868,765.84
England,1869,589.06
England,1870,578.99
England,1871,680.74
England,1872,644.8
England,1873,652.78
England,1874,658.08
England,1875,552.37
England,1876,569.73
England,1877,700.34
England,1878,605.86
England,1879,589.14
England,1880,573.16
England,1881,597.47
England,1882,600
England,1883,553.42
England,1884,499.14
England,1885,489.79
England,1886,472.83
England,1887,501.34
England,1888,491.06
England,1889,453.77
England,1890,484.71
England,1891,566.38
England,1892,457.66
England,1893,403.04
England,1894,365
England,1895,379.49
England,1896,426.48
England,1897,479.02
England,1898,523.12
England,1899,406.11
England,1900,399.38
England,1901,403.81
England,1902,425.48
England,1903,399.38
England,1904,416.23
England,1905,437.43
England,1906,410.49
England,1907,438.55
England,1908,468.95
England,1909,531.23
England,1910,449.37
England,1911,444.73
England,1912,470.4
England,1913,422.93
England,1914,475.12
England,1915,578.56
England,1916,555.82
England,1917,583.9
England,1918,494.33
England,1919,455.6
England,1920,441.78
England,1921,430.74
England,1922,354.89
England,1923,326.81
England,1924,382.2
England,1925,402.06
England,1926,419.86
England,1927,399.31
England,1928,350.37
England,1929,348.73
England,1930,294.49
