Entity,Year,Sex ratio by age (one-year olds),Sex ratio by age (five-year olds),Sex ratio by age (10 year olds),Sex ratio by age (15 year olds),Sex ratio by age (20 year olds),Sex ratio by age (30 year olds),Sex ratio by age (40 year olds),Sex ratio by age (50 year olds),Sex ratio by age (60 year olds),Sex ratio by age (70 year olds),Sex ratio by age (80 year olds),Sex ratio by age (90 year olds),Sex ratio by age (100 year olds)
Afghanistan,1950,92.99617204,103.0882408,108.6014676,110.7259605,115.6788809,118.5666633,119.6364553,124.9931013,130.4608239,130.0040546,,,
Afghanistan,1951,90.97777477,100.6106691,108.5614098,110.2398361,114.3904862,118.288218,119.3759716,124.586307,130.0634456,129.3023256,,,
Afghanistan,1952,100.977842,97.61359611,108.1685824,109.217998,112.6743185,117.5189953,118.78763,123.7106211,129.1908563,127.9467432,,,
Afghanistan,1953,103.319924,95.08151607,107.3243663,108.6466485,111.3402207,117.0601087,118.2369428,122.1980206,127.6501555,126.5012216,,,
Afghanistan,1954,104.7408878,93.72532673,105.0552776,108.7002722,110.6926837,117.1017409,117.7530654,119.9570573,125.2675773,125.0635486,,,
Afghanistan,1955,105.2886498,94.2631415,101.4046703,108.9649026,110.5004535,117.356219,117.35643,117.4268008,122.4141957,123.5494021,,,
Afghanistan,1956,109.7429115,95.87080451,98.27477019,108.7281162,109.6648988,117.0525313,116.5140447,115.0210661,119.753871,122.3758953,,,
Afghanistan,1957,103.8993771,98.65765824,95.7994605,109.2028656,108.9413821,117.1214495,116.100986,112.9312215,117.3972681,121.1914894,,,
Afghanistan,1958,103.0571199,101.8539656,94.28584205,108.4134081,108.5900178,116.8167743,115.8513453,111.5076111,115.7862061,120.2806428,,,
Afghanistan,1959,102.2804328,104.3966821,94.78142463,105.575885,108.6156593,115.7448211,115.5864538,110.8624741,114.9018954,119.5953142,,,
Afghanistan,1960,101.7327934,104.9566175,97.36898664,101.8105535,108.7299925,114.16395,115.2795807,110.6152946,114.1820365,118.7427105,,,
Afghanistan,1961,100.1104818,104.978984,99.66225345,98.6905139,108.9786934,112.8579309,115.0108963,110.6746545,113.8666811,118.6567164,,,
Afghanistan,1962,102.0335104,104.2665927,101.828836,95.55732756,109.4272663,111.4188724,114.5386853,110.518732,113.4561133,118.2125931,,,
Afghanistan,1963,102.4495487,103.2615026,103.6694153,94.13557725,108.3443399,110.220888,114.1980799,110.148694,112.2810686,116.7534626,,,
Afghanistan,1964,102.8830475,102.5239992,104.3298432,95.1632151,105.2957436,109.5083306,114.1941964,109.6474535,110.1809607,114.239095,,,
Afghanistan,1965,103.2171406,102.616047,103.7294857,97.75961219,101.5443725,109.1112954,114.3924009,109.1627422,107.6648931,111.3068546,,,
