Entity,Year,agri_demand_crops,agri_demand_energycrops,agri_demand_livestock,agri_prod_crops_energy,agri_prod_crops_nonenergy,agri_prod_livestock,carbon_price,concentration_ch4,concentration_co2,concentration_n2o,econ_consumption,elec_capacity,elec_capacity_biomass,elec_capacity_coal,elec_capacity_csp,elec_capacity_gas,elec_capacity_geothermal,elec_capacity_hydro,elec_capacity_nuclear,elec_capacity_offshorewind,elec_capacity_oil,elec_capacity_onshorewind,elec_capacity_other,elec_capacity_solar,elec_capacity_solarpv,elec_capacity_wind,emissions_blackcarbon,emissions_ch4,emissions_ch4_fossil,emissions_ch4_land,emissions_co,emissions_co2,emissions_co2_beccs,emissions_co2_ccs,emissions_co2_fossil,emissions_co2_land,emissions_fgas,emissions_kyotogas,emissions_n2o,emissions_n2o_land,emissions_nh3,emissions_nox,emissions_oc,emissions_sulfur,emissions_voc,energy_transport_freight,energy_transport_passenger,final_energy,final_energy_biomass,final_energy_coal,final_energy_elec,final_energy_gases,final_energy_heat,final_energy_hydrogen,final_energy_industry,final_energy_liquids,final_energy_residentialcommercial,final_energy_solar,final_energy_solids,final_energy_traditionalbiomass,final_energy_transport,forcing,forcing_aerosol,forcing_ch4,forcing_co2,forcing_fgases,forcing_kyoto,forcing_n2o,gdp,land_cropland,land_forest,land_pasture,land_urban,population,primary_energy,primary_energy_biomass,primary_energy_biomass_ccs,primary_energy_biomass_no_ccs,primary_energy_coal,primary_energy_coal_ccs,primary_energy_coal_no_ccs,primary_energy_fossil,primary_energy_fossil_ccs,primary_energy_fossil_no_ccs,primary_energy_gas,primary_energy_gas_ccs,primary_energy_geothermal,primary_energy_hydro,primary_energy_no_ccs,primary_energy_nonbio_renewables,primary_energy_nuclear,primary_energy_oil,primary_energy_oil_ccs,primary_energy_oil_no_ccs,primary_energy_other,primary_energy_solar,primary_energy_tradbiomass,primary_energy_wind,temp,annotation,secondary_energy_elec,secondary_energy_elec_biomass,secondary_energy_elec_biomass_ccs,secondary_energy_elec_coal,secondary_energy_elec_coal_ccs,secondary_energy_elec_gas,secondary_energy_elec_gas_ccs,secondary_energy_elec_geothermal,secondary_energy_elec_hydro,secondary_energy_elec_nonbiorenewables,secondary_energy_elec_nuclear,secondary_energy_elec_oil,secondary_energy_elec_solar,secondary_energy_elec_wind,secondary_energy_gas,secondary_energy_heat,secondary_energy_heat_hydro,secondary_energy_hydrogen,secondary_energy_liquid_biofuel,secondary_energy_oil
SSP1 - Baseline,2005,3389.946625,,238.9864756,31.4696687,3417.34,238.9865,0.0,1753.16,379.85,319.855,34531.70013,3797.849,66.79925977,967.1141719,0.408451385,1011.005984,,871.2293125,403.097,0.684200073,405.4770781,58.03196094,9.507541016,4.902305389,4.493854004,58.71616101,10.16685009,318.3976135,,153.5838779,910.8715107,33166.07422,0.0,0.0,29394.24838,3771.829776,672.6583252,44527.28906,9156.453402,6874.411013,57.25252966,133.2525324,34.30796051,116.6484222,156.2307131,23586.44307,51535.72083,340.7755,37.99325,31.6265,53.49091016,52.67807031,13.24970996,6.87578e-09,103.6917031,151.7371169,116.4875977,0.0164592,69.61975,37.99325,90.28567188,1.8709164,-1.11516835,0.562304717,1.6897843,0.021105041,2.3467499,0.15571104,57407.87891,1548.4313,3725.0472,3188.831,67.192,6530.547852,459.0230938,43.88118408,0.0,43.88117969,117.481,0.0,117.481,394.2329063,0.0,394.2329063,101.9455,0.0,,10.55403008,101.9455,11.1561265,9.964626944,174.8064063,0.0,174.8064063,0.2116908,0.0164592,37.99325,0.37394642,0.91338626,Sustainability - Taking the Green Road,65.38958848,0.794788288,0.0,26.09308941,0.0,13.17243756,0.0,,10.55403008,11.1561265,9.964626944,4.208525248,0.0164592,0.37394642,52.67807031,,,7.41427e-09,1.117406006,150.6197109
SSP1 - Baseline,2010,3780.159,,262.4407471,56.0390293,3813.367,262.4407813,0.0,1812.864,390.5053,323.68957,40443.00079,4523.684,77.37998047,1146.6175,1.256,1166.347469,,1028.111,422.7626875,3.192699951,434.8151563,193.142,11.24126953,40.07435156,38.81835156,196.3347,10.42098045,347.8606873,,164.3500378,953.2947692,35488.81804,0.0,0.0,31981.48373,3507.338835,877.7758179,47993.01172,9831.87995,7486.986317,63.37029642,133.3055011,36.62892914,119.582222,161.3093996,24706.30428,52415.00092,367.2808125,43.75726929,39.65262891,63.36037109,54.31691016,14.70133984,0.000383509,121.726,151.4919417,122.4817617,0.121413597,83.40989819,40.55803125,89.39320313,2.134266,-1.05613388,0.58827586,1.837859,0.031102416,2.5390686,0.16780423,68461.88281,1582.7749,3708.1456,3187.4282,62.9635625,6921.797852,505.8925938,52.72885156,0.0,52.72885156,144.9844063,0.0,144.9844063,429.5036016,0.0,429.5036016,112.7963984,0.0,,12.38731981,112.7963984,13.984733,9.9226368,171.7227969,0.0,171.7227969,0.2471508,0.1214136,40.55803125,1.228848788,0.98844067,Sustainability - Taking the Green Road,76.56641331,1.215081536,0.0,30.9534281,0.0,16.99631942,0.0,,12.38731981,13.984733,9.9226368,3.4942104,0.1214136,1.228848788,54.31691016,,,1.68096e-06,1.62359409,149.8683477
SSP1 - Baseline,2020,4347.582125,,289.2822871,122.8987207,4373.59,289.2822813,0.0,1888.1981,415.34734,330.99404,60738.12103,6069.227,91.68073828,1426.398703,5.700469238,1689.515172,,1346.035,447.812,17.63591992,333.5558541,444.2523125,18.48136914,253.8591724,248.1587031,461.8882324,7.955020905,365.6386108,,164.3407925,791.59081,40069.00391,0.0,0.0,36892.23618,3176.76958,1734.18396,53981.94922,10193.9262,7747.131387,65.91570579,126.9182347,31.22555923,95.87854004,132.7417688,32493.46316,69777.96936,395.2580938,30.63058008,42.19780078,84.30813281,67.92847656,13.82957031,0.01583954,138.3847031,156.3476815,122.7418359,1.586843996,72.82838086,23.49591016,104.8257969,2.5769145,-1.00585365,0.620427275,2.1679606,0.065249895,2.9535774,0.1906411,101815.2969,1547.1489,3697.7396,3143.4728,77.41855625,7576.10498,561.1405,41.10590039,0.0,41.10591016,158.9017969,0.0,158.9017969,486.9577969,0.0,486.9577969,152.9615938,0.0,,16.55919002,152.9615938,22.89676336,10.57077965,175.0944063,0.0,175.0944063,0.390744608,1.586843968,23.49591016,4.359984768,1.2228345,Sustainability - Taking the Green Road,99.17893018,1.06357472,0.0,37.0613911,0.0,24.08952755,0.0,,16.55919002,22.89676336,10.57077965,3.496887652,1.586843968,4.359984768,67.92847656,,,0.013101321,2.656529167,153.6911523
SSP1 - Baseline,2030,4808.445875,,310.4563008,310.1954043,4849.27,310.4563125,0.0,1919.7707,442.30163,337.94414,94211.73096,8037.996,78.89133776,1757.469906,24.32383008,2608.680797,,1577.071,441.0693125,112.6597031,256.864291,621.1443125,46.37866016,537.7670176,513.4431875,733.8040156,5.752160072,381.1867065,,162.7280822,657.019755,42653.23405,0.0,0.0,39680.27545,2972.975654,2346.552979,57662.89063,10514.83907,7926.473983,66.81604576,103.5846045,27.41661072,64.42742157,109.9721169,40513.88144,88103.34778,438.1161875,31.85679004,38.75569922,112.2925,92.17010156,12.36696973,0.914096313,156.7855938,149.7599818,138.807668,4.227824859,70.61248926,15.3865498,114.3577031,3.0677574,-0.8712631,0.633705855,2.504503,0.10889894,3.3665866,0.21213388,155854.7969,1521.9428,3696.9532,3084.9172,91.69869375,8061.937988,624.774875,49.27081934,0.0,49.27082031,170.5649063,0.0,170.5649063,533.1818125,0.0,533.1818125,203.004,0.0,,19.39272909,203.004,32.58423277,10.76980019,159.6129063,0.0,159.6129063,1.031873984,4.22782272,15.3865498,7.931806976,1.5057858,Sustainability - Taking the Green Road,131.3332019,0.968878757,0.0,44.99747686,0.0,39.51381018,0.0,,19.39272909,32.58423277,10.76980019,2.49900972,4.22782272,7.931806976,92.17010156,,,0.894570155,6.358216125,143.4017656
SSP1 - Baseline,2040,5181.673375,,325.7961895,588.3638496,5320.158,325.7962188,0.0,1935.294,470.47846,344.412,136888.1989,10769.04,45.04761162,2208.785887,111.5133984,3511.656906,,1762.228,310.2280938,439.85,132.2743276,855.3053125,91.4033125,1412.255398,1300.742,1295.155313,4.851264954,389.8517151,,157.9338627,615.6206054,43778.4961,0.0,0.0,41860.77585,1917.707024,3137.391113,59826.01953,10616.95354,7938.956643,66.04158572,99.98481315,24.60796928,60.48712158,120.1772082,48650.55025,107025.4974,500.1345938,44.43416992,27.69113086,144.969,125.2582969,11.31554004,3.048236084,175.9024063,143.4183554,164.5777578,11.76585126,72.12530078,15.2295,130.6821016,3.4509181,-0.85967859,0.640193399,2.835057,0.15979861,3.7733741,0.23193479,223195.5,1554.6834,3733.1724,3011.1276,104.7354063,8388.762695,696.4638125,68.36823047,0.0,68.36822656,180.658,0.0,180.658,572.2135,0.0,572.2135,248.9310938,0.0,,21.78398003,248.9310938,50.27603507,7.651719168,142.6244063,0.0,142.6244063,2.047028992,11.76458931,15.2295,14.68043674,1.7707427,Sustainability - Taking the Green Road,167.8260961,0.418999124,0.0,57.3713161,0.0,51.27739238,0.0,,21.78398003,50.27603507,7.651719168,0.830612192,11.76532365,14.68492442,125.2582969,,,3.390124102,10.77756245,132.640793
SSP1 - Baseline,2050,5555.269875,,341.1361445,906.5663652,5582.935,341.1361563,0.0,1915.2795,498.17383,350.15178,181033.2031,14619.31,20.84762097,2571.692516,328.4404063,4310.2465,,1820.837,126.0087031,809.553875,39.43518506,1340.192,136.447,3444.046406,3115.606,2149.745875,3.782655001,379.5032959,,147.6771703,509.8305206,42454.75782,0.0,0.0,42668.60965,-213.8544818,3603.533936,58674.35938,10498.26925,7832.363558,64.79184777,86.62115697,19.05364037,56.42432022,128.715579,55227.01967,122425.2014,547.599625,49.95023926,22.26433008,173.8055938,141.4317031,9.843926758,3.430345947,185.2597031,146.8734363,186.0674297,29.45691652,72.21456934,13.48055957,140.6552031,3.7987405,-0.80384495,0.631823841,3.1412083,0.21255711,4.1425604,0.24934934,291301.4063,1572.2825,3783.7756,2893.1532,115.6914125,8530.5,748.242625,78.01423145,0.0,78.01422656,180.4480938,0.0,180.4480938,590.6808125,0.0,590.6808125,268.8588125,0.0,,22.59465011,268.8588125,79.3635799,3.129485056,141.3739063,0.0,141.3739063,2.962960896,29.43937894,13.48055957,24.36658995,2.0220565,Sustainability - Taking the Green Road,200.5060977,0.231286632,0.0,62.6500119,0.0,55.00119309,0.0,,22.59465011,79.3635799,3.129485056,0.13052928,29.50640435,24.41578906,141.4317031,,,4.203921719,13.80161599,133.0718203
SSP1 - Baseline,2060,5566.55225,,334.9722031,1233.003105,5578.91,334.9721563,0.0,1864.6516,524.97612,355.07787,220858.7952,18047.77,9.974222549,2912.966094,773.239625,4857.324738,,1878.782,73.89302344,910.8605,13.8265752,1591.858,181.4907969,5616.792625,4843.553,2502.7185,3.271831036,362.1900024,,141.3272604,445.835144,41601.92839,0.0,0.0,43038.29839,-1436.361389,3958.541992,57675.35156,10268.84221,7676.166464,63.13071207,80.45232692,16.09254074,53.72702026,132.0004619,60305.69899,134154.8004,581.2011875,52.65351172,19.71940039,202.102,147.0675,7.606404785,5.02760791,189.9089063,147.024773,207.8008984,49.15682221,72.37291211,11.04666016,147.1852969,4.0892579,-0.76862545,0.610449901,3.4216938,0.25773434,4.4648244,0.26418007,356291.4063,1568.4065,3836.3116,2777.872,119.3473,8492.175781,788.5483125,88.56244922,0.0,88.56245313,184.774,0.0,184.774,597.2050156,0.0,597.2050156,276.5573125,0.0,,23.3889792,276.5573125,104.5564636,1.83480704,135.8737031,0.0,135.8737031,3.647172096,49.12007168,11.04666016,28.40024064,2.2464108,Sustainability - Taking the Green Road,230.8741038,0.123777302,0.0,67.48791194,0.0,56.84130643,0.0,,23.3889792,104.5564636,1.83480704,0.029848737,49.5433001,28.50049024,147.0675,,,5.806916376,18.78598007,128.238793
SSP1 - Baseline,2070,5577.89925,,328.8081973,1923.21918,5594.197,328.8081875,0.0,1797.6875,550.82834,359.34345,259777.5879,21290.03,6.351494385,3194.92,2013.003,5031.55229,,1938.363,34.46153125,887.961125,5.743623455,1777.796,226.5345,8186.35,6173.347,2665.757125,3.005287886,338.6877136,,138.4021796,422.783437,39217.53158,0.0,0.0,40936.40349,-1718.85963,4355.833984,55068.07031,10159.41922,7752.949907,62.52300659,72.08492579,15.41678047,48.62147903,121.2317306,63931.40876,141883.8043,595.042625,55.02600098,16.06316992,225.1029063,141.8982969,5.639540039,8.248603516,185.9502031,143.0640626,224.2296016,76.33261764,71.0891709,8.71112207,148.5197031,4.3664115,-0.72083659,0.581716242,3.678986,0.29766228,4.7502942,0.27693819,419291.1875,1582.8273,3885.9344,2691.5946,121.2211125,8298.950195,803.3371875,106.0217783,0.0,106.0217969,182.1625,0.0,182.1625,566.0707109,0.0,566.0707109,262.2763125,0.0,,24.19374899,262.2763125,134.6267866,0.852478016,121.6318984,0.0,121.6318984,4.285938944,76.28131942,8.71112207,29.8657792,2.4603502,Sustainability - Taking the Green Road,257.1494031,0.073688443,0.0,70.56427059,0.0,51.0049751,0.0,,24.19374899,134.6267866,0.852478016,0.027191777,78.05630874,30.0921897,141.8982969,,,9.020981709,28.17344147,114.8906211
SSP1 - Baseline,2080,5589.310125,,322.6441758,2882.637469,5610.093,322.644125,0.0,1708.3982,573.51069,363.0708,294820.8923,24044.46,2.116297565,3227.005984,3982.155,4950.67964,,1997.943,9.460464844,943.8033125,2.562411743,2044.96,271.5783125,10594.352,6612.197,2988.763313,2.631899118,304.9588928,,135.6058525,394.0020039,33392.29395,0.0,0.0,35332.48067,-1940.186855,4739.439941,48739.89063,10014.05287,7924.046019,62.16409494,58.64530101,14.67724991,38.78950119,93.79245031,65965.62064,145499.2981,585.996875,56.27686572,12.04103027,242.5457031,129.6942969,4.061787109,12.67025,174.7069063,128.7070063,233.5986953,104.2170857,68.317896,6.811725098,142.8672031,4.6227113,-0.63435659,0.54253426,3.8949732,0.33475839,4.9810395,0.28802374,475419.1875,1611.1552,3922.9056,2621.0222,121.24595,7967.387207,780.930625,127.6263267,0.0,127.6263984,158.1367969,0.0,158.1367969,491.3241484,0.0,491.3241484,239.8072031,0.0,,24.73580954,239.8072031,166.6298214,0.206180096,93.38014844,0.0,93.38014844,4.936359936,104.1366917,6.811725098,32.82096026,2.668723,Sustainability - Taking the Green Road,275.4451866,0.024748359,0.0,64.35045658,0.0,44.21531592,0.0,,24.73580954,166.6298214,0.206180096,0.018617178,109.3646008,33.12530022,129.6942969,,,13.38384637,40.5357876,88.17121875
SSP1 - Baseline,2090,5600.786875,,316.4801816,3780.147672,5624.206,316.4801563,0.0,1610.5317,592.25889,366.25585,326094.7876,24659.91,1.360060706,3015.136688,5309.353,4790.264075,,2057.524,8.444734375,886.970125,1.149439045,2195.256,316.622,11387.183,6077.83,3082.226125,2.260235071,273.2965088,,132.2120239,352.8107452,28618.4139,0.0,0.0,30633.36038,-2014.942,4858.044922,43236.94141,9825.721607,8048.353225,61.66724825,46.6315478,13.4039402,28.82476044,67.53919792,66963.78624,145521.6064,561.6448125,53.76986816,9.049482422,250.6037969,113.9396016,2.831726074,17.65142969,158.955,113.7989496,234.8053047,117.3866751,62.81935059,4.769418945,134.9425,4.833992,-0.54024932,0.498360439,4.0671453,0.36531673,5.1555105,0.29745081,524875.8125,1631.9653,3954.9048,2554.044,119.400025,7510.454102,745.1135,138.4043252,0.0,138.4042969,136.5665938,0.0,136.5665938,430.7395,0.0,430.7395,224.6382031,0.0,,25.30879078,224.6382031,181.1506437,0.185734,69.53470313,0.0,69.53470313,5.479965184,117.2733583,4.769418945,33.08852941,2.8562114,Sustainability - Taking the Green Road,282.293207,0.016832926,0.0,57.54236454,0.0,43.38609087,0.0,,25.30879078,181.1506437,0.185734,0.01152955,124.7292498,33.44986931,113.9396016,,,18.51568789,48.23711957,65.56183008
