Entity,Year,Trust in others (World Values Survey (2014))
Albania,1998,24.32432
Albania,2004,23.2
Algeria,2004,10.76443
Algeria,2014,17.92863
Andorra,2009,20.66199
Argentina,1984,26.09649
Argentina,1993,22.35529
Argentina,1998,17.14551
Argentina,2004,15.46875
Argentina,2009,16.63327
Argentina,2014,22.64706
Armenia,1998,23.5
Armenia,2014,10.01821
Australia,1984,48.19176
Australia,1998,39.59961
Australia,2009,48.18247
Australia,2014,54.43383
Azerbaijan,1998,19.43057
Azerbaijan,2014,16.16766
Bahrain,2014,33.5
Bangladesh,1998,20.45902
Bangladesh,2004,23.26667
Belarus,1993,25.02463
Belarus,1998,22.99235
Belarus,2014,32.80737
Bosnia and Herzegovina,1998,24.75
Bosnia and Herzegovina,2004,15.58333
Brazil,1993,6.39731
Brazil,2009,9.20162
Brazil,2014,6.52759
Bulgaria,1998,23.69403
Bulgaria,2009,19.43888
Burkina Faso,2009,14.35342
Canada,2004,36.69439
Canada,2009,41.11111
Chile,1993,22.06667
Chile,1998,20.9
Chile,2004,22.41667
Chile,2009,12.29839
Chile,2014,12.64016
China,1993,59.45946
China,1998,50.4
China,2004,54.46058
China,2009,49.08815
China,2014,62.69384
Colombia,1998,10.72199
Colombia,2009,14.31405
Colombia,2014,4.12783
Croatia,1998,22.82609
Cyprus,2009,12.82546
Cyprus,2014,9.02708
Czech Republic,1993,30.22752
Czech Republic,1998,28.5192
Dominican Republic,1998,25.17986
Ecuador,2014,7.1607
Egypt,2004,37.46667
Egypt,2009,18.39948
Egypt,2014,20.55154
El Salvador,1998,14.11483
Estonia,1998,21.05779
Estonia,2014,38.51175
Ethiopia,2009,22.52632
Finland,1984,57.17192
Finland,1998,47.923
Finland,2009,57.98817
France,2009,18.65597
Georgia,1998,17.67928
Georgia,2009,17.65886
Georgia,2014,8.81864
Germany,1998,32.13228
Germany,2009,31.84055
Germany,2014,42.03041
Ghana,2009,8.4801
Ghana,2014,4.96134
Guatemala,2009,15.6
Hong Kong,2009,40.33546
Hong Kong,2014,48.33837
Hungary,1984,33.56991
Hungary,1998,22.46154
Hungary,2009,28.12813
India,1993,33.52
India,1998,32.84314
India,2004,38.86114
India,2009,20.68966
India,2014,32.95383
Indonesia,2004,45.7
Indonesia,2009,41.09962
Iran,2004,55.42807
Iran,2009,10.53618
Iraq,2004,46.42393
Iraq,2009,39.13696
Iraq,2014,30
Israel,2004,23.02521
Italy,2009,28.25203
Japan,1984,41.49227
Japan,1993,37.58655
Japan,1998,39.75332
Japan,2004,39.64758
Japan,2009,36.58759
Japan,2014,35.93942
Jordan,2004,27.40066
Jordan,2009,31.31822
Jordan,2014,13.25
Kazakhstan,2014,38.8
Kuwait,2014,29.15361
Kyrgyzstan,2004,16.58677
Kyrgyzstan,2014,37.72538
Latvia,1998,23.91667
Lebanon,2014,9.83333
Libya,2014,11.00614
Lithuania,1998,21.30823
Macedonia,1998,7.53769
Macedonia,2004,13.27014
Malaysia,2009,8.82598
Malaysia,2014,8.53846
Mali,2009,17.15576
Mexico,1984,17.49436
Mexico,1993,30.56106
Mexico,1998,29.42422
Mexico,2004,21.30293
Mexico,2009,15.49839
Mexico,2014,12.4062
Moldova,1998,21.84959
Moldova,2004,14.0873
Moldova,2009,17.59082
Montenegro,1998,30.41667
Montenegro,2004,32.92453
Morocco,2004,21.74261
Morocco,2009,12.99915
Morocco,2014,12.44743
Netherlands,2009,43.00971
Netherlands,2014,66.1757
New Zealand,1998,48.3871
New Zealand,2009,51.16022
New Zealand,2014,56.22733
Nigeria,1993,21.67832
Nigeria,1998,17.25067
Nigeria,2004,25.32146
Nigeria,2014,14.78113
Norway,1998,64.77374
Norway,2009,73.73047
Pakistan,1998,18.69031
Pakistan,2004,28.15
Pakistan,2014,23.54949
Palestine,2014,15.8
Peru,1998,4.87201
Peru,2004,10.59294
Peru,2009,6.41892
Peru,2014,8.21577
Philippines,1998,5.5
Philippines,2004,8.5
Philippines,2014,2.83333
Poland,1993,34.46659
Poland,1998,16.9124
Poland,2009,18.63727
Poland,2014,22.25673
Puerto Rico,1998,5.98958
Puerto Rico,2004,22.39221
Qatar,2014,21.4151
Romania,1998,17.91768
Romania,2009,19.66648
Romania,2014,7.07138
Russia,1993,34.72718
Russia,1998,23.23529
Russia,2009,25.24801
Russia,2014,27.73516
Rwanda,2009,4.85695
Rwanda,2014,16.63392
Saudi Arabia,2004,50.53262
Serbia,1998,28.4375
Serbia,2004,18.33333
Serbia,2009,13.75311
Singapore,2004,14.55026
Singapore,2014,38.51626
Slovakia,1993,23.01075
Slovakia,1998,25.75342
Slovenia,1998,15.29295
Slovenia,2009,17.58989
Slovenia,2014,19.98124
