Entity,Year,Broadband Penetration by Country (World Bank (2015))
Afghanistan,2004,0.000832685
Afghanistan,2005,0.000884925
Afghanistan,2006,0.001950741
Afghanistan,2007,0.001897588
Afghanistan,2008,0.001849646
Afghanistan,2009,0.003609042
Afghanistan,2010,0.005282097
Afghanistan,2012,0.005029416
Afghanistan,2013,0.004909715
Afghanistan,2014,0.004795317
Albania,2005,0.008510292
Albania,2007,0.315833823
Albania,2008,2.027492802
Albania,2009,2.919536619
Albania,2010,3.350292352
Albania,2011,4.065147629
Albania,2012,5.062738707
Albania,2013,5.75292813
Albania,2014,6.573715873
Algeria,2003,0.054539766
Algeria,2004,0.107586829
Algeria,2005,0.397515932
Algeria,2006,0.492650609
Algeria,2007,0.817843828
Algeria,2009,2.248284117
Algeria,2010,2.428309557
Algeria,2011,2.597126783
Algeria,2013,3.264623716
Algeria,2014,4.006346574
Andorra,2002,1.602479097
Andorra,2003,4.76051981
Andorra,2004,7.945863901
Andorra,2005,12.73161543
Andorra,2006,17.85116699
Andorra,2007,22.78945038
Andorra,2008,25.85001688
Andorra,2009,29.1651305
Andorra,2010,31.45031897
Andorra,2011,33.08675271
Andorra,2012,34.33511996
Andorra,2013,35.00972001
Andorra,2014,35.89385301
Angola,2006,0.043556955
Angola,2007,0.066053838
Angola,2008,0.087046064
Angola,2009,0.105671104
Angola,2013,0.350974947
Angola,2014,0.412783677
Antigua and Barbuda,2004,2.033823637
Antigua and Barbuda,2005,7.025979531
Antigua and Barbuda,2006,1.846238633
Antigua and Barbuda,2008,5.841896214
Antigua and Barbuda,2009,18.5561993
Antigua and Barbuda,2010,8.160902411
Antigua and Barbuda,2011,6.806425265
Antigua and Barbuda,2012,14.67401677
Antigua and Barbuda,2013,17.38845363
Antigua and Barbuda,2014,15.07100976
Argentina,2001,0.252190834
Argentina,2002,0.393328876
Argentina,2003,0.6817124
Argentina,2004,1.417113816
Argentina,2005,2.39786147
Argentina,2006,4.061956264
Argentina,2007,6.610501641
Argentina,2008,7.85042465
Argentina,2009,8.772380304
Argentina,2010,9.977251823
Argentina,2012,12.53095176
Argentina,2013,14.56555076
Argentina,2014,14.69005009
Armenia,2001,0.000196081
Armenia,2002,0.000262553
Armenia,2003,0.000329377
Armenia,2004,0.033050728
Armenia,2005,0.066005134
Armenia,2007,0.13043993
Armenia,2010,3.157959383
Armenia,2011,5.417223324
Armenia,2012,7.142041595
Armenia,2013,8.165718482
Armenia,2014,9.133475648
Aruba,2003,1.442045045
Aruba,2004,7.051710518
Aruba,2005,12.27019624
Aruba,2006,13.83814341
Aruba,2007,15.80335708
Aruba,2008,18.15203663
Aruba,2013,18.65689771
Australia,2001,0.630155388
Australia,2002,1.309180367
Australia,2003,2.590070997
Australia,2004,5.005321616
Australia,2005,9.824209034
Australia,2006,18.69106653
Australia,2008,24.55521678
Australia,2009,23.69181885
Australia,2010,24.59328685
Australia,2011,24.41455206
Australia,2012,24.88018575
Australia,2013,25.00154974
Australia,2014,25.75521148
Austria,1999,0.635626847
Austria,2000,2.375234126
Austria,2001,3.982885766
Austria,2002,5.573540832
Austria,2003,7.381186841
Austria,2004,10.61861746
Austria,2005,14.24998701
Austria,2006,17.30013302
Austria,2007,19.51521651
Austria,2008,20.72612399
Austria,2009,22.43894946
Austria,2010,24.40393415
Austria,2011,24.87522071
Austria,2012,25.167924
Austria,2013,26.26205909
Austria,2014,27.54494291
Azerbaijan,2002,0.012077633
Azerbaijan,2005,0.025503895
Azerbaijan,2006,0.045643361
Azerbaijan,2007,0.166474309
Azerbaijan,2008,0.675853087
Azerbaijan,2009,1.112809258
Azerbaijan,2010,5.226055387
Azerbaijan,2011,10.58273509
Azerbaijan,2012,14.71264402
Azerbaijan,2013,18.18868169
Azerbaijan,2014,19.83281567
Bahamas,2001,1.36598406
Bahamas,2002,2.439821511
Bahamas,2003,3.466466428
Bahamas,2004,3.971153846
Bahamas,2005,4.066389537
Bahamas,2006,4.943358898
Bahamas,2007,5.993293359
Bahamas,2008,7.320434059
Bahamas,2009,8.911061463
Bahamas,2010,6.852187807
Bahamas,2011,4.230054241
Bahamas,2013,4.107331189
Bahrain,2001,0.168300778
Bahrain,2002,0.67982543
Bahrain,2003,1.261174679
Bahrain,2004,1.822779873
Bahrain,2005,2.436744913
Bahrain,2006,4.062038948
Bahrain,2007,6.611401333
Bahrain,2008,8.38842405
Bahrain,2009,11.708639
Bahrain,2010,12.3779777
Bahrain,2012,22.41470239
Bahrain,2013,22.52383515
Bahrain,2014,21.3949592
Bangladesh,2007,0.029844924
Bangladesh,2011,0.306484724
Bangladesh,2012,0.388157065
Bangladesh,2013,0.974057518
Bangladesh,2014,1.194334935
Barbados,2003,10.08661813
Barbados,2004,10.88517845
Barbados,2005,11.67607322
Barbados,2006,14.11304256
Barbados,2007,17.06005205
Barbados,2009,20.53898482
Barbados,2010,20.03951554
