Entity,Year,"Estimated average age at marriage, women","Estimated average age at marriage, men"
Belgium,1999,26.299999,28.6
Belgium,2000,26.9,29.1
Belgium,2001,26.700001,29
Belgium,2002,27,29.299999
Belgium,2003,27.5,29.9
Belgium,2004,27.9,30.200001
Belgium,2005,28.1,30.5
Belgium,2006,28.4,30.9
Belgium,2007,28.6,31
Belgium,2008,28.9,31.4
Belgium,2009,29.299999,31.700001
Belgium,2010,29.4,31.700001
Belgium,2017,31.200001,33.5
Belize,1970,22.6,26
Belize,1980,23.9,26.200001
Belize,1991,26.200001,28.4
Belize,2000,21,23.700001
Belize,2010,28.6,30.1
Benin,1996,19.9,
Benin,2001,20.299999,26.200001
Benin,2006,20.5,25.299999
Benin,2011,21.299999,26.200001
Benin,2014,21.200001,25.799999
Benin,2017,20.700001,25.700001
Bermuda,1980,25.6,27.9
Bermuda,1991,28.9,30.5
Bermuda,2000,29.799999,31.299999
Bermuda,2010,30.6,31.5
Bermuda,2016,31.9,32.5
Bhutan,2005,21.799999,25.4
Bhutan,2017,23.799999,26.4
Bolivia,1988,22.200001,
Bolivia,1989,22.200001,
Bolivia,1993,22,
Bolivia,1998,22.799999,25.4
Bolivia,2000,22.4,24.5
Bolivia,2003,22.6,24.5
Bolivia,2008,22.700001,25.299999
Bolivia,2016,24,
Bosnia and Herzegovina,2000,23.6,28
Bosnia and Herzegovina,2006,24.5,
Bosnia and Herzegovina,2011,25.700001,29.4
Botswana,1971,24.9,29.5
Botswana,1981,26.4,30.799999
Botswana,1991,26.9,30.9
Botswana,2001,26.4,30.9
Botswana,2011,24.799999,29.799999
Brazil,1960,22.299999,26
Brazil,1970,23,26.200001
Brazil,1980,22.700001,25.5
Brazil,1991,22.5,25.799999
Brazil,2000,23.1,26.200001
Brazil,2010,23.9,26.799999
British Virgin Islands,1970,24.299999,28.200001
British Virgin Islands,1980,26.4,28.200001
British Virgin Islands,1991,28.4,31.9
Brunei,1971,22.4,26.299999
Brunei,1981,23.6,26.5
Brunei,1991,25.1,27.299999
Brunei,2011,26.1,29.299999
Bulgaria,1990,21.5,24.6
Bulgaria,1991,21.5,24.6
Bulgaria,1992,21.700001,24.9
Bulgaria,1993,22,25.200001
Bulgaria,1994,22.4,25.700001
Bulgaria,1995,22.700001,26.200001
Bulgaria,1996,23,26.4
Bulgaria,1997,23.299999,26.799999
Bulgaria,1998,23.4,26.9
Bulgaria,1999,23.700001,27.299999
Bulgaria,2000,24.700001,28.5
Bulgaria,2001,24.700001,28.4
Bulgaria,2002,24.6,28.200001
Bulgaria,2003,25,28.5
Bulgaria,2004,25.299999,28.799999
Bulgaria,2005,25.6,29.1
Bulgaria,2006,25.700001,29.200001
Bulgaria,2007,25.799999,29.1
Bulgaria,2008,25.9,29.200001
Bulgaria,2009,26.200001,29.4
Bulgaria,2010,26.6,29.799999
Bulgaria,2011,26.6,29.9
Bulgaria,2013,26.700001,30
Bulgaria,2014,26.9,30.299999
Bulgaria,2015,27,30.4
Bulgaria,2016,27.1,30.5
Bulgaria,2017,27.299999,30.6
Burkina Faso,1960,16.799999,26.4
Burkina Faso,1984,18.5,25.700001
Burkina Faso,1991,19,27.6
Burkina Faso,1992,18.200001,26
Burkina Faso,1998,18.9,26.4
Burkina Faso,2003,19.4,26.1
Burkina Faso,2006,20.299999,
Burkina Faso,2010,19.5,25.299999
Burkina Faso,2017,20,26.4
Burundi,1970,21.700001,23.700001
Burundi,1987,21.799999,
Burundi,2000,23.4,26.200001
Burundi,2002,23.700001,26.1
Burundi,2005,21.6,25.5
Burundi,2010,22.1,25.4
Burundi,2016,22.799999,26.1
Cambodia,1998,22.1,
Cambodia,2000,22.299999,
Cambodia,2004,22.799999,24.6
Cambodia,2005,22.6,24.4
Cambodia,2010,22,24.9
Cambodia,2014,21.6,24.5
Cameroon,1991,19.1,
Cameroon,1998,20.200001,26.700001
Cameroon,2000,22.700001,28.1
Cameroon,2004,20.1,25
Cameroon,2006,22.1,
Cameroon,2011,21.299999,27.200001
Cameroon,2014,22.200001,28.5
Canada,1990,25.5,27.6
Canada,1991,25.799999,27.799999
Canada,1992,26,28
Canada,1993,26.200001,28.200001
Canada,1994,26.299999,28.299999
Canada,1995,26.5,28.4
Canada,1996,26.700001,28.6
Canada,1997,26.9,28.799999
Canada,1998,27,28.9
Canada,1999,27.200001,29.1
Canada,2000,27.5,29.5
Canada,2001,27.700001,29.700001
Canada,2002,27.799999,29.799999
Canada,2003,28.200001,30.200001
Canada,2004,28.5,30.5
Canada,2005,28.700001,30.6
Canada,2006,28.9,30.9
Canada,2007,29,31
Canada,2008,29.1,31.1
Cape Verde,1960,23.299999,27.6
Cape Verde,1970,22,29.200001
Cape Verde,1980,23.6,27.299999
Cape Verde,1990,25.700001,28.1
Cape Verde,2000,24.6,28.799999
Cayman Islands,1970,19.700001,25.4
Cayman Islands,1979,25.5,27.299999
Cayman Islands,1989,25.200001,27.6
Cayman Islands,2010,28,29.9
Central African Republic,1994,19.4,24.4
Central African Republic,2000,17.9,24.799999
Central African Republic,2006,17,
Central African Republic,2010,17.299999,21.700001
Chad,1996,18.1,24.1
Chad,2000,18.299999,25.200001
Chad,2004,18.4,24.5
Chad,2010,18.200001,
Chad,2014,18.799999,24.700001
Channel Islands,1981,24.6,26.5
Channel Islands,1986,26.799999,28.200001
Channel Islands,1991,28.200001,29.299999
Channel Islands,2001,29.700001,31.299999
Chile,1997,24.9,27
Chile,1998,25.200001,27.299999
Chile,1999,25.5,27.5
Chile,2000,25.6,27.700001
Chile,2001,25.9,28
Chile,2002,26.299999,28.4
Chile,2003,26.6,28.700001
Chile,2004,26.799999,28.9
Chile,2005,27.299999,29.6
Chile,2006,27.4,29.299999
Chile,2007,27.700001,29.5
Chile,2008,28.1,29.799999
Chile,2009,29,30.299999
Chile,2010,29.9,31.299999
Chile,2011,30.200001,31.5
Chile,2012,30,31.299999
Chile,2013,28.5,30.4
Chile,2014,29.700001,31.1
Chile,2015,30.9,32.200001
Chile,2016,31.5,32.700001
China,1995,22.6,24.200001
China,2005,23.5,25.6
China,2013,24.4,26.200001
China,2015,24.799999,26.9
China,2016,25.4,27.1
Colombia,1986,23.5,
Colombia,1990,23.1,
Colombia,1995,22.200001,26.799999
Colombia,2000,23.1,27
Colombia,2004,23,26.9
Colombia,2009,22.299999,26.799999
Colombia,2015,22.700001,26.200001
Comoros,1996,23.6,28.5
Comoros,2000,20.799999,26.799999
Comoros,2012,22.6,25.5
Congo,2005,21.9,25.799999
Congo,2009,21.1,26
Congo,2011,21.299999,26.9
Congo,2014,21.9,27.5
Cook Islands,1971,23.1,23.6
Cook Islands,1976,24.4,24.299999
Cook Islands,1981,25.6,26.200001
Cook Islands,1986,27.700001,28.5
Cook Islands,1996,29.6,31.200001
Cook Islands,2006,28,27.9
Costa Rica,2003,23.4,26.9
Costa Rica,2006,23.6,27
Costa Rica,2007,24.1,27.6
Costa Rica,2009,24.4,27.9
Costa Rica,2010,24.200001,27.799999
Costa Rica,2013,26.6,29.1
Costa Rica,2014,25.700001,28.799999
Costa Rica,2015,24.9,28.1
Costa Rica,2016,25.299999,28.299999
Costa Rica,2017,25.9,28.6
Costa Rica,2018,26.4,29.200001
Cote d'Ivoire,1994,20.9,28.1
Cote d'Ivoire,1998,21.9,28
Cote d'Ivoire,2000,22.799999,29.200001
Cote d'Ivoire,2005,21.700001,27.299999
Cote d'Ivoire,2006,19.700001,
Cote d'Ivoire,2011,22.299999,28
Cote d'Ivoire,2016,23,29.200001
Croatia,2001,25.4,28.5
Croatia,2002,25.6,28.799999
Croatia,2003,25.799999,29
Croatia,2004,26,29.1
Croatia,2005,26.200001,29.4
Croatia,2006,26.299999,29.5
Croatia,2007,26.6,29.700001
Croatia,2008,26.6,29.700001
Croatia,2009,26.9,29.799999
Croatia,2010,27.1,30
Croatia,2011,27.299999,30.200001
Croatia,2012,27.299999,30.299999
Croatia,2013,27.6,30.5
Croatia,2014,27.799999,30.6
Croatia,2015,27.9,30.700001
Croatia,2016,28,30.799999
Croatia,2017,28.200001,31
Cuba,1970,19.5,23.4
Cuba,1981,19.799999,23.5
Cuba,2002,21.1,25.299999
Cuba,2012,21.299999,25.4
Cyprus,1990,24.9,27.9
Cyprus,1991,24.6,27.5
Cyprus,1992,25.4,27.9
Cyprus,1993,25.200001,27.9
Cyprus,1994,25.799999,28.4
Cyprus,1995,25.700001,28.200001
Cyprus,1996,26,28.6
Cyprus,1997,26.200001,28.700001
Cyprus,1998,26.4,28.9
Cyprus,1999,26.4,29
Cyprus,2000,26.9,29.299999
Cyprus,2001,27.200001,29.700001
Cyprus,2002,27.299999,30.1
Cyprus,2003,27.799999,30.5
Cyprus,2004,27.299999,30.1
Cyprus,2005,27.299999,29.9
Cyprus,2006,27.700001,30.4
Czech Republic,1990,21.6,24.299999
Czech Republic,1991,21.6,24.299999
Czech Republic,1992,21.9,24.5
Czech Republic,1993,22.1,24.700001
Czech Republic,1994,22.4,25.1
Czech Republic,1995,22.799999,25.5
Czech Republic,1996,23.1,25.9
Czech Republic,1997,23.6,26.5
Czech Republic,1998,23.799999,26.799999
Czech Republic,1999,24.200001,27.200001
Czech Republic,2000,24.6,27.6
Czech Republic,2001,25,27.9
Czech Republic,2002,25.4,28.4
Czech Republic,2003,25.799999,28.799999
Czech Republic,2004,26.1,29.1
Czech Republic,2005,26.4,29.4
Czech Republic,2006,26.799999,29.700001
Czech Republic,2007,27,30
Czech Republic,2008,27.200001,30.200001
Czech Republic,2009,27.6,30.6
Czech Republic,2010,27.9,30.799999
Czech Republic,2011,28.1,31
Czech Republic,2012,28.299999,31.200001
Czech Republic,2013,28.5,31.299999
Czech Republic,2014,28.700001,31.4
Czech Republic,2015,28.799999,31.6
Czech Republic,2016,29,31.700001
Czech Republic,2017,29.1,31.799999
Democratic Republic of Congo,1991,19.700001,24.6
Democratic Republic of Congo,2001,21,26.799999
Democratic Republic of Congo,2007,20.799999,25.200001
Democratic Republic of Congo,2010,20.200001,
Democratic Republic of Congo,2013,20.9,25.5
Denmark,1990,27.799999,30.5
Denmark,1991,28,30.6
Denmark,1992,28.299999,31
Denmark,1993,28.799999,31.4
Denmark,1994,29.200001,31.799999
Denmark,1995,29.200001,31.9
Denmark,1996,29.9,32.5
Denmark,1997,30.1,32.200001
Denmark,1998,29.799999,32.400002
Denmark,1999,30,32.5
Denmark,2000,29.9,32.5
Denmark,2001,29.9,32.599998
Denmark,2002,30.1,32.700001
Denmark,2003,30.6,33.200001
Denmark,2004,30.9,33.400002
Denmark,2005,30.9,33.400002
Denmark,2006,30.9,33.400002
Denmark,2007,31.299999,33.599998
Denmark,2008,31.4,33.799999
Denmark,2009,31.1,33.5
Denmark,2010,31.200001,33.599998
Denmark,2011,31.4,33.799999
Denmark,2012,31.799999,34.299999
Denmark,2013,31.9,34.400002
Denmark,2014,31.9,34.400002
Denmark,2015,31.9,34.299999
Denmark,2016,32.200001,34.700001
Denmark,2017,32.400002,34.799999
Djibouti,1991,26.799999,29.299999
Djibouti,2002,27.700001,30.799999
Djibouti,2006,26.9,
Djibouti,2012,29.9,33
Dominica,1970,29.6,32.5
Dominica,1981,30.799999,33.299999
Dominica,1991,31.6,35.400002
Dominica,2001,32.5,36.5
Dominican Republic,1986,21.5,
Dominican Republic,1991,21.799999,
Dominican Republic,1996,21.299999,25.5
Dominican Republic,1999,21.6,24.299999
Dominican Republic,2000,21.4,26.1
Dominican Republic,2002,21,26.1
Dominican Republic,2007,21,25.4
Dominican Republic,2013,21,24.799999
Dominican Republic,2014,21.5,
Ecuador,1974,,25
Ecuador,1982,22,24.799999
Ecuador,1987,22.200001,
Ecuador,1989,22.299999,
Ecuador,1990,,25.200001
Ecuador,1994,22.799999,
Ecuador,1999,22.299999,
Ecuador,2001,,24.6
Ecuador,2004,22.200001,
Ecuador,2010,,25
Egypt,1980,21.4,27
Egypt,1988,22.1,
Egypt,1992,22.4,28
Egypt,1995,22.299999,28.1
Egypt,2000,22.700001,28.200001
Egypt,2003,22.700001,28.299999
Egypt,2005,23,28
Egypt,2008,22.700001,27.700001
Egypt,2014,22,27.5
El Salvador,1971,,24.700001
El Salvador,1985,20,
El Salvador,1992,,25.299999
El Salvador,1998,21.5,
El Salvador,2002,22,
El Salvador,2007,,25.5
El Salvador,2008,21.9,
El Salvador,2014,22.6,
Equatorial Guinea,2000,21.299999,28.799999
Equatorial Guinea,2011,20.5,26.1
Eritrea,1995,19.5,25.299999
Eritrea,2002,20.6,29.1
Estonia,1992,23,25.200001
Estonia,1993,23.6,26
Estonia,1994,24.1,26.5
Estonia,1995,24.200001,26.5
Estonia,1996,24.200001,26.9
Estonia,1997,24.4,27.200001
Estonia,1998,24.799999,27.4
Estonia,1999,25,27.700001
Estonia,2000,25.200001,28.1
Estonia,2001,25.5,28.200001
Estonia,2002,25.799999,28.5
Estonia,2003,25.9,28.5
Estonia,2004,26.200001,29
Estonia,2005,26.4,29.1
Estonia,2006,26.6,29.299999
Estonia,2007,27.1,29.6
Estonia,2008,27.4,29.9
Estonia,2009,27.799999,30.200001
Estonia,2010,28,30.5
Estonia,2011,28.4,31.1
Estonia,2012,28.9,31.299999
Estonia,2013,28.799999,31.299999
Estonia,2014,29,31.6
Estonia,2015,29.299999,31.9
Estonia,2016,29.700001,32.200001
Ethiopia,1964,19,26.200001
Ethiopia,1968,16.799999,22.9
Ethiopia,1981,17.6,23.799999
Ethiopia,1990,19.4,
Ethiopia,2000,20.6,25.799999
Ethiopia,2005,20.9,25.700001
Ethiopia,2010,21.200001,25.700001
Ethiopia,2016,21.299999,25.799999
Faeroe Islands,1991,28.200001,30.9
Faeroe Islands,1992,28.299999,31
Faeroe Islands,2008,30.700001,
Faeroe Islands,2013,31,33.599998
Faeroe Islands,2014,31.700001,34.599998
Faeroe Islands,2015,30.9,34
Faeroe Islands,2016,30.799999,34
Faeroe Islands,2017,30.9,34.099998
Faeroe Islands,2018,31,34.099998
Falkland Islands,2016,29,29.799999
Fiji,1976,21.700001,24.700001
Fiji,1986,22.5,25.299999
Fiji,2007,24.1,27.700001
Finland,1990,26.299999,28.4
Finland,1991,26.299999,28.5
Finland,1992,26.6,28.6
Finland,1993,26.799999,28.9
Finland,1994,26.9,29
Finland,1995,27.200001,29.299999
Finland,1997,27.6,29.700001
Finland,1998,27.799999,29.9
Finland,1999,28,30.200001
Finland,2000,28.299999,30.5
Finland,2001,28.4,30.6
Finland,2002,28.799999,31
Finland,2003,29,31.200001
Finland,2004,29.5,31.799999
Finland,2005,29.4,31.5
Finland,2006,29.5,31.799999
Finland,2007,29.700001,32
Finland,2008,30,32.299999
Finland,2009,30,32.299999
Finland,2010,30.200001,32.5
Finland,2011,30.4,32.700001
Finland,2012,30.700001,33
Finland,2013,30.4,32.700001
Finland,2014,30.6,32.900002
Finland,2015,31,33.400002
Finland,2016,31.299999,33.700001
Finland,2017,31.6,33.900002
France,1998,28.1,30.299999
France,1999,28.200001,30.4
France,2000,28.4,30.700001
France,2001,28.5,30.700001
France,2002,28.700001,30.9
France,2003,28.9,31.200001
France,2004,29.200001,31.5
France,2005,29.6,31.799999
France,2006,29.799999,32
France,2007,30,32.200001
France,2008,30.200001,32.400002
France,2009,30.4,32.599998
France,2010,30.700001,32.799999
France,2011,30.799999,33
France,2013,31.700001,34.099998
France,2014,32.099998,34.400002
France,2015,32.200001,34.400002
French Guiana,1982,27.5,30.200001
French Guiana,1999,31.700001,34.200001
French Guiana,2006,32,33.700001
French Polynesia,1977,25.799999,28.5
French Polynesia,1996,29.9,32.099998
French Polynesia,2007,33.099998,35.5
French Polynesia,2012,33.799999,35.799999
Gabon,2000,22.1,26.200001
Gabon,2012,22.9,27.799999
Gambia,2000,20.4,29
Gambia,2005,21.1,
Gambia,2013,21.5,29.700001
Georgia,1979,22.5,26
Georgia,1989,22.4,26.1
Georgia,2002,23.700001,28
Georgia,2014,22.799999,27.4
Germany,1990,25.5,28.200001
Germany,1991,25.9,28.700001
Germany,1992,26.1,28.9
Germany,1993,26.4,29.200001
Germany,1994,26.6,29.4
Germany,1995,26.700001,29.5
Germany,1996,26.9,29.700001
Germany,1997,27,29.799999
Germany,1998,27.200001,30.1
Germany,1999,27.5,30.299999
Germany,2000,27.700001,30.5
Germany,2001,28,30.9
Germany,2003,28.4,31.200001
Germany,2004,28.799999,31.6
Germany,2005,29.1,31.9
Germany,2006,29.1,31.9
Germany,2007,29.299999,32.099998
Germany,2008,29.6,32.400002
Germany,2009,29.799999,32.5
Germany,2011,30.200001,32.900002
Germany,2013,30.5,33.200001
Germany,2014,30.700001,33.400002
Germany,2015,30.9,33.599998
Germany,2016,31.1,33.799999
Germany,2017,31.200001,34
Ghana,1988,20.200001,
Ghana,1993,20.5,26.200001
Ghana,1998,21,26.6
Ghana,2003,22.4,26.6
Ghana,2006,22.799999,
Ghana,2008,23.4,27.700001
Ghana,2011,23.799999,27.9
Ghana,2014,24.5,27.799999
Ghana,2017,23.700001,
Gibraltar,1970,21.5,25.9
Gibraltar,1981,21.1,24.799999
Gibraltar,1991,23.200001,26.299999
Gibraltar,2001,26.799999,29.299999
Gibraltar,2012,29.1,31.799999
Greece,1990,24.9,29
Greece,1991,25.200001,29.299999
Greece,1992,25.5,29.6
Greece,1993,25.5,29.700001
Greece,1994,25.799999,29.9
Greece,1995,26,30.1
Greece,1996,26.299999,30.200001
Greece,1997,26.6,30.6
Greece,1998,26.799999,30.799999
Greece,1999,26.9,31
Greece,2000,27.200001,31.1
Greece,2001,27.299999,31.200001
Greece,2002,27.6,31.5
Greece,2003,27.9,31.700001
Greece,2004,28,31.799999
Greece,2005,28.299999,32
Greece,2006,28.6,32.200001
Greece,2007,28.799999,32.400002
Greece,2008,28.9,32.400002
Greece,2009,29,32.5
Greece,2010,29.299999,32.599998
Greece,2011,29.4,32.700001
Greece,2012,29.5,32.799999
Greece,2013,29.700001,32.900002
Greece,2014,29.9,33
Greece,2015,30.1,33.200001
Greece,2016,30.1,33.200001
Greece,2017,30.299999,33.299999
Greenland,1974,25.4,30.1
Greenland,1975,25.799999,30.4
Greenland,1976,26.5,30.9
Greenland,1977,27,31.1
Greenland,1978,27.5,31.5
Greenland,1979,27.6,31.799999
Greenland,1980,27.9,31.9
Greenland,1981,28.200001,32.299999
Greenland,1982,28.5,32.5
Greenland,1983,29,32.700001
Greenland,1984,29.4,32.900002
Greenland,1985,29.6,33.200001
Greenland,1986,29.9,33.5
Greenland,1987,30.299999,33.900002
Greenland,1988,30.700001,34.099998
Greenland,1990,31,34.099998
Greenland,1991,31.1,34.200001
Greenland,1992,31.200001,34.200001
Greenland,1997,31.5,33.700001
Greenland,1998,31.299999,33.700001
Greenland,1999,31.299999,33.5
Greenland,2009,30.9,33.700001
Greenland,2010,31.200001,33.700001
Greenland,2011,31.5,33.799999
Greenland,2012,31.6,33.900002
Greenland,2013,31.700001,34
Greenland,2014,32,34.099998
Greenland,2015,32.299999,34.200001
Greenland,2016,32.400002,34.5
Greenland,2018,32.900002,34.700001
Grenada,1970,28.200001,31.5
Grenada,1981,29.4,33.299999
Grenada,1991,31,34.400002
Guadeloupe,1982,26.6,29.6
Guadeloupe,1999,31.6,34.200001
Guatemala,1973,,23.700001
Guatemala,1981,,23.6
Guatemala,1987,20.6,
Guatemala,1994,,23.6
Guatemala,1995,20.5,
Guatemala,1998,20.4,
Guatemala,2002,21.6,
Guatemala,2008,22,
Guatemala,2014,22.200001,
Guatemala,2018,,25
Guinea,1992,18.9,26.1
Guinea,1999,18.700001,27.700001
Guinea,2005,19.299999,26.299999
Guinea,2012,20.6,27.9
Guinea-Bissau,1960,,28
Guinea-Bissau,1979,,26.6
Guinea-Bissau,1991,,28.1
Guinea-Bissau,2000,20.200001,
Guinea-Bissau,2006,21.700001,
Guinea-Bissau,2010,21.700001,
Guinea-Bissau,2014,24.1,
Guyana,2000,20.200001,27.200001
Guyana,2005,22.700001,26.200001
Guyana,2006,22.5,
Guyana,2009,21.5,25.4
Guyana,2014,19.200001,21.299999
Haiti,1977,21.6,
Haiti,1994,22.200001,26.6
Haiti,2000,22.200001,27.200001
Haiti,2005,22.200001,27.5
Haiti,2012,23.700001,28.299999
Haiti,2013,26.1,
Haiti,2016,24.9,28.700001
Honduras,1974,,24.4
Honduras,1988,,24.700001
Honduras,1996,20.299999,
Honduras,2001,20.4,24.700001
Honduras,2005,21.299999,
Honduras,2011,21.200001,
Hong Kong,1971,23.799999,30.200001
Hong Kong,1981,25.299999,28.700001
Hong Kong,1986,26.6,29.200001
Hong Kong,1991,27.700001,30
Hong Kong,1996,28.6,30.700001
Hong Kong,2001,29.5,31.6
Hong Kong,2006,30.299999,32.799999
Hong Kong,2011,30.299999,32.700001
Hong Kong,2016,29.9,32.099998
Hungary,1990,22,24.700001
Hungary,1991,22.1,24.799999
Hungary,1992,22.299999,25
Hungary,1993,22.5,25.1
Hungary,1994,22.799999,25.5
Hungary,1995,23.1,25.799999
Hungary,1996,23.4,26.1
Hungary,1997,23.700001,26.6
Hungary,1998,24.1,26.799999
Hungary,1999,24.4,27.299999
Hungary,2000,24.799999,27.6
Hungary,2001,25.200001,28.200001
Hungary,2002,25.700001,28.5
Hungary,2003,26,28.9
Hungary,2004,26.4,29.200001
Hungary,2005,26.700001,29.4
Hungary,2006,27,29.799999
Hungary,2007,27.200001,30.1
Hungary,2008,27.5,30.4
Hungary,2009,28,30.799999
Hungary,2010,28.299999,31.200001
Hungary,2011,28.6,31.6
Hungary,2013,29,31.9
Hungary,2014,29.299999,32.099998
Hungary,2015,29.200001,32
Hungary,2016,29.200001,32.099998
Hungary,2017,29.4,32.299999
Iceland,1990,26.9,29.4
Iceland,1991,27.200001,29.5
Iceland,1992,27.9,30.6
Iceland,1993,28,30.200001
Iceland,1994,28.799999,31.200001
Iceland,1995,28.799999,31.700001
Iceland,1996,29.200001,31.9
Iceland,1997,30.6,32.700001
Iceland,1998,30.1,32.5
Iceland,1999,30.200001,32.5
Iceland,2000,30.6,33.299999
Iceland,2001,30.200001,32.900002
Iceland,2002,30.799999,33.299999
Iceland,2003,31,33.200001
Iceland,2004,31.4,33.799999
Iceland,2005,31.5,33.900002
Iceland,2006,31.799999,34.200001
Iceland,2007,32.099998,34.400002
Iceland,2008,32.400002,34.799999
Iceland,2009,32.099998,35.099998
Iceland,2010,32.400002,34.700001
Iceland,2011,32.400002,34.400002
India,1992,19.200001,24.299999
India,1998,19.700001,24.9
India,2005,20.200001,25.299999
India,2015,21.4,26
Indonesia,1976,19.4,23.799999
Indonesia,1985,21.1,24.799999
Indonesia,1987,21.700001,
Indonesia,1991,21.5,
Indonesia,1994,21.799999,
Indonesia,1995,22.200001,25.799999
Indonesia,1997,21.799999,
Indonesia,2000,22.5,26.5
Indonesia,2002,22.1,25.9
Indonesia,2005,23.4,27
Indonesia,2007,22.299999,26.9
Indonesia,2012,21.799999,
Indonesia,2017,22.4,27.1
Iran,1976,19.700001,24.200001
Iran,1986,20.200001,23.799999
Iran,1991,21.1,24.4
Iran,1996,22.1,25.299999
Iran,2006,23.5,26.4
Iran,2011,23.5,26.799999
Iran,2016,23.1,27.5
Iraq,1977,,25.299999
Iraq,1987,,26.299999
Iraq,1997,,26.9
Iraq,2000,25.299999,
Iraq,2004,25.299999,
Iraq,2006,22.799999,
Iraq,2011,22,
Iraq,2012,22.700001,
Ireland,1990,26.6,28.700001
Ireland,1991,26.9,28.799999
Ireland,1992,27.1,29.1
Ireland,1993,27.5,29.4
Ireland,1994,27.799999,29.799999
