Entity,Year,commercial_crops,tree_plantations_including_palm,pasture,small-scale_clearing,roads,other_infrastructure,flooding_due_to_dams,mining,selective_logging,fire,natural_disturbances,total_forest_loss
Brazil,2001,0.28,0.044,1.52,0.249,0.013,0.009,0,0.009,0.096,0.026,0,2.246
Brazil,2002,0.415,0.044,2.568,0.293,0.031,0.013,0.079,0.009,0.096,0.114,0.035,3.697
Brazil,2003,0.55,0.026,2.761,0.358,0.035,0.009,0,0,0.149,0.044,0.035,3.967
Brazil,2004,0.747,0.092,2.564,0.415,0.057,0.013,0.026,0,0.131,0.079,0.022,4.146
Brazil,2005,0.328,0.052,2.665,0.288,0.035,0.013,0.017,0,0.14,0.393,0.026,3.957
Brazil,2006,0.188,0.026,1.861,0.306,0.017,0.009,0.017,0,0.052,0.079,0.026,2.581
Brazil,2007,0.079,0.039,1.577,0.31,0.013,0.013,0.009,0.009,0.096,0.446,0.022,2.613
Brazil,2008,0.052,0.017,1.345,0.397,0.048,0.017,0,0.009,0.061,0.07,0.017,2.033
Brazil,2009,0.057,0.035,0.847,0.301,0.009,0.009,0.009,0,0.087,0.044,0.031,1.429
Brazil,2010,0.1,0.009,0.616,0.271,0.022,0.009,0,0.004,0.114,0.537,0.044,1.726
Brazil,2011,0.052,0.026,0.738,0.271,0.009,0,0.017,0,0.044,0.122,0.087,1.366
Brazil,2012,0.118,0.026,0.546,0.232,0.031,0.013,0.017,0,0.166,0.07,0.052,1.271
Brazil,2013,0.087,0.035,0.695,0.284,0.017,0.004,0,0.035,0.131,0.026,0.013,1.327
