Entity,Year,Prevalence of undernourishment (UN FAO SOFI 2018 & 2017)
Africa,2000,24.3
Africa,2005,21.2
Africa,2010,19.1
Africa,2012,18.6
Africa,2014,18.3
Africa,2016,19.7
Africa,2017,20.4
Caribbean,2000,23.8
Caribbean,2005,23.3
Caribbean,2010,19.8
Caribbean,2012,19.3
Caribbean,2014,18.5
Caribbean,2016,17.1
Caribbean,2017,16.5
Central America,2000,8.1
Central America,2005,8.4
Central America,2010,7.2
Central America,2012,7.2
Central America,2014,6.8
Central America,2016,6.3
Central America,2017,6.2
East & Southeast Asia,2000,16.6
East & Southeast Asia,2005,15.2
East & Southeast Asia,2010,11.5
East & Southeast Asia,2012,10.1
East & Southeast Asia,2014,9
East & Southeast Asia,2016,8.9
East & Southeast Asia,2017,8.9
Eastern Africa,2000,39.3
Eastern Africa,2005,34.3
Eastern Africa,2010,31.3
Eastern Africa,2012,30.9
Eastern Africa,2014,30.2
Eastern Africa,2016,31.6
Eastern Africa,2017,31.4
Latin America & the Caribbean,2000,12
Latin America & the Caribbean,2005,9.1
Latin America & the Caribbean,2010,6.8
Latin America & the Caribbean,2012,6.4
Latin America & the Caribbean,2014,6.2
Latin America & the Caribbean,2016,61
Latin America & the Caribbean,2017,6.1
Middle Africa,2000,37.4
Middle Africa,2005,32.4
Middle Africa,2010,27.8
Middle Africa,2012,26
Middle Africa,2014,24.2
Middle Africa,2016,25.7
Middle Africa,2017,26.1
North America & Europe,2000,2.5
North America & Europe,2005,2.5
North America & Europe,2010,2.5
North America & Europe,2012,2.5
North America & Europe,2014,2.5
North America & Europe,2016,2.5
North America & Europe,2017,2.5
Oceania,2000,5.3
Oceania,2005,5.5
Oceania,2010,5.2
Oceania,2012,5.4
Oceania,2014,5.9
Oceania,2016,6.6
Oceania,2017,7
South America,2000,12.2
South America,2005,7.9
South America,2010,5.3
South America,2012,4.7
South America,2014,4.7
South America,2016,4.9
South America,2017,5
South Asia,2000,17.7
South Asia,2005,21.5
South Asia,2010,17.2
South Asia,2012,17.1
South Asia,2014,16.1
South Asia,2016,15.1
South Asia,2017,14.8
Sub-Saharan Africa,2000,28.1
Sub-Saharan Africa,2005,24.3
Sub-Saharan Africa,2010,21.7
Sub-Saharan Africa,2012,21
Sub-Saharan Africa,2014,20.7
Sub-Saharan Africa,2016,22.3
Sub-Saharan Africa,2017,23.2
Western Africa,2000,15.1
Western Africa,2005,12.3
Western Africa,2010,10.4
Western Africa,2012,10.4
Western Africa,2014,10.7
Western Africa,2016,12.8
Western Africa,2017,15.1
World,2000,14.7
World,2005,14.5
World,2006,13.8
World,2007,13.1
World,2008,12.6
World,2009,12.2
World,2010,11.8
World,2011,11.5
World,2012,11.3
World,2013,11
World,2014,10.7
World,2015,10.6
World,2016,10.8
World,2017,10.9
