Entity,Year,"Global Smallpox Cases (WHO, 2011)","Reported Smallpox Cases (WHO, 2011)"
World,1920,"401,318",401318
World,1921,"303,850",303850
World,1922,"190,159",190159
World,1923,"174,799",174799
World,1924,"186,354",186354
World,1925,"284,845",284845
World,1926,"324,125",324125
World,1927,"327,289",327289
World,1928,"272,529",272529
World,1929,"267,322",267322
World,1930,"360,575",360575
World,1931,"182,829",182829
World,1932,"211,274",211274
World,1933,"328,212",328212
World,1934,"327,373",327373
World,1935,"331,151",331151
World,1936,"263,579",263579
World,1937,"149,184",149184
World,1938,"144,042",144042
World,1939,"186,393",186393
World,1940,"235,820",235820
World,1941,"195,863",195863
World,1942,"124,504",124504
World,1943,"210,358",210358
World,1944,"407,525",407525
World,1945,"405,833",405833
World,1946,"302,694",302694
World,1947,"163,375",163375
World,1948,"161,893",161893
World,1949,"632,858",632858
World,1950,"426,006",426006
World,1951,"554,756",554756
World,1952,"167,085",167085
World,1953,"94,135",94135
World,1954,"99,232",99232
World,1955,"91,823",91823
World,1956,"96,089",96089
World,1957,"156,652",156652
World,1958,"280,475",280475
World,1959,"96,270",96270
World,1960,"67,146",67146
World,1961,"90,555",90555
World,1962,"98,757",98757
World,1963,"133,504",133504
World,1964,"76,198",76198
World,1965,"112,280",112280
World,1966,"92,804",92804
World,1967,"131,697",131697
World,1968,"80,024",80024
World,1969,"54,202",54202
World,1970,"33,706",33706
World,1971,"52,806",52806
World,1972,"65,153",65153
World,1973,"135,859",135859
World,1974,"218,367",218367
World,1975,"19,278",19278
World,1976,954,954
World,1977,"3,234",3234
World,1978,2,2
World,1979,0,0
World,1980,0,0
World,1981,0,0
World,1982,0,0
World,1983,0,0
World,1984,0,0
World,1985,0,0
World,1986,0,0
World,1987,0,0
World,1988,0,0
World,1989,0,0
World,1990,0,0
World,1991,0,0
World,1992,0,0
World,1993,0,0
World,1994,0,0
World,1995,0,0
World,1996,0,0
World,1997,0,0
World,1998,0,0
World,1999,0,0
World,2000,0,0
World,2001,0,0
World,2002,0,0
World,2003,0,0
World,2004,0,0
World,2005,0,0
World,2006,0,0
World,2007,0,0
World,2008,0,0
World,2009,0,0
World,2010,0,0
World,2011,0,0
World,2012,0,0
World,2013,0,0
World,2014,0,0
World,2015,0,0
World,2016,0,0
