Entity,Year,Cholera deaths
Great Britain,1832,31000
Great Britain,1845,20000
Great Britain,1849,62000
Great Britain,1866,14000
Great Britain,1892,135
Great Britain,1911,121
Great Britain,1912,17
Great Britain,1913,27
Great Britain,1914,19
Great Britain,1915,21
Great Britain,1916,8
Great Britain,1917,12
Great Britain,1918,11
Great Britain,1919,2
Great Britain,1920,8
Great Britain,1921,10
Great Britain,1922,1
Great Britain,1923,0
Great Britain,1924,1
Great Britain,1925,2
Great Britain,1926,0
Great Britain,1927,0
Great Britain,1928,1
Great Britain,1929,0
Great Britain,1930,0
Great Britain,1931,0
Great Britain,1932,0
Great Britain,1933,0
Great Britain,1934,0
Great Britain,1935,0
Great Britain,1936,0
Great Britain,1937,0
Great Britain,1938,0
Great Britain,1939,0
Great Britain,1940,0
Great Britain,1941,0
Great Britain,1942,0
Great Britain,1943,0
Great Britain,1944,0
Great Britain,1945,0
Great Britain,1946,0
Great Britain,1947,0
Great Britain,1948,0
Great Britain,1949,0
Great Britain,1950,0
Great Britain,1951,0
Great Britain,1952,0
Great Britain,1953,0
Great Britain,1954,0
Great Britain,1955,0
Great Britain,1956,0
Great Britain,1957,0
Great Britain,1958,0
Great Britain,1959,0
Great Britain,1960,0
Great Britain,1961,0
Great Britain,1962,0
Great Britain,1963,0
Great Britain,1964,0
Great Britain,1965,0
Great Britain,1966,0
Great Britain,1967,0
Great Britain,1968,0
Great Britain,1969,0
Great Britain,1970,0
Great Britain,1971,0
Great Britain,1972,0
Great Britain,1973,0
Great Britain,1974,0
Great Britain,1975,0
Great Britain,1976,0
Great Britain,1977,0
Great Britain,1978,0
Great Britain,1979,0
Great Britain,1980,0
Great Britain,1981,0
Great Britain,1982,0
Great Britain,1983,1
Great Britain,1984,0
Great Britain,1985,1
Great Britain,1986,0
Great Britain,1987,0
Great Britain,1988,0
Great Britain,1989,0
Great Britain,1990,0
Great Britain,1991,0
Great Britain,1992,1
Great Britain,1993,0
Great Britain,1994,0
Great Britain,1995,0
Great Britain,1996,0
Great Britain,1997,0
Great Britain,1998,0
Great Britain,1999,0
Great Britain,2000,0
Great Britain,2001,0
Great Britain,2002,0
Great Britain,2003,0
Great Britain,2004,0
Great Britain,2005,0
Great Britain,2006,0
Great Britain,2007,0
Great Britain,2008,0
Great Britain,2009,0
Great Britain,2010,0
Great Britain,2011,0
Great Britain,2012,0
Great Britain,2013,0
Great Britain,2014,0
Great Britain,2015,0
Great Britain,2016,0
